Pathway,feature,value,coef,stderr,L2,L2A,L2B,L3
CDP-diacylglycerol biosynthesis II,PWY0-1319,COLON,0,0,CDP-diacylglycerol Biosynthesis (3 instances),,,Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis I (plastidic),PWY4FS-7,SI,0.06386202303,0.007271565021,Phosphatidylglycerol Biosynthesis (2 instances),,,Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis II (non-plastidic),PWY4FS-8,SI,0.06386202303,0.007271565021,Phosphatidylglycerol Biosynthesis (2 instances),,,Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis I (plastidic),PWY4FS-7,COLON,0,0,Phosphatidylglycerol Biosynthesis (2 instances),,,Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis II (non-plastidic),PWY4FS-8,COLON,0,0,Phosphatidylglycerol Biosynthesis (2 instances),,,Phospholipid Biosynthesis (38 instances)
polyisoprenoid biosynthesis (E. coli),POLYISOPRENSYN-PWY,SI,0.08905255605,0.009892122948,All-trans Polyprenyl Biosynthesis (13 instances),,,Polyprenyl Biosynthesis (18 instances)
polyisoprenoid biosynthesis (E. coli),POLYISOPRENSYN-PWY,COLON,0,0,All-trans Polyprenyl Biosynthesis (13 instances),,,Polyprenyl Biosynthesis (18 instances)
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PWY-5910,SI,0.1564967788,0.01873911881,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Diterpenoid Biosynthesis (44 instances),,Polyprenyl Biosynthesis (18 instances)
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),PWY-5910,COLON,0,0,Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,Polyprenyl Biosynthesis (18 instances)
glycogen biosynthesis I (from ADP-D-Glucose),GLYCOGENSYNTH-PWY,SI,0.04959713952,0.006774658579,Glycogen and Starch Biosynthesis (4 instances),,,Polysaccharide Biosynthesis (73 instances)
glycogen biosynthesis I (from ADP-D-Glucose),GLYCOGENSYNTH-PWY,COLON,0,0,Glycogen and Starch Biosynthesis (4 instances),,,Polysaccharide Biosynthesis (73 instances)
L-arginine biosynthesis III (via N-acetyl-L-citrulline),PWY-5154,SI,-0.1697880835,0.03987126869,L-arginine Biosynthesis (4 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-arginine biosynthesis III (via N-acetyl-L-citrulline),PWY-5154,COLON,0,0,L-arginine Biosynthesis (4 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-glutamate and L-glutamine biosynthesis,PWY-5505,SI,-0.06826420332,0.02038075404,L-glutamate Biosynthesis (7 instances),L-glutamine Biosynthesis (2 instances),Metabolic Clusters (69 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-glutamate and L-glutamine biosynthesis,PWY-5505,COLON,0,0,L-glutamate Biosynthesis (7 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-histidine biosynthesis,HISTSYN-PWY,SI,-0.05853504921,0.01425156807,L-histidine Biosynthesis (2 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-histidine biosynthesis,HISTSYN-PWY,COLON,0,0,L-histidine Biosynthesis (2 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis IV,PWY-5104,SI,-0.0283402224,0.008509751282,L-isoleucine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis III,PWY-5103,SI,-0.02977874321,0.009116743809,L-isoleucine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis II,PWY-5101,SI,-0.02187815128,0.00776476178,L-isoleucine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis IV,PWY-5104,COLON,0,0,L-isoleucine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis III,PWY-5103,COLON,0,0,L-isoleucine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis II,PWY-5101,COLON,0,0,L-isoleucine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis III,PWY-2942,SI,0.05512309824,0.006645446896,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis VI,PWY-5097,SI,0.05499861771,0.006641458139,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis II,PWY-2941,SI,0.09130494639,0.01360612362,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis I,DAPLYSINESYN-PWY,SI,0.03933335311,0.007514156516,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis III,PWY-2942,COLON,0,0,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis VI,PWY-5097,COLON,0,0,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis II,PWY-2941,COLON,0,0,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis I,DAPLYSINESYN-PWY,COLON,0,0,L-lysine Biosynthesis (6 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-phenylalanine biosynthesis,PWY-6628,SI,0.06277747004,0.02225073704,L-phenylalanine Biosynthesis (4 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-phenylalanine biosynthesis,PWY-6628,COLON,0,0,L-phenylalanine Biosynthesis (4 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-threonine biosynthesis,THRESYN-PWY,SI,0.053489847,0.006495696998,L-threonine Biosynthesis (2 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-threonine biosynthesis,THRESYN-PWY,COLON,0,0,L-threonine Biosynthesis (2 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-tryptophan biosynthesis,TRPSYN-PWY,SI,-0.08720814308,0.01609563482,L-tryptophan Biosynthesis (2 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
L-tryptophan biosynthesis,TRPSYN-PWY,COLON,0,0,L-tryptophan Biosynthesis (2 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-tyrosine biosynthesis,PWY-6630,SI,0.0622267197,0.02341997703,L-tyrosine Biosynthesis (5 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-tyrosine biosynthesis,PWY-6630,COLON,0,0,L-tyrosine Biosynthesis (5 instances),,,Proteinogenic Amino Acid Biosynthesis (89 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,PWY-7220,SI,0.07410959489,0.007733653177,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,PWY-7220,COLON,0,0,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
guanosine deoxyribonucleotides de novo biosynthesis II,PWY-7222,SI,0.07410959489,0.007733653177,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
guanosine deoxyribonucleotides de novo biosynthesis II,PWY-7222,COLON,0,0,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
5-aminoimidazole ribonucleotide biosynthesis II,PWY-6122,SI,0.04728600186,0.005940412659,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PWY-6277,SI,0.04728600186,0.005940412659,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis I,PWY-6121,SI,0.04627715793,0.005882474862,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis II,PWY-6122,COLON,0,0,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,PWY-6277,COLON,0,0,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis I,PWY-6121,COLON,0,0,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of guanosine nucleotides de novo biosynthesis II,PWY-6125,SI,0.09885820025,0.01044622359,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY,SI,0.0783369314,0.008365537788,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of guanosine nucleotides de novo biosynthesis I,PWY-7228,SI,0.1040082825,0.01112399186,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of purine nucleotides de novo biosynthesis I,PWY-841,SI,0.08104960832,0.008683597546,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis I,PWY-7229,SI,0.06220295979,0.006908242695,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126,SI,0.06283998728,0.007019047844,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of guanosine nucleotides de novo biosynthesis II,PWY-6125,COLON,0,0,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of purine nucleotides de novo biosynthesis II,DENOVOPURINE2-PWY,COLON,0,0,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of guanosine nucleotides de novo biosynthesis I,PWY-7228,COLON,0,0,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of purine nucleotides de novo biosynthesis I,PWY-841,COLON,0,0,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis I,PWY-7229,COLON,0,0,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis II,PWY-6126,COLON,0,0,Purine Nucleotide De Novo Biosynthesis (16 instances),,,Purine Nucleotide Biosynthesis (33 instances)
guanosine ribonucleotides de novo biosynthesis,PWY-7221,SI,0.0637650153,0.007026545924,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine ribonucleotides de novo biosynthesis,PWY-7219,SI,0.0575351255,0.006720012284,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,Purine Nucleotide De Novo Biosynthesis (16 instances)
guanosine ribonucleotides de novo biosynthesis,PWY-7221,COLON,0,0,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine ribonucleotides de novo biosynthesis,PWY-7219,COLON,0,0,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine nucleotides degradation II,SALVADEHYPOX-PWY,SI,-0.1852234774,0.04731775924,Adenosine Nucleotide Degradation (3 instances),,,Purine Nucleotide Degradation (16 instances)
adenosine nucleotides degradation II,SALVADEHYPOX-PWY,COLON,0,0,Adenosine Nucleotide Degradation (3 instances),,,Purine Nucleotide Degradation (16 instances)
guanosine nucleotides degradation III,PWY-6608,SI,-0.1503990835,0.0473095074,Guanosine Nucleotide Degradation (4 instances),,,Purine Nucleotide Degradation (16 instances)
guanosine nucleotides degradation III,PWY-6608,COLON,0,0,Guanosine Nucleotide Degradation (4 instances),,,Purine Nucleotide Degradation (16 instances)
adenine and adenosine salvage III,PWY-6609,SI,0.05321511071,0.006293601733,Adenine and Adenosine Salvage (6 instances),,,Purine Nucleotide Salvage (13 instances)
adenine and adenosine salvage III,PWY-6609,COLON,0,0,Adenine and Adenosine Salvage (6 instances),,,Purine Nucleotide Salvage (13 instances)
inosine-5'-phosphate biosynthesis I,PWY-6123,SI,0.05299099439,0.006442398391,Inosine-5'-phosphate Biosynthesis (3 instances),,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
inosine-5'-phosphate biosynthesis III,PWY-7234,SI,0.07904920756,0.009763676869,Inosine-5'-phosphate Biosynthesis (3 instances),,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
inosine-5'-phosphate biosynthesis I,PWY-6123,COLON,0,0,Inosine-5'-phosphate Biosynthesis (3 instances),,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
inosine-5'-phosphate biosynthesis III,PWY-7234,COLON,0,0,Inosine-5'-phosphate Biosynthesis (3 instances),,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of pyrimidine nucleobases salvage,PWY-7208,SI,0.0612946361,0.006824695176,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotide phosphorylation,PWY-7197,SI,0.1228604266,0.01369371018,Pyrimidine Nucleotide Salvage (12 instances),Metabolic Clusters (69 instances),,Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine ribonucleosides salvage,PWY-7196,SI,0.06960867781,0.008483260951,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine deoxyribonucleoside salvage,PWY-7200,SI,0.05530000387,0.009197054566,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleosides salvage,PWY-7199,SI,-0.04746248574,0.01430600548,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine nucleobases salvage,PWY-7208,COLON,0,0,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotide phosphorylation,PWY-7197,COLON,0,0,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine ribonucleosides salvage,PWY-7196,COLON,0,0,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine deoxyribonucleoside salvage,PWY-7200,COLON,0,0,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleosides salvage,PWY-7199,COLON,0,0,Pyrimidine Nucleotide Salvage (12 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine ribonucleotides de novo biosynthesis,PWY0-162,SI,0.08688976708,0.009270697368,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
superpathway of pyrimidine ribonucleotides de novo biosynthesis,PWY0-162,COLON,0,0,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
UMP biosynthesis I,PWY-5686,SI,0.05824653364,0.006794544643,UMP Biosynthesis (3 instances),,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
UMP biosynthesis I,PWY-5686,COLON,0,0,UMP Biosynthesis (3 instances),,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
superpathway of menaquinol-8 biosynthesis II,PWY-6263,SI,0.2630746856,0.04987803995,Menaquinol Biosynthesis (20 instances),,,Quinol and Quinone Biosynthesis (57 instances)
superpathway of menaquinol-8 biosynthesis II,PWY-6263,COLON,0,0,Menaquinol Biosynthesis (20 instances),,,Quinol and Quinone Biosynthesis (57 instances)
4-deoxy-L-threo-hex-4-enopyranuronate degradation,PWY-6507,SI,-0.1386241041,0.03623773886,Sugar Derivative Degradation (56 instances),,,Secondary Metabolite Degradation (127 instances)
4-deoxy-L-threo-hex-4-enopyranuronate degradation,PWY-6507,COLON,0,0,Sugar Derivative Degradation (56 instances),,,Secondary Metabolite Degradation (127 instances)
superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY,SI,0.0235471074,0.008174572079,Folate Biosynthesis (14 instances),,,Single Carbon Carrier Biosynthesis (23 instances)
superpathway of tetrahydrofolate biosynthesis and salvage,FOLSYN-PWY,COLON,0,0,Folate Biosynthesis (14 instances),,,Single Carbon Carrier Biosynthesis (23 instances)
D-galacturonate degradation I,GALACTUROCAT-PWY,SI,-0.1513949615,0.02942274911,D-Galacturonate Degradation (3 instances),,,Sugar Acid Degradation (19 instances)
D-galacturonate degradation I,GALACTUROCAT-PWY,COLON,0,0,D-Galacturonate Degradation (3 instances),,,Sugar Acid Degradation (19 instances)
superpathway of beta-D-glucuronosides degradation,GLUCUROCAT-PWY,SI,-0.09982310696,0.02683401725,D-Glucuronate Degradation (4 instances),,,Sugar Acid Degradation (19 instances)
superpathway of beta-D-glucuronosides degradation,GLUCUROCAT-PWY,COLON,0,0,D-Glucuronate Degradation (4 instances),,,Sugar Acid Degradation (19 instances)
gluconeogenesis I,GLUCONEO-PWY,SI,0.05044185967,0.006049361548,Gluconeogenesis (3 instances),,,Sugar Biosynthesis (107 instances)
gluconeogenesis I,GLUCONEO-PWY,COLON,0,0,Gluconeogenesis (3 instances),,,Sugar Biosynthesis (107 instances)
O-antigen building blocks biosynthesis (E. coli),OANTIGEN-PWY,SI,0.06481143863,0.006653831612,Sugar Nucleotide Biosynthesis (92 instances),Metabolic Clusters (69 instances),,Sugar Biosynthesis (107 instances)
O-antigen building blocks biosynthesis (E. coli),OANTIGEN-PWY,COLON,0,0,Sugar Nucleotide Biosynthesis (92 instances),,,Sugar Biosynthesis (107 instances)
D-galactose degradation I (Leloir pathway),PWY-6317,SI,0.06410050376,0.007297658444,Galactose Degradation (5 instances),,,Sugar Degradation (77 instances)
lactose and galactose degradation I,LACTOSECAT-PWY,SI,0.1673002669,0.02129764015,Galactose Degradation (5 instances),Lactose Degradation (3 instances),,Sugar Degradation (77 instances)
D-galactose degradation I (Leloir pathway),PWY-6317,COLON,0,0,Galactose Degradation (5 instances),,,Sugar Degradation (77 instances)
lactose and galactose degradation I,LACTOSECAT-PWY,COLON,0,0,Galactose Degradation (5 instances),,,Sugar Degradation (77 instances)
sucrose degradation III (sucrose invertase),PWY-621,SI,0.05871766442,0.007439608625,Sucrose Degradation (7 instances),,,Sugar Degradation (77 instances)
sucrose degradation IV (sucrose phosphorylase),PWY-5384,SI,0.2861946699,0.03977457618,Sucrose Degradation (7 instances),,,Sugar Degradation (77 instances)
sucrose degradation III (sucrose invertase),PWY-621,COLON,0,0,Sucrose Degradation (7 instances),,,Sugar Degradation (77 instances)
sucrose degradation IV (sucrose phosphorylase),PWY-5384,COLON,0,0,Sucrose Degradation (7 instances),,,Sugar Degradation (77 instances)
anhydromuropeptides recycling I,PWY0-1261,SI,-0.1232013006,0.02947908892,Anhydromuropeptide Recycling (2 instances),,,Sugar Derivative Degradation (56 instances)
anhydromuropeptides recycling I,PWY0-1261,COLON,0,0,Anhydromuropeptide Recycling (2 instances),,,Sugar Derivative Degradation (56 instances)
superpathway of hexitol degradation (bacteria),HEXITOLDEGSUPER-PWY,SI,0.1611325004,0.03784672023,Sugar Alcohol Degradation (20 instances),,,Sugar Derivative Degradation (56 instances)
myo-inositol degradation I,P562-PWY,SI,0.3501879777,0.09839768801,Sugar Alcohol Degradation (20 instances),,,Sugar Derivative Degradation (56 instances)
superpathway of hexitol degradation (bacteria),HEXITOLDEGSUPER-PWY,COLON,0,0,Sugar Alcohol Degradation (20 instances),,,Sugar Derivative Degradation (56 instances)
myo-inositol degradation I,P562-PWY,COLON,0,0,Sugar Alcohol Degradation (20 instances),,,Sugar Derivative Degradation (56 instances)
ADP-L-glycero-beta-D-manno-heptose biosynthesis,PWY0-1241,SI,0.26111117,0.07689445961,ADP-sugar Biosynthesis (1 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
ADP-L-glycero-beta-D-manno-heptose biosynthesis,PWY0-1241,COLON,0,0,ADP-sugar Biosynthesis (1 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
dTDP-beta-L-rhamnose biosynthesis,DTDPRHAMSYN-PWY,SI,0.04437979573,0.006690612894,dTDP-sugar Biosynthesis (22 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
dTDP-N-acetylthomosamine biosynthesis,PWY-7315,SI,-0.2305644167,0.07407875234,dTDP-sugar Biosynthesis (22 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
dTDP-beta-L-rhamnose biosynthesis,DTDPRHAMSYN-PWY,COLON,0,0,dTDP-sugar Biosynthesis (22 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
dTDP-N-acetylthomosamine biosynthesis,PWY-7315,COLON,0,0,dTDP-sugar Biosynthesis (22 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
GDP-mannose biosynthesis,PWY-5659,SI,-0.08538956004,0.01363117713,GDP-sugar Biosynthesis (16 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,PWY-7323,SI,-0.08991527204,0.02860627229,GDP-sugar Biosynthesis (16 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
GDP-mannose biosynthesis,PWY-5659,COLON,0,0,GDP-sugar Biosynthesis (16 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,PWY-7323,COLON,0,0,GDP-sugar Biosynthesis (16 instances),,,Sugar Nucleotide Biosynthesis (92 instances)
assimilatory sulfate reduction I,SO4ASSIM-PWY,SI,0.3556357785,0.06990842522,Assimilatory Sulfate Reduction (4 instances),,,Sulfur Compound Metabolism (87 instances)
assimilatory sulfate reduction I,SO4ASSIM-PWY,COLON,0,0,Assimilatory Sulfate Reduction (4 instances),,,Sulfur Compound Metabolism (87 instances)
superpathway of sulfur oxidation (Acidianus ambivalens),PWY-5304,SI,0.2740057923,0.08720382665,Sulfur Oxidation (4 instances),,,Sulfur Compound Metabolism (87 instances)
superpathway of sulfur oxidation (Acidianus ambivalens),PWY-5304,COLON,0,0,Sulfur Oxidation (4 instances),,,Sulfur Compound Metabolism (87 instances)
thiamine diphosphate salvage II,PWY-6897,SI,-0.07643035499,0.01709913374,thiamine Diphosphate Salvage (7 instances),,,Thiamine Biosynthesis (20 instances)
thiamine diphosphate salvage II,PWY-6897,COLON,0,0,thiamine Diphosphate Salvage (7 instances),,,Thiamine Biosynthesis (20 instances)
thiazole component of thiamine diphosphate biosynthesis I,PWY-6892,SI,-0.09618606693,0.02729605128,Thiazole Biosynthesis (4 instances),,,Thiamine Biosynthesis (20 instances)
thiazole component of thiamine diphosphate biosynthesis I,PWY-6892,COLON,0,0,Thiazole Biosynthesis (4 instances),,,Thiamine Biosynthesis (20 instances)
UDP-N-acetyl-D-glucosamine biosynthesis I,UDPNAGSYN-PWY,SI,0.08241345509,0.009016541377,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,UDP-sugar Biosynthesis (31 instances)
UDP-N-acetyl-D-glucosamine biosynthesis I,UDPNAGSYN-PWY,COLON,0,0,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,UDP-sugar Biosynthesis (31 instances)
