SampleID,SequenceDepth,Type,Site,Site_General,MouseID,Genotype,Sex,Litter,Description,Sequencing_Run
Mouse7A.DTT42,82522,Mucosal,Duodenum,SI,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.DTT42,One
Mouse8A.DTT90,92960,Mucosal,Duodenum,SI,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.DTT90,Two
Mouse9A.DTT102,56816,Mucosal,Duodenum,SI,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.DTT102,Two
Mouse10A.DTT114,57066,Mucosal,Duodenum,SI,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.DTT114,Two
Mouse10A.FP114,114123,Luminal,Duodenum,SI,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.FP114,Two
Mouse1A.FP06,118040,Luminal,Duodenum,SI,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.FP06,One
Mouse2A.FP12,123711,Luminal,Duodenum,SI,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.FP12,One
Mouse3A.FP18,181495,Luminal,Duodenum,SI,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.FP18,One
Mouse4A.FP24,141934,Luminal,Duodenum,SI,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.FP24,One
Mouse5A.FP30,155556,Luminal,Duodenum,SI,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.FP30,One
Mouse6A.FP36,138786,Luminal,Duodenum,SI,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.FP36,One
Mouse7A.FP42,103688,Luminal,Duodenum,SI,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.FP42,One
Mouse8A.FP90,199439,Luminal,Duodenum,SI,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.FP90,Two
Mouse9A.FP102,145520,Luminal,Duodenum,SI,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.FP102,Two
Mouse1A.DTT02,17012,Mucosal,Proximal_Colon,Colon,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.DTT02,One
Mouse2A.DTT08,21502,Mucosal,Proximal_Colon,Colon,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.DTT08,One
Mouse1B.DTT14,130068,Mucosal,Proximal_Colon,Colon,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.DTT14,One
Mouse4A.DTT20,124270,Mucosal,Proximal_Colon,Colon,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.DTT20,One
Mouse5A.DTT26,144135,Mucosal,Proximal_Colon,Colon,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.DTT26,One
Mouse6A.DTT32,101471,Mucosal,Proximal_Colon,Colon,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.DTT32,One
Mouse7A.DTT38,103205,Mucosal,Proximal_Colon,Colon,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.DTT38,One
Mouse8A.DTT86,83632,Mucosal,Proximal_Colon,Colon,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.DTT86,Two
Mouse9A.DTT98,152015,Mucosal,Proximal_Colon,Colon,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.DTT98,Two
Mouse10A.DTT110,87690,Mucosal,Proximal_Colon,Colon,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.DTT110,Two
Mouse10A.FP110,60285,Luminal,Proximal_Colon,Colon,Mouse10A,WT,F,DOB_4_17_2018,Mouse10A.FP110,Two
Mouse1A.FP02,127278,Luminal,Proximal_Colon,Colon,Mouse1A,WT,F,DOB_10_11_2017,Mouse1A.FP02,One
Mouse2A.FP08,124687,Luminal,Proximal_Colon,Colon,Mouse2A,WT,M,DOB_10_20_2017,Mouse2A.FP08,One
Mouse3A.FP14,112502,Luminal,Proximal_Colon,Colon,Mouse3A,WT,M,DOB_10_20_2017,Mouse3A.FP14,One
Mouse4A.FP20,117065,Luminal,Proximal_Colon,Colon,Mouse4A,WT,F,DOB_10_20_2017,Mouse4A.FP20,One
Mouse5A.FP26,106627,Luminal,Proximal_Colon,Colon,Mouse5A,WT,F,DOB_10_24_2017,Mouse5A.FP26,One
Mouse6A.FP32,129196,Luminal,Proximal_Colon,Colon,Mouse6A,WT,F,DOB_10_24_2017,Mouse6A.FP32,One
Mouse7A.FP38,100816,Luminal,Proximal_Colon,Colon,Mouse7A,WT,F,DOB_10_24_2017,Mouse7A.FP38,One
Mouse8A.FP86,111700,Luminal,Proximal_Colon,Colon,Mouse8A,WT,M,DOB_4_17_2018,Mouse8A.FP86,Two
Mouse9A.FP98,98367,Luminal,Proximal_Colon,Colon,Mouse9A,WT,M,DOB_4_17_2018,Mouse9A.FP98,Two
