"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"890","chanoclavine I aldehyde biosynthesis","Alkaloid Biosynthesis (89 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"891","chaxamycin biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"892","chelerythrine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"893","Chemoautotrophic Energy Metabolism (18 instances)",NA,NA,NA,NA,NA,NA,NA
"894","chitin biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Glycan Biosynthesis (99 instances)",NA,NA,NA,NA
"895","chitin deacetylation","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"896","Chitin Degradation (5 instances)","Carbohydrate Degradation (134 instances)","Polymeric Compound Degradation (52 instances)",NA,NA,NA,NA,NA
"897","chitin degradation I (archaea)","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"898","chitin degradation II (Vibrio)","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"899","chitin degradation III (Serratia)","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"900","chitin derivatives degradation","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"901","chitobiose degradation","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"902","chloramphenicol biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"903","chlorate reduction","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"904","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA,NA,NA
"905","chlorinated phenols degradation","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"906","Chloroaromatic Compound Degradation (35 instances)","Degradation/Utilization/Assimilation (1104 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"907","chlorobactene biosynthesis","Carotenoid Biosynthesis (43 instances)","Tetraterpenoid Biosynthesis (38 instances)",NA,NA,NA,NA,NA
"908","chlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"909","Chlorobenzene Degradation (6 instances)","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"910","Chlorobenzoate Degradation (6 instances)","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"911","Chlorocatechol Degradation (7 instances)","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"912","chlorogenic acid biosynthesis I","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"913","chlorogenic acid biosynthesis II","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"914","chlorogenic acid degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"915","Chlorophyll a Biosynthesis (6 instances)","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"916","chlorophyll a biosynthesis I","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"917","chlorophyll a biosynthesis II","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"918","chlorophyll a biosynthesis III","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"919","Chlorophyll a Degradation (3 instances)","Cofactor, Prosthetic Group, Electron Carrier Degradation (13 instances)",NA,NA,NA,NA,NA,NA
"920","chlorophyll a degradation I","Tetrapyrrole Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"921","chlorophyll a degradation II","Tetrapyrrole Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"922","chlorophyll a degradation III","Tetrapyrrole Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"923","chlorophyll a2 biosynthesis","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"924","chlorophyll b2 biosynthesis","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"925","Chlorophyll Biosynthesis (15 instances)","Tetrapyrrole Biosynthesis (39 instances)",NA,NA,NA,NA,NA,NA
"926","chlorophyll cycle","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"927","Chlorophyllide a Biosynthesis (3 instances)","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"928","chlorosalicylate degradation","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"929","chlorotetracycline biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"930","Chlorotoluene Degradation (5 instances)","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"931","chlorpyrifos degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"932","chlorzoxazone degradation","Aromatic Compound Degradation (227 instances)","Chlorinated Compound Degradation (44 instances)",NA,NA,NA,NA,NA
"933","cholesterol biosynthesis (algae, late side-chain reductase)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"934","cholesterol biosynthesis (diatoms)","Fatty Acid and Lipid Biosynthesis (224 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA
"935","cholesterol biosynthesis (plants, early side-chain reductase)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"936","cholesterol biosynthesis I","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"937","cholesterol biosynthesis II (via 24,25-dihydrolanosterol)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"938","cholesterol biosynthesis III (via desmosterol)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"939","Cholesterol Degradation (6 instances)","Fatty Acid and Lipid Degradation (57 instances)",NA,NA,NA,NA,NA,NA
"940","cholesterol degradation to androstenedione I (cholesterol oxidase)","Steroid Degradation (19 instances)",NA,NA,NA,NA,NA,NA
"941","cholesterol degradation to androstenedione II (cholesterol dehydrogenase)","Steroid Degradation (19 instances)",NA,NA,NA,NA,NA,NA
"942","cholesterol degradation to androstenedione III (anaerobic)","Steroid Degradation (19 instances)",NA,NA,NA,NA,NA,NA
"943","choline-O-sulfate degradation","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"944","Choline Biosynthesis (3 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"945","choline biosynthesis I","Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"946","choline biosynthesis II","Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"947","choline biosynthesis III","Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"948","Choline Degradation (5 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"949","choline degradation I","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"950","choline degradation II","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"951","choline degradation III","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"952","choline degradation IV","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"953","chondroitin biosynthesis","Polysaccharide Biosynthesis (73 instances)","Polysaccharide Biosynthesis (73 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA
"954","chondroitin sulfate biosynthesis","Polysaccharide Biosynthesis (73 instances)","Polysaccharide Biosynthesis (73 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA
"955","chondroitin sulfate degradation (metazoa)","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)","Glycan Pathways (121 instances)","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA
"956","chondroitin sulfate degradation I (bacterial)","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"957","Chorismate Biosynthesis (3 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"958","chorismate biosynthesis from 3-dehydroquinate","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"959","chorismate biosynthesis I","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"960","chorismate biosynthesis II (archaea)","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"961","chrysin biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"962","chrysoeriol biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"963","cichoriin interconversion","Phenylpropanoid Derivative Biosynthesis (211 instances)","Activation/Inactivation/Interconversion (53 instances)",NA,NA,NA,NA,NA
"964","cinchona alkaloids biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"965","cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"966","Cinnamate Biosynthesis (14 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"967","cinnamate esters biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"968","cinnamoyl-CoA biosynthesis","Biosynthesis (1993 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA
"969","cis-abienol biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"970","cis-alkene biosynthesis","Olefin Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"971","cis-calamenene related sesquiterpenoids biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"972","cis-geranyl-CoA degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"973","cis-vaccenate biosynthesis","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"974","cis-zeatin biosynthesis","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"975","citrate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"976","citrate lyase activation","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"977","citreoisocoumarin and bikisocoumarin biosynthesis",NA,"Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"978","citronellol degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"979","clavulanate biosynthesis","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"980","CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"981","CMP-3-deoxy-D-manno-octulosonate biosynthesis","CMP-sugar Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"982","CMP-3-deoxy-D-manno-octulosonate Biosynthesis (2 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"983","CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis","CMP-sugar Biosynthesis (12 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA
"984","CMP-diacetamido-8-epilegionaminic acid biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"985","CMP-legionaminate biosynthesis (2 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"986","CMP-legionaminate biosynthesis I","CMP-sugar Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"987","CMP-legionaminate biosynthesis II","CMP-sugar Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"988","CMP-N-acetyl-7-O-acetylneuraminate biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"989","CMP-N-acetylneuraminate Biosynthesis (2 instances)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"990","CMP-N-acetylneuraminate biosynthesis I (eukaryotes)","CMP-sugar Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"991","CMP-N-acetylneuraminate biosynthesis II (bacteria)","CMP-sugar Biosynthesis (12 instances)",NA,NA,NA,NA,NA,NA
"992","CMP-N-glycoloylneuraminate biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"993","CMP-pseudaminate biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"994","CMP-sugar Biosynthesis (12 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"995","CMP phosphorylation","Pyrimidine Nucleotide Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"996","CO2 Fixation (15 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"997","CO2 fixation into oxaloacetate (anaplerotic)","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"998","cob(II)yrinate a,c-diamide biosynthesis (2 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"999","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1000","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1001","cobalamin salvage (eukaryotic)","Cobamide Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"1002","Cobamide Biosynthesis (28 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1003","Cobamide de novo Biosynthesis (21 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1004","Cobamide Lower Ligand Biosynthesis (5 instances)","Cobamide Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"1005","Cobinamide Salvage (7 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1006","cocaine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"1007","coelimycin P1 biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1008","Coenzyme A Biosynthesis (8 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1009","coenzyme A biosynthesis I (prokaryotic)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1010","coenzyme A biosynthesis II (eukaryotic)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1011","coenzyme B biosynthesis","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1012","Coenzyme B/Coenzyme M Regeneration (5 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1013","coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1014","coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1015","coenzyme B/coenzyme M regeneration III (coenzyme F420-dependent)","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1016","coenzyme B/coenzyme M regeneration IV (H2-dependent)","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1017","coenzyme B/coenzyme M regeneration V (formate-dependent)","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1018","Coenzyme M Biosynthesis (2 instances)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1019","coenzyme M biosynthesis I","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1020","coenzyme M biosynthesis II","Single Carbon Carrier Biosynthesis (23 instances)",NA,NA,NA,NA,NA,NA
"1021","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA,NA
"1022","Cofactor, Prosthetic Group, Electron Carrier Degradation (13 instances)",NA,NA,NA,NA,NA,NA,NA
"1023","colanic acid (Escherichia coli K12) biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Glycan Biosynthesis (99 instances)",NA,NA,NA,NA
"1024","colanic acid building blocks biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1025","colchicine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"1026","colibactin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"1027","colupulone and cohumulone biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1028","complex N-linked glycan biosynthesis (plants)","Glycan Biosynthesis (99 instances)","Glycan Biosynthesis (99 instances)","Protein Modification (41 instances)",NA,NA,NA,NA
"1029","complex N-linked glycan biosynthesis (vertebrates)","Glycan Biosynthesis (99 instances)","Glycan Biosynthesis (99 instances)","Protein Modification (41 instances)",NA,NA,NA,NA
"1030","coniferin metabolism","Phenylpropanoid Derivative Biosynthesis (211 instances)","Phenolic Compound Degradation (27 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA
"1031","coniferyl alcohol 9-methyl ester biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1032","Conjugated Fatty Acid Biosynthesis (4 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"1033","conversion of succinate to propanoate","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA
"1034","coptisine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"1035","coral bioluminescence",NA,NA,NA,NA,NA,NA,NA
"1036","cornusiin E biosynthesis","Hydrolyzable Tannin Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1037","costunolide biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"1038","coumarin biosynthesis (via 2-coumarate)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1039","coumarin metabolism (to melilotic acid)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Phenolic Compound Degradation (27 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA
"1040","Coumarin Phytoalexin Biosynthesis (1 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"1041","Coumarins Biosynthesis (14 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1042","coumarins biosynthesis (engineered)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1043","coumestrol biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"1044","creatine biosynthesis","Biosynthesis (1993 instances)","Proteinogenic Amino Acid Degradation (113 instances)",NA,NA,NA,NA,NA
"1045","creatine phosphate biosynthesis","Biosynthesis (1993 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1046","Creatinine Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1047","creatinine degradation I","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"1048","creatinine degradation II","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"1049","creatinine degradation III","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"1050","cremeomycin biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1051","crepenynate biosynthesis","Unsaturated Fatty Acid Biosynthesis (60 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA
"1052","crocetin biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1053","crocetin esters biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1054","crotonate fermentation (to acetate and cyclohexane carboxylate)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"1055","crotonosine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"1056","crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)","C1 Compound Utilization and Assimilation (39 instances)",NA,NA,NA,NA,NA,NA
"1057","curcumene biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"1058","curcumin degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1059","curcumin glucoside biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"1060","curcuminoid biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1061","cuticular wax biosynthesis","Plant Cell Structures (10 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1062","cutin biosynthesis","Plant Cell Structures (10 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1063","cyanate degradation",NA,"Inorganic Nutrient Metabolism (142 instances)",NA,NA,NA,NA,NA
"1064","cyanide degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1065","Cyanide Detoxification (2 instances)",NA,NA,NA,NA,NA,NA,NA
"1066","cyanide detoxification I","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"1067","cyanide detoxification II","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"1068","cyanidin 3,7-diglucoside polyacylation biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"1069","cyanidin diglucoside biosynthesis (acyl-glucose dependent)","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"1070","cyanidin dimalonylglucoside biosynthesis","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"1071","Cyanogenic Glucoside Biosynthesis (7 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"1072","Cyanogenic Glucoside Degradation (8 instances)","Nitrogen Containing Secondary Compound Degradation (23 instances)",NA,NA,NA,NA,NA,NA
"1073","cyanophycin metabolism","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1074","Cyanurate Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1075","cyanuric acid degradation I","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"1076","cyanuric acid degradation II","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"1077","cyclic 2,3-bisphosphoglycerate biosynthesis","Metabolic Regulator Biosynthesis (36 instances)",NA,NA,NA,NA,NA,NA
"1078","cyclic electron flow","Generation of Precursor Metabolites and Energy (240 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA
"1079","Cyclitol Biosynthesis (19 instances)","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"1080","Cyclitol Degradation (6 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1081","cycloartenol biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA
"1082","cyclobis-(1->6)-alpha-nigerosyl degradation","Carbohydrate Degradation (134 instances)","Polymeric Compound Degradation (52 instances)",NA,NA,NA,NA,NA
"1083","cyclohexane-1-carboxyl-CoA biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1084","cyclohexane-1-carboxylate degradation (anaerobic)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1085","cyclohexanol degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1086","cyclooctatin biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"1087","Cyclopeptide Biosynthesis (2 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"1088","cyclopropane fatty acid (CFA) biosynthesis","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"1089","Cyclopropane Fatty Acid Biosynthesis (2 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"1090","cylindrospermopsin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"1091","cytidine-5'-diphosphate-glycerol biosynthesis","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA
"1092","cytidylyl copper-molybdenum cofactor biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1093","cytidylyl molybdenum cofactor biosynthesis","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1094","cytidylyl molybdenum cofactor sulfurylation","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1095","Cytochrome c Biogenesis (3 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1096","cytochrome c biogenesis (system I type)","Heme Biosynthesis (13 instances)","Heme Biosynthesis (13 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"1097","cytochrome c biogenesis (system II type)","Heme Biosynthesis (13 instances)","Heme Biosynthesis (13 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"1098","cytochrome c biogenesis (system III type)","Heme Biosynthesis (13 instances)","Heme Biosynthesis (13 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"1099","cytokinin-O-glucosides biosynthesis","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"1100","Cytokinin Biosynthesis (6 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"1101","Cytokinin Degradation (1 instances)","Hormone Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"1102","cytokinins 7-N-glucoside biosynthesis","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"1103","cytokinins 9-N-glucoside biosynthesis","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
