"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"980","CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate biosynthesis","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"981","CMP-3-deoxy-D-manno-octulosonate biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"982","CMP-3-deoxy-D-manno-octulosonate Biosynthesis (2 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"983","CMP-8-amino-3,8-dideoxy-D-manno-octulosonate biosynthesis","Sugar Nucleotide Biosynthesis (92 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA
"984","CMP-diacetamido-8-epilegionaminic acid biosynthesis","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"985","CMP-legionaminate biosynthesis (2 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"986","CMP-legionaminate biosynthesis I","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"987","CMP-legionaminate biosynthesis II","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"988","CMP-N-acetyl-7-O-acetylneuraminate biosynthesis","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"989","CMP-N-acetylneuraminate Biosynthesis (2 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"990","CMP-N-acetylneuraminate biosynthesis I (eukaryotes)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"991","CMP-N-acetylneuraminate biosynthesis II (bacteria)","Sugar Nucleotide Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"992","CMP-N-glycoloylneuraminate biosynthesis","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"993","CMP-pseudaminate biosynthesis","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA
"994","CMP-sugar Biosynthesis (12 instances)","Carbohydrate Biosynthesis (228 instances)",NA,NA,NA,NA,NA,NA
"995","CMP phosphorylation","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"996","CO2 Fixation (15 instances)",NA,NA,NA,NA,NA,NA,NA
"997","CO2 fixation into oxaloacetate (anaplerotic)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"998","cob(II)yrinate a,c-diamide biosynthesis (2 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"999","cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1000","cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1001","cobalamin salvage (eukaryotic)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1002","Cobamide Biosynthesis (28 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1003","Cobamide de novo Biosynthesis (21 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1004","Cobamide Lower Ligand Biosynthesis (5 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1005","Cobinamide Salvage (7 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1006","cocaine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"1007","coelimycin P1 biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1008","Coenzyme A Biosynthesis (8 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1009","coenzyme A biosynthesis I (prokaryotic)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1010","coenzyme A biosynthesis II (eukaryotic)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1011","coenzyme B biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1012","Coenzyme B/Coenzyme M Regeneration (5 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1013","coenzyme B/coenzyme M regeneration I (methanophenazine-dependent)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1014","coenzyme B/coenzyme M regeneration II (ferredoxin-dependent)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1015","coenzyme B/coenzyme M regeneration III (coenzyme F420-dependent)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1016","coenzyme B/coenzyme M regeneration IV (H2-dependent)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1017","coenzyme B/coenzyme M regeneration V (formate-dependent)","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1018","Coenzyme M Biosynthesis (2 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1019","coenzyme M biosynthesis I","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1020","coenzyme M biosynthesis II","Carrier Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA
"1021","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA,NA
"1022","Cofactor, Prosthetic Group, Electron Carrier Degradation (13 instances)",NA,NA,NA,NA,NA,NA,NA
"1023","colanic acid (Escherichia coli K12) biosynthesis","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)","Glycan Pathways (121 instances)",NA,NA,NA,NA
"1024","colanic acid building blocks biosynthesis",NA,NA,NA,NA,NA,NA,NA
"1025","colchicine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"1026","colibactin biosynthesis","Biosynthesis (1993 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1027","colupulone and cohumulone biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1028","complex N-linked glycan biosynthesis (plants)","Carbohydrate Biosynthesis (228 instances)","Glycan Pathways (121 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"1029","complex N-linked glycan biosynthesis (vertebrates)","Carbohydrate Biosynthesis (228 instances)","Glycan Pathways (121 instances)","Macromolecule Modification (64 instances)",NA,NA,NA,NA
"1030","coniferin metabolism","Secondary Metabolite Biosynthesis (911 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA
"1031","coniferyl alcohol 9-methyl ester biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1032","Conjugated Fatty Acid Biosynthesis (4 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA,NA
"1033","conversion of succinate to propanoate","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1034","coptisine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"1035","coral bioluminescence",NA,NA,NA,NA,NA,NA,NA
"1036","cornusiin E biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1037","costunolide biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"1038","coumarin biosynthesis (via 2-coumarate)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1039","coumarin metabolism (to melilotic acid)","Secondary Metabolite Biosynthesis (911 instances)","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA
"1040","Coumarin Phytoalexin Biosynthesis (1 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1041","Coumarins Biosynthesis (14 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1042","coumarins biosynthesis (engineered)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1043","coumestrol biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1044","creatine biosynthesis",NA,"Amino Acid Degradation (127 instances)",NA,NA,NA,NA,NA
"1045","creatine phosphate biosynthesis",NA,NA,NA,NA,NA,NA,NA
"1046","Creatinine Degradation (3 instances)",NA,NA,NA,NA,NA,NA,NA
"1047","creatinine degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1048","creatinine degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1049","creatinine degradation III","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1050","cremeomycin biosynthesis",NA,NA,NA,NA,NA,NA,NA
"1051","crepenynate biosynthesis","Fatty Acid Biosynthesis (92 instances)","Fatty Acid Biosynthesis (92 instances)",NA,NA,NA,NA,NA
"1052","crocetin biosynthesis","Carotenoid Biosynthesis (43 instances)","Tetraterpenoid Biosynthesis (38 instances)",NA,NA,NA,NA,NA
"1053","crocetin esters biosynthesis","Carotenoid Biosynthesis (43 instances)","Tetraterpenoid Biosynthesis (38 instances)",NA,NA,NA,NA,NA
"1054","crotonate fermentation (to acetate and cyclohexane carboxylate)",NA,NA,NA,NA,NA,NA,NA
"1055","crotonosine biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1056","crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1057","curcumene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1058","curcumin degradation",NA,NA,NA,NA,NA,NA,NA
"1059","curcumin glucoside biosynthesis","Biosynthesis (1993 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1060","curcuminoid biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1061","cuticular wax biosynthesis","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA
"1062","cutin biosynthesis","Cell Structure Biosynthesis (104 instances)",NA,NA,NA,NA,NA,NA
"1063","cyanate degradation",NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"1064","cyanide degradation",NA,NA,NA,NA,NA,NA,NA
"1065","Cyanide Detoxification (2 instances)",NA,NA,NA,NA,NA,NA,NA
"1066","cyanide detoxification I",NA,NA,NA,NA,NA,NA,NA
"1067","cyanide detoxification II",NA,NA,NA,NA,NA,NA,NA
"1068","cyanidin 3,7-diglucoside polyacylation biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1069","cyanidin diglucoside biosynthesis (acyl-glucose dependent)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1070","cyanidin dimalonylglucoside biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1071","Cyanogenic Glucoside Biosynthesis (7 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1072","Cyanogenic Glucoside Degradation (8 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1073","cyanophycin metabolism",NA,NA,NA,NA,NA,NA,NA
"1074","Cyanurate Degradation (2 instances)",NA,NA,NA,NA,NA,NA,NA
"1075","cyanuric acid degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1076","cyanuric acid degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1077","cyclic 2,3-bisphosphoglycerate biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1078","cyclic electron flow",NA,NA,NA,NA,NA,NA,NA
"1079","Cyclitol Biosynthesis (19 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1080","Cyclitol Degradation (6 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1081","cycloartenol biosynthesis","Biosynthesis (1993 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA
"1082","cyclobis-(1->6)-alpha-nigerosyl degradation","Degradation/Utilization/Assimilation (1104 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA
"1083","cyclohexane-1-carboxyl-CoA biosynthesis",NA,NA,NA,NA,NA,NA,NA
"1084","cyclohexane-1-carboxylate degradation (anaerobic)",NA,NA,NA,NA,NA,NA,NA
"1085","cyclohexanol degradation",NA,NA,NA,NA,NA,NA,NA
"1086","cyclooctatin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1087","Cyclopeptide Biosynthesis (2 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1088","cyclopropane fatty acid (CFA) biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"1089","Cyclopropane Fatty Acid Biosynthesis (2 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1090","cylindrospermopsin biosynthesis","Biosynthesis (1993 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1091","cytidine-5'-diphosphate-glycerol biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1092","cytidylyl copper-molybdenum cofactor biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1093","cytidylyl molybdenum cofactor biosynthesis","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1094","cytidylyl molybdenum cofactor sulfurylation","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA
"1095","Cytochrome c Biogenesis (3 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Tetrapyrrole Biosynthesis (39 instances)",NA,NA,NA,NA,NA
"1096","cytochrome c biogenesis (system I type)","Enzyme Cofactor Biosynthesis (137 instances)","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1097","cytochrome c biogenesis (system II type)","Enzyme Cofactor Biosynthesis (137 instances)","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1098","cytochrome c biogenesis (system III type)","Enzyme Cofactor Biosynthesis (137 instances)","Porphyrin Compound Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1099","cytokinin-O-glucosides biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"1100","Cytokinin Biosynthesis (6 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1101","Cytokinin Degradation (1 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1102","cytokinins 7-N-glucoside biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"1103","cytokinins 9-N-glucoside biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"1104","cytokinins degradation","Hormone Degradation (20 instances)",NA,NA,NA,NA,NA,NA
"1105","cytosolic NADPH production (yeast)","Carrier Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA
"1106","D-allose degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1107","D-altritol and galactitol degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1108","D-Amino Acid Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1109","D-Apionate Degradation (3 instances)",NA,NA,NA,NA,NA,NA,NA
"1110","D-apionate degradation I (xylose isomerase family decarboxylase)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1111","D-apionate degradation II (RLP decarboxylase)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1112","D-apionate degradation III (RLP transcarboxylase/hydrolase)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1113","D-Apiose Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1114","D-apiose degradation I","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1115","D-apiose degradation II (to D-apionate)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1116","D-arabinose Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1117","D-arabinose degradation I","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1118","D-arabinose degradation II","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1119","D-arabinose degradation III","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1120","D-arabitol degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1121","D-arginine degradation","Amino Acid Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1122","D-Carnitine Degradation (2 instances)",NA,NA,NA,NA,NA,NA,NA
"1123","D-carnitine degradation I","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1124","D-carnitine degradation II","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1125","D-cycloserine biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1126","D-cycloserine inhibition of pyridoxal 5'-phosphate",NA,NA,NA,NA,NA,NA,NA
"1127","D-erythronate degradation I",NA,NA,NA,NA,NA,NA,NA
"1128","D-erythronate degradation II",NA,NA,NA,NA,NA,NA,NA
"1129","D-fructuronate degradation","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"1130","D-Galactarate Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"1131","D-galactarate degradation I","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1132","D-galactarate degradation II","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1133","D-galactonate degradation","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"1134","D-galactosamine and N-acetyl-D-galactosamine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1135","D-galactose degradation I (Leloir pathway)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1136","D-galactose degradation II","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1137","D-galactose degradation IV","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1138","D-galactose detoxification",NA,NA,NA,NA,NA,NA,NA
"1139","D-Galacturonate Degradation (3 instances)","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"1140","D-galacturonate degradation I","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1141","D-galacturonate degradation II","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1142","D-galacturonate degradation III","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1143","D-Glucarate Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"1144","D-glucarate degradation I","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1145","D-glucarate degradation II","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1146","D-gluconate degradation",NA,NA,NA,NA,NA,NA,NA
"1147","D-glucosaminate degradation",NA,NA,NA,NA,NA,NA,NA
"1148","D-Glucuronate Degradation (4 instances)","Degradation/Utilization/Assimilation (1104 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA
"1149","D-glucuronate degradation I","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1150","D-glucuronate degradation II","Carboxylate Degradation (101 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA
"1151","D-gulosides conversion to D-glucosides","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1152","D-lactate to cytochrome bo oxidase electron transfer","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"1153","D-malate degradation",NA,NA,NA,NA,NA,NA,NA
"1154","D-Mannose-Degradation (2 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1155","D-mannose degradation I","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1156","D-mannose degradation II","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1157","D-myo-inositol-5-phosphate metabolism","Sugar Derivative Biosynthesis (34 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1158","D-myo-inositol (1,3,4)-trisphosphate biosynthesis","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"1159","D-myo-inositol (1,4,5)-trisphosphate biosynthesis","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"1160","D-myo-inositol (1,4,5)-trisphosphate degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1161","D-myo-inositol (1,4,5,6)-tetrakisphosphate biosynthesis","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"1162","D-myo-inositol (3,4,5,6)-tetrakisphosphate biosynthesis","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA,NA
"1163","D-phenylglycine degradation",NA,NA,NA,NA,NA,NA,NA
"1164","D-serine degradation","Amino Acid Degradation (127 instances)","Amino Acid Degradation (127 instances)",NA,NA,NA,NA,NA
"1165","D-sorbitol biosynthesis I","Sugar Derivative Biosynthesis (34 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1166","D-sorbitol degradation I","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1167","D-sorbitol degradation II","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1168","D-threitol degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"1169","D-threonate degradation",NA,NA,NA,NA,NA,NA,NA
"1170","D-xylose degradation I","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1171","D-xylose degradation II","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1172","D-xylose degradation III","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1173","D-xylose degradation IV","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1174","D-xylose degradation to ethylene glycol (engineered)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1175","D-xylose degradation V","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"1176","daidzein conjugates interconversion",NA,"Phenylpropanoid Derivative Biosynthesis (211 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA
"1177","daidzin and daidzein degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1178","dalcochinin biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1179","dalpatein and dalnigrein biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1180","dammara-20,24-diene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1181","dapdiamides biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1182","daphnetin modification","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1183","daphnin interconversion","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1184","daunorubicin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1185","daurichromenate biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1186","deacetylcephalosporin C biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1187","decaprenoxanthin diglucoside biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"1188","dechlorogriseofulvin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA
"1189","deethylsimazine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"1190","Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA,NA
"1191","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,NA
"1192","dehydro-D-arabinono-1,4-lactone biosynthesis","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"1193","dehydroabietic acid biosynthesis","Terpenoid Biosynthesis (203 instances)",NA,NA,NA,NA,NA,NA
"1194","dehydrophos biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1195","dehydroscoulerine biosynthesis","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"1196","delphinidin diglucoside biosynthesis (acyl-glucose dependent)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"1197","delta-guaiene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"1198","demethylmenaquinol-4 biosynthesis","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"1199","Demethylmenaquinol-6 Biosynthesis (4 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"1200","demethylmenaquinol-6 biosynthesis I","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"1201","demethylmenaquinol-6 biosynthesis II","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"1202","Demethylmenaquinol-8 Biosynthesis (3 instances)","Electron Carrier Biosynthesis (99 instances)",NA,NA,NA,NA,NA,NA
"1203","demethylmenaquinol-8 biosynthesis I","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"1204","demethylmenaquinol-8 biosynthesis II","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
