"","L1...Terminal.Pathway","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"489","aloesone biosynthesis II","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"490","alpha-amyrin biosynthesis","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"491","alpha-carotene biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"492","alpha-cyclopiazonate biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"493","alpha-cyclopiazonate detoxification","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"494","alpha-diglucosyldiacylglycerol biosynthesis","Glycolipid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"495","alpha-dystroglycan glycosylation","Protein Glycosylation (22 instances)","Protein Glycosylation (22 instances)","Protein Glycosylation (22 instances)",NA,NA,NA,NA
"496","alpha-eleostearate biosynthesis","Conjugated Fatty Acid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"497","alpha-Linolenate Biosynthesis (2 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA,NA
"498","alpha-linolenate biosynthesis I (plants and red algae)","alpha-Linolenate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"499","alpha-linolenate biosynthesis II (cyanobacteria)","alpha-Linolenate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"500","alpha-solanine/alpha-chaconine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"501","alpha-tocopherol degradation","Degradation/Utilization/Assimilation - Other (28 instances)",NA,NA,NA,NA,NA,NA
"502","alpha-tomatine biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"503","alpha-tomatine degradation","Alkaloid Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"504","amaranthin biosynthesis","Betalaine Alkaloid Biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"505","Amaryllidacea alkaloids biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"506","Amine and Polyamine Biosynthesis (38 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"507","Amine and Polyamine Degradation (62 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"508","Amine Biosynthesis (1 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)",NA,NA,NA,NA,NA,NA
"509","Amino Acid Biosynthesis (124 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"510","Amino Acid Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"511","Amino Acid Fermentation (Stickland reactions) (15 instances)","Fermentation (81 instances)",NA,NA,NA,NA,NA,NA
"512","Aminoacyl-tRNA Charging (4 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"513","Aminopropanol Phosphate Biosynthesis (2 instances)","Cobamide de novo Biosynthesis (21 instances)",NA,NA,NA,NA,NA,NA
"514","aminopropanol phosphate biosynthesis I","Aminopropanol Phosphate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"515","aminopropanol phosphate biosynthesis II","Aminopropanol Phosphate Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"516","aminopropylcadaverine biosynthesis","Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"517","Ammonia Assimilation (5 instances)","Nitrogen Compound Metabolism (33 instances)",NA,NA,NA,NA,NA,NA
"518","ammonia assimilation cycle I","Ammonia Assimilation (5 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"519","ammonia assimilation cycle II","Ammonia Assimilation (5 instances)",NA,NA,NA,NA,NA,NA
"520","ammonia assimilation cycle III","Ammonia Assimilation (5 instances)",NA,NA,NA,NA,NA,NA
"521","Ammonia Oxidation (5 instances)","Nitrogen Compound Metabolism (33 instances)",NA,NA,NA,NA,NA,NA
"522","ammonia oxidation I (aerobic)","Ammonia Oxidation (5 instances)","Chemoautotrophic Energy Metabolism (18 instances)",NA,NA,NA,NA,NA
"523","ammonia oxidation II (anaerobic)","Ammonia Oxidation (5 instances)","Anaerobic Respiration (40 instances)","Chemoautotrophic Energy Metabolism (18 instances)",NA,NA,NA,NA
"524","ammonia oxidation III","Ammonia Oxidation (5 instances)",NA,NA,NA,NA,NA,NA
"525","ammonia oxidation IV (autotrophic ammonia oxidizers)","Ammonia Oxidation (5 instances)","Chemoautotrophic Energy Metabolism (18 instances)","Superpathways (382 instances)",NA,NA,NA,NA
"526","amygdalin and prunasin degradation","Cyanogenic Glucoside Degradation (8 instances)",NA,NA,NA,NA,NA,NA
"527","anaerobic aromatic compound degradation (Thauera aromatica)","Aromatic Compound Degradation (227 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"528","anaerobic energy metabolism (invertebrates, cytosol)","Fermentation (81 instances)",NA,NA,NA,NA,NA,NA
"529","anaerobic energy metabolism (invertebrates, mitochondrial)","Fermentation to Short-Chain Fatty Acids (40 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"530","Anaerobic Respiration (40 instances)","Respiration (65 instances)",NA,NA,NA,NA,NA,NA
"531","Anandamide Biosynthesis (2 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"532","anandamide biosynthesis I","Anandamide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"533","anandamide biosynthesis II","Anandamide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"534","anandamide degradation","Fatty Acid and Lipid Degradation (57 instances)",NA,NA,NA,NA,NA,NA
"535","anandamide lipoxygenation","Fatty Acid and Lipid Degradation (57 instances)",NA,NA,NA,NA,NA,NA
"536","anditomin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"537","androgen biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"538","Androstenedione Degradation (2 instances)","Steroid Degradation (19 instances)",NA,NA,NA,NA,NA,NA
"539","androstenedione degradation I (aerobic)","Androstenedione Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"540","androstenedione degradation II (anaerobic)","Androstenedione Degradation (2 instances)",NA,NA,NA,NA,NA,NA
"541","anguibactin biosynthesis","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"542","Anhydromuropeptide Recycling (2 instances)","Sugar Derivative Degradation (56 instances)",NA,NA,NA,NA,NA,NA
"543","anhydromuropeptides recycling I","Anhydromuropeptide Recycling (2 instances)",NA,NA,NA,NA,NA,NA
"544","anhydromuropeptides recycling II","Anhydromuropeptide Recycling (2 instances)",NA,NA,NA,NA,NA,NA
"545","aniline degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"546","ansatrienin biosynthesis","Antibiotic Biosynthesis (123 instances)","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA
"547","anteiso-branched-chain fatty acid biosynthesis","Branched Fatty Acid Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"548","anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)","Anthocyanin Biosynthesis (28 instances)","Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"549","anthocyanidin acylglucoside and acylsambubioside biosynthesis","Anthocyanin Biosynthesis (28 instances)","Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"550","anthocyanidin modification (Arabidopsis)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"551","anthocyanidin sambubioside biosynthesis","Anthocyanin Biosynthesis (28 instances)","Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"552","anthocyanidin sophoroside metabolism","Anthocyanin Biosynthesis (28 instances)","Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA
"553","anthocyanin biosynthesis","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"554","Anthocyanin Biosynthesis (28 instances)","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"555","anthocyanin biosynthesis (delphinidin 3-O-glucoside)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"556","anthocyanin biosynthesis (pelargonidin 3-O-glucoside)","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"557","anthranilate degradation I (aerobic)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"558","anthranilate degradation II (aerobic)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"559","anthranilate degradation III (anaerobic)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"560","anthranilate degradation IV (aerobic)","2-Aminobenzoate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"561","Antibiotic Biosynthesis (123 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA,NA
"562","Antibiotic degradation (3 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"563","Antibiotic Resistance (8 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"564","apicidin biosynthesis","Cyclopeptide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"565","apicidin F biosynthesis","Cyclopeptide Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"566","apigenin glycosides biosynthesis","Flavone Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"567","apigeninidin 5-O-glucoside biosynthesis","Anthocyanin Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA
"568","Apocarotenoid Biosynthesis (4 instances)","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"569","arabidopyrone biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"570","Arachidonate Biosynthesis (5 instances)","Polyunsaturated Fatty Acid Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"571","arachidonate biosynthesis I (6-desaturase, lower eukaryotes)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"572","arachidonate biosynthesis II (bacteria)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"573","arachidonate biosynthesis III (6-desaturase, mammals)","Arachidonate Biosynthesis (5 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"574","arachidonate biosynthesis IV (8-detaturase, lower eukaryotes)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"575","arachidonate biosynthesis V (8-detaturase, mammals)","Arachidonate Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"576","archaeosine biosynthesis I","Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"577","archaeosine biosynthesis II","Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"578","archaetidylinositol biosynthesis","Phospholipid Biosynthesis (38 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"579","archaetidylserine and archaetidylethanolamine biosynthesis","Phospholipid Biosynthesis (38 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"580","arctigenin and isoarctigenin biosynthesis","Lignan Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"581","Arg/N-end rule pathway (eukaryotic)","Metabolic Clusters (69 instances)","Protein Modification (41 instances)",NA,NA,NA,NA,NA
"582","arginine dependent acid resistance","Acid Resistance (4 instances)",NA,NA,NA,NA,NA,NA
"583","arginomycin biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"584","Aroma Compound Biosynthesis (13 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"585","aromatic biogenic amine degradation (bacteria)","Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"586","Aromatic Compound Biosynthesis (51 instances)","Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA
"587","Aromatic Compound Degradation (227 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA
"588","aromatic compounds degradation via beta-ketoadipate","Catechol Degradation (7 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"589","aromatic glucosinolate activation","Glucosinolate Activation (4 instances)","Glucosinolate Activation (4 instances)",NA,NA,NA,NA,NA
"590","aromatic polyketides biosynthesis","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"591","Arsenate Detoxification (5 instances)","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"592","arsenate detoxification I","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"593","arsenate detoxification II","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"594","arsenate detoxification III","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"595","arsenate detoxification IV (mycothiol)","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"596","arsenate detoxification V","Arsenate Detoxification (5 instances)",NA,NA,NA,NA,NA,NA
"597","arsenate reduction (respiratory)","Anaerobic Respiration (40 instances)",NA,NA,NA,NA,NA,NA
"598","Arsenic Compound Detoxification (19 instances)","Detoxification (65 instances)",NA,NA,NA,NA,NA,NA
"599","arsenic detoxification (mammals)","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"600","arsenic detoxification (plants)","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"601","arsenic detoxification (yeast)","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"602","arsenite methylation (bacterial)","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"603","arsenite to oxygen electron transfer","Aerobic Respiration (23 instances)","Arsenic Compound Detoxification (19 instances)","Chemoautotrophic Energy Metabolism (18 instances)","Electron Transfer Chains (43 instances)",NA,NA,NA
"604","arsenite to oxygen electron transfer (via azurin)","Aerobic Respiration (23 instances)","Arsenic Compound Detoxification (19 instances)","Chemoautotrophic Energy Metabolism (18 instances)","Electron Transfer Chains (43 instances)",NA,NA,NA
"605","arsonoacetate degradation","Arsenic Compound Detoxification (19 instances)",NA,NA,NA,NA,NA,NA
"606","artemisinin and arteannuin B biosynthesis","Sesquiterpene Lactone Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"607","Ascorbate Biosynthesis (8 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Vitamin Biosynthesis (66 instances)",NA,NA,NA,NA,NA
"608","ascorbate glutathione cycle","Reactive Oxygen Species Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"609","ascorbate recycling (cytosolic)","Cofactor, Prosthetic Group, Electron Carrier Degradation (13 instances)",NA,NA,NA,NA,NA,NA
"610","aspartate superpathway","Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"611","asperlicin E biosynthesis","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"612","aspirin triggered resolvin D biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"613","aspirin triggered resolvin E biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"614","aspyridone A biosynthesis","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"615","Assimilatory Sulfate Reduction (4 instances)","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA,NA
"616","assimilatory sulfate reduction I","Assimilatory Sulfate Reduction (4 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"617","assimilatory sulfate reduction II","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"618","assimilatory sulfate reduction III","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"619","assimilatory sulfate reduction IV","Assimilatory Sulfate Reduction (4 instances)",NA,NA,NA,NA,NA,NA
"620","astaxanthin biosynthesis (bacteria, fungi, algae)","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"621","astaxanthin biosynthesis (flowering plants)","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"622","astaxanthin dirhamnoside biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"623","asterrate biosynthesis","Quinone Secondary Metabolite Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"624","ATP biosynthesis","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"625","Atrazine Degradation (4 instances)","s-Triazine Degredation (7 instances)",NA,NA,NA,NA,NA,NA
"626","atrazine degradation I (aerobic)","Atrazine Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"627","atrazine degradation II","Atrazine Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"628","atrazine degradation III","Atrazine Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"629","atromentin biosynthesis","Quinone Secondary Metabolite Biosynthesis (10 instances)",NA,NA,NA,NA,NA,NA
"630","aucuparin biosynthesis","Phytoalexin Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"631","aurachin A, B, C and D biosynthesis","Aurachin Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"632","Aurachin Biosynthesis (2 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"633","aurachin RE biosynthesis","Aurachin Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"634","aureobasidin A biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"635","aureothin biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"636","aurofusarin biosynthesis","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"637","aurone biosynthesis","Aurone Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"638","Aurone Biosynthesis (2 instances)","Flavonoid Biosynthesis (128 instances)",NA,NA,NA,NA,NA,NA
"639","autoinducer AI-1 biosynthesis","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"640","autoinducer AI-2 biosynthesis I","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"641","autoinducer AI-2 biosynthesis II (Vibrio)","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"642","autoinducer AI-2 degradation","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA
"643","Autoinducer Biosynthesis (4 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA
"644","autoinducer CAI-1 biosynthesis","Autoinducer Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"645","Autotrophic CO2 Fixation (12 instances)","CO2 Fixation (15 instances)",NA,NA,NA,NA,NA,NA
"646","Auxin Biosynthesis (7 instances)","Plant Hormone Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"647","avenacin A-1 biosynthesis","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"648","avenacin A-2 biosynthesis","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"649","avenanthramide biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"650","B series fagopyritols biosynthesis","Cyclitol Degradation (6 instances)","Sugar Derivative Biosynthesis (34 instances)",NA,NA,NA,NA,NA
"651","bacillibactin biosynthesis","Siderophore and Metallophore Biosynthesis (29 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"652","bacillithiol biosynthesis","Reductant Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"653","bacilysin biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"654","bacimethrin and bacimethrin pyrophosphate biosynthesis","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"655","backdoor pathway of androgen biosynthesis","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"656","bacterial bioluminescence","Bioluminescence (7 instances)",NA,NA,NA,NA,NA,NA
"657","bacteriochlorophyll a biosynthesis","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"658","bacteriochlorophyll b biosynthesis","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"659","bacteriochlorophyll c biosynthesis","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"660","bacteriochlorophyll d biosynthesis","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"661","bacteriochlorophyll e biosynthesis","Chlorophyll Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"662","bacterioruberin biosynthesis","C50 Carotenoid Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"663","baicalein degradation (hydrogen peroxide detoxification)","Phenylpropanoid Derivative Degradation (10 instances)","Phenylpropanoid Derivative Degradation (10 instances)","Reactive Oxygen Species Degradation (4 instances)",NA,NA,NA,NA
"664","baicalein metabolism","Flavone Biosynthesis (15 instances)",NA,NA,NA,NA,NA,NA
"665","barbaloin biosynthesis","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"666","baruol biosynthesis","Triterpenoid Biosynthesis (32 instances)",NA,NA,NA,NA,NA,NA
"667","base-degraded thiamine salvage","thiamine Diphosphate Salvage (7 instances)","thiamine Diphosphate Salvage (7 instances)",NA,NA,NA,NA,NA
"668","bassianin and desmethylbassianin biosynthesis","Polyketide Biosynthesis (42 instances)",NA,NA,NA,NA,NA,NA
"669","baumannoferrin biosynthesis","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"670","benzene degradation","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"671","benzenesulfonate degradation","Sulfoaromatic Compound Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"672","Benzenoids Biosynthesis (1 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"673","benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP","Adenosylcobamide Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"674","Benzoate Biosynthesis (3 instances)","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"675","benzoate biosynthesis I (CoA-dependent, beta-oxidative)","Benzoate Biosynthesis (3 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"676","benzoate biosynthesis II (CoA-independent, non-beta-oxidative)","Benzoate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"677","benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)","Benzoate Biosynthesis (3 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"678","Benzoate Degradation (3 instances)","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"679","benzoate degradation I (aerobic)","Benzoate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"680","benzoate degradation II (aerobic and anaerobic)","Benzoate Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"681","benzoate fermentation (to acetate and cyclohexane carboxylate)","Fermentation (81 instances)","Superpathways (382 instances)",NA,NA,NA,NA,NA
"682","benzoyl-beta-D-glucopyranose biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)",NA,NA,NA,NA,NA,NA
"683","benzoyl-CoA biosynthesis","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"684","Benzoyl-CoA Degradation (3 instances)","Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"685","benzoyl-CoA degradation I (aerobic)","Benzoyl-CoA Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"686","benzoyl-CoA degradation II (anaerobic)","Benzoyl-CoA Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"687","benzoyl-CoA degradation III (anaerobic)","Benzoyl-CoA Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"688","benzoylanthranilate biosynthesis","Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA,NA
"689","berberine biosynthesis","Isoquinoline and Benzylisoquinoline Alkaloid Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"690","Bergamotene Biosynthesis (2 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"691","bergamotene biosynthesis I","Bergamotene Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"692","bergamotene biosynthesis II","Bergamotene Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"693","beta-(1,4)-mannan degradation","Polysaccharide Degradation (47 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA
"694","beta-1,4-D-mannosyl-N-acetyl-D-glucosamine degradation","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA
"695","beta-alanine betaine biosynthesis","Betaine Biosynthesis (6 instances)","Betaine Biosynthesis (6 instances)","Other Amino Acid Degradation (14 instances)",NA,NA,NA,NA
"696","beta-alanine biosynthesis I","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"697","beta-alanine biosynthesis II","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"698","beta-alanine biosynthesis III","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"699","beta-alanine biosynthesis IV","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"700","beta-Alanine Degradation (3 instances)","Other Amino Acid Degradation (14 instances)",NA,NA,NA,NA,NA,NA
"701","beta-alanine degradation I","beta-Alanine Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"702","beta-alanine degradation II","beta-Alanine Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"703","beta-alanine degradation III","beta-Alanine Degradation (3 instances)",NA,NA,NA,NA,NA,NA
"704","beta-carboline biosynthesis","Indole Alkaloid Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"705","beta-carotene biosynthesis","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"706","beta-carotene biosynthesis (engineered)","C40 Carotenoid Biosynthesis (37 instances)","C40 Carotenoid Biosynthesis (37 instances)","Superpathways (382 instances)",NA,NA,NA,NA
"707","beta-caryophyllene biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"708","beta-cubebene biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"709","beta-D-glucuronide and D-glucuronate degradation","D-Glucuronate Degradation (4 instances)","D-Glucuronate Degradation (4 instances)",NA,NA,NA,NA,NA
"710","beta-D-mannosyl phosphomycoketide biosynthesis","Fatty Acid and Lipid Biosynthesis (224 instances)",NA,NA,NA,NA,NA,NA
"711","beta-dihydromenaquinone-9 biosynthesis","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"712","beta-pyrazole-1-ylalanine biosynthesis","Non-Protein Amino Acid Biosynthesis (6 instances)",NA,NA,NA,NA,NA,NA
"713","beta Alanine Biosynthesis (5 instances)","Other Amino Acid Biosynthesis (24 instances)",NA,NA,NA,NA,NA,NA
"714","beta myrcene degradation","Terpenoid Degradation (22 instances)",NA,NA,NA,NA,NA,NA
