L1 = Terminal Pathway,Splay,L2,L3,L4
lipid A-core biosynthesis (E. coli K-12),L2B,Lipid A-core Biosynthesis (4 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
lipid A-core biosynthesis (P. gingivalis),L2B,Lipid A-core Biosynthesis (4 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
lipid A-core biosynthesis (Salmonella),L2B,Lipid A-core Biosynthesis (4 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
"lipid IVA biosynthesis (2,3-diamino-2,3-dideoxy-D-glucopyranose-containing)",L2B,Lipid IVA Biosynthesis (5 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
Lipid IVA Biosynthesis (5 instances),L2B,Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
lipid IVA biosynthesis (E. coli),L2B,Lipid IVA Biosynthesis (5 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
lipid IVA biosynthesis (generic),L2B,Lipid IVA Biosynthesis (5 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
lipid IVA biosynthesis (P. gingivalis),L2B,Lipid IVA Biosynthesis (5 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
lipid IVA biosynthesis (P. putida),L2B,Lipid IVA Biosynthesis (5 instances),Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances)
long-chain fatty acid activation,L2B,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),NA
lutein biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
lycopadiene biosynthesis,L2B,Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
Lycopene Biosynthesis (2 instances),L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
maackiain conjugates interconversion,L2B,Isoflavonoid Biosynthesis (31 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
mandelate degradation to acetyl-CoA,L2B,Superpathways (382 instances),NA,NA
mannitol degradation II,L2B,Sugar Degradation (77 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
medicarpin conjugates interconversion,L2B,Isoflavonoid Biosynthesis (31 instances),Flavonoid Biosynthesis (128 instances),Phenylpropanoid Derivative Biosynthesis (211 instances)
meta cleavage pathway of aromatic compounds,L2B,Superpathways (382 instances),NA,NA
Methanobacterium thermoautotrophicum biosynthetic metabolism,L2B,Superpathways (382 instances),NA,NA
methanogenesis from dimethylsulfide,L2B,Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
methanogenesis from methanol,L2B,Methanogenesis (15 instances),Anaerobic Respiration (40 instances),Respiration (65 instances)
methanogenesis from methoxylated aromatic compounds,L2B,Methanogenesis (15 instances),Anaerobic Respiration (40 instances),Respiration (65 instances)
methanogenesis from methylthiopropanoate,L2B,Sulfur Compound Metabolism (87 instances),Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances)
methanol and methylamine oxidation to formaldehyde,L2B,Superpathways (382 instances),NA,NA
methanol oxidation to carbon dioxide,L2B,Detoxification (65 instances),NA,NA
methyl indole-3-acetate interconversion,L2B,Interconversions (22 instances),Activation/Inactivation/Interconversion (53 instances),NA
methylglyoxal degradation I,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation II,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation III,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation IV,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation V,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation VI,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation VII,L2B,Methylglyoxal Detoxification (8 instances),Detoxification (65 instances),NA
methylglyoxal degradation VIII,L2B,Methylglyoxal Detoxification (8 instances),Aldehyde Degradation (11 instances),Degradation/Utilization/Assimilation (1104 instances)
Methylglyoxal Detoxification (8 instances),L2B,Detoxification (65 instances),NA,NA
methylsalicylate degradation,L2B,Metabolic Clusters (69 instances),NA,NA
mitochondrial NADPH production (yeast),L2B,NAD Metabolism (19 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
mixed acid fermentation,L2B,Pyruvate Fermentation to Ethanol (7 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
"mono-trans, poly-cis decaprenyl phosphate biosynthesis",L2B,Polyprenyl Biosynthesis (18 instances),Biosynthesis (1993 instances),NA
monolignol glucosides biosynthesis,L2B,Metabolic Clusters (69 instances),NA,NA
monoterpene biosynthesis,L2B,Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
mRNA capping II,L2B,Superpathways (382 instances),NA,NA
mucin core 1 and core 2 O-glycosylation,L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
mucin core 3 and core 4 O-glycosylation,L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
mycolyl-arabinogalactan-peptidoglycan complex biosynthesis,L2B,Glycan Pathways (121 instances),NA,NA
"myo-, chiro- and scyllo-inositol degradation",L2B,Superpathways (382 instances),NA,NA
myxol-2' fucoside biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
"N-3-oxalyl-L-2,3-diaminopropanoate biosynthesis",L2B,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
N-acetylglucosamine degradation (2 instances),L2B,Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances)
N-acetylglucosamine degradation I,L2B,N-acetylglucosamine degradation (2 instances),Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances)
N-acetylglucosamine degradation II,L2B,N-acetylglucosamine degradation (2 instances),Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances)
N-end rule pathway I (prokaryotic),L2B,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
N-end rule pathway II (prokaryotic),L2B,Protein Modification (41 instances),Macromolecule Modification (64 instances),NA
NAD Biosynthesis (12 instances),L2B,NAD Metabolism (19 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD biosynthesis III (from nicotinamide),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD de novo biosynthesis I (from aspartate),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD de novo biosynthesis II (from tryptophan),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD de novo biosynthesis IV (anaerobic),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD Metabolism (19 instances),L2B,Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Biosynthesis (1993 instances)
NAD phosphorylation and dephosphorylation,L2B,NAD Metabolism (19 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD phosphorylation and transhydrogenation,L2B,NAD Metabolism (19 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD salvage (plants),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD salvage pathway I (PNC VI cycle),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD salvage pathway II (PNC IV cycle),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD salvage pathway III (to nicotinamide riboside),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD salvage pathway IV (from nicotinamide riboside),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD salvage pathway V (PNC V cycle),L2B,NAD Biosynthesis (12 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NAD(P)/NADPH interconversion,L2B,NAD Metabolism (19 instances),Electron Carrier Biosynthesis (99 instances),Carrier Biosynthesis (137 instances)
NADH to cytochrome bd oxidase electron transfer I,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADH to cytochrome bd oxidase electron transfer II,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADH to cytochrome bo oxidase electron transfer I,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADH to cytochrome bo oxidase electron transfer II,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADH to dimethyl sulfoxide electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADH to fumarate electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADH to trimethylamine N-oxide electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
NADP biosynthesis,L2B,NAD Metabolism (19 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
NADPH to cytochrome c oxidase via plastocyanin,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
naphthalene degradation to acetyl-CoA,L2B,Superpathways (382 instances),NA,NA
naphthomycin biosynthesis,L2B,Polyketide Biosynthesis (42 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
neoxanthin biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
nerol biosynthesis,L2B,Monoterpenoid Biosynthesis (24 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
neurosporaxanthin biosynthesis,L2B,Apocarotenoid Biosynthesis (4 instances),C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances)
neurosporene biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
nitrate reduction I (denitrification),L2B,Denitrification (4 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
nitrate reduction III (dissimilatory),L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
nitrate reduction IV (dissimilatory),L2B,Nitrate Reduction (11 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
nitrate reduction IX (dissimilatory),L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
nitrate reduction VII (denitrification),L2B,Denitrification (4 instances),Nitrogen Compound Metabolism (33 instances),Inorganic Nutrient Metabolism (142 instances)
nitrate reduction VIII (dissimilatory),L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
nitrate reduction VIIIb (dissimilatory),L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
"nitrate reduction X (dissimilatory, periplasmic)",L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
nitrifier denitrification,L2B,Anaerobic Respiration (40 instances),Respiration (65 instances),Generation of Precursor Metabolites and Energy (240 instances)
nitrite oxidation,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
nitrite-dependent anaerobic methane oxidation,L2B,methane oxidation to methanol (3 instances),C1 Compound Utilization and Assimilation (39 instances),Degradation/Utilization/Assimilation (1104 instances)
Nitrophenol Degradation (4 instances),L2B,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
nivalenol biosynthesis,L2B,Tricothecene Biosynthesis (5 instances),Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances)
nostoxanthin biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
novobiocin biosynthesis,L2B,Superpathways (382 instances),NA,NA
O-Antigen Biosynthesis (45 instances),L2B,Polysaccharide Biosynthesis (73 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
O-antigen building blocks biosynthesis (E. coli),L2B,Sugar Nucleotide Biosynthesis (92 instances),Sugar Biosynthesis (107 instances),Carbohydrate Biosynthesis (228 instances)
ochratoxin A biosynthesis,L2B,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
okenone biosynthesis,L2B,C40 Carotenoid Biosynthesis (37 instances),Tetraterpenoid Biosynthesis (38 instances),Terpenoid Biosynthesis (203 instances)
oryzalide A biosynthesis,L2B,Terpenoid Phytoalexin Biosynthesis (10 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
oxygenic photosynthesis,L2B,Superpathways (382 instances),NA,NA
p-cumate degradation,L2B,Superpathways (382 instances),NA,NA
p-cymene degradation,L2B,Superpathways (382 instances),NA,NA
Pectin Degradation (3 instances),L2B,Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances),Degradation/Utilization/Assimilation (1104 instances)
pectin degradation I,L2B,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
pectin degradation II,L2B,Pectin Degradation (3 instances),Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances)
pederin biosynthesis,L2B,Toxin Biosynthesis (205 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
pentacyclic triterpene biosynthesis,L2B,Triterpenoid Biosynthesis (32 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
pentose phosphate pathway,L2B,Superpathways (382 instances),NA,NA
peptidoglycan biosynthesis II (staphylococci),L2B,Superpathways (382 instances),NA,NA
peptidoglycan biosynthesis III (mycobacteria),L2B,Superpathways (382 instances),NA,NA
peptidoglycan biosynthesis IV (Enterococcus faecium),L2B,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peptidoglycan biosynthesis V (beta-lactam resistance),L2B,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
peptidoglycan monomer biosynthesis I (meso-diaminopimelate containing),L2B,Superpathways (382 instances),NA,NA
phaseollin biosynthesis,L2B,Isoflavonoid Phytoalexin Biosynthesis (17 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
phenolic malonylglucosides biosynthesis,L2B,Metabolic Clusters (69 instances),NA,NA
phenylethanol biosynthesis,L2B,Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
phenylethanol glycoconjugate biosynthesis,L2B,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
phenylethyl acetate biosynthesis,L2B,Aromatic Compound Biosynthesis (51 instances),Biosynthesis (1993 instances),NA
Phenylethylamine Degradation (2 instances),L2B,Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances),Degradation/Utilization/Assimilation (1104 instances)
phenylethylamine degradation I,L2B,Phenylethylamine Degradation (2 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
phenylethylamine degradation II,L2B,Phenylethylamine Degradation (2 instances),Phenolic Compound Degradation (27 instances),Aromatic Compound Degradation (227 instances)
phenylpropanoid biosynthesis,L2B,Secondary Cell Wall (3 instances),Plant Cell Structures (10 instances),Cell Structure Biosynthesis (104 instances)
Phenylpropanoid Derivative Degradation (10 instances),L2B,Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances),NA
phenylpropanoid volatiles glycoconjugation (tomato),L2B,Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
phenylpropanoids methylation (ice plant),L2B,Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances),Biosynthesis (1993 instances)
phosphatidylglycerol biosynthesis I (plastidic),L2B,Superpathways (382 instances),NA,NA
phosphatidylglycerol biosynthesis II (non-plastidic),L2B,Superpathways (382 instances),NA,NA
phosphatidylserine and phosphatidylethanolamine biosynthesis I,L2B,Phosphatidylserine Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
phospholipases,L2B,Metabolic Clusters (69 instances),NA,NA
photorespiration,L2B,Photosynthesis (7 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
photosynthesis light reactions,L2B,Photosynthesis (7 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
photosynthetic 3-hydroxybutanoate biosynthesis (engineered),L2B,Superpathways (382 instances),NA,NA
phylloquinol biosynthesis,L2B,Vitamin Biosynthesis (66 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",Biosynthesis (1993 instances)
"phytocassanes biosynthesis, shared reactions",L2B,Terpenoid Phytoalexin Biosynthesis (10 instances),Phytoalexin Biosynthesis (38 instances),Toxin Biosynthesis (205 instances)
phytosterol biosynthesis (plants),L2B,Triterpenoid Biosynthesis (32 instances),Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances)
pinosylvin metabolism,L2B,Stilbene Biosynthesis (3 instances),Phenylpropanoid Derivative Biosynthesis (211 instances),Secondary Metabolite Biosynthesis (911 instances)
plant arabinogalactan type II degradation,L2B,Polysaccharide Degradation (47 instances),Carbohydrate Degradation (134 instances),Degradation/Utilization/Assimilation (1104 instances)
podophyllotoxin glucosides metabolism,L2B,Metabolic Clusters (69 instances),NA,NA
polyisoprenoid biosynthesis (E. coli),L2B,Superpathways (382 instances),NA,NA
polymyxin resistance,L2B,Lipopolysaccharide Biosynthesis (68 instances),Cell Structure Biosynthesis (104 instances),Biosynthesis (1993 instances)
Polysaccharide Biosynthesis (73 instances),L2B,Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances),Biosynthesis (1993 instances)
Polysaccharide Degradation (47 instances),L2B,Polymeric Compound Degradation (52 instances),Degradation/Utilization/Assimilation (1104 instances),NA
porphyran degradation,L2B,Polysaccharide Degradation (47 instances),Polymeric Compound Degradation (52 instances),Degradation/Utilization/Assimilation (1104 instances)
Porphyromonas gingivalis O-LPS antigen biosynthesis,L2B,O-Antigen Biosynthesis (45 instances),Polysaccharide Biosynthesis (73 instances),Carbohydrate Biosynthesis (228 instances)
prenylated FMNH2 biosynthesis,L2B,Flavin Biosynthesis (5 instances),Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
proline to cytochrome bo oxidase electron transfer,L2B,Electron Transfer Chains (43 instances),Generation of Precursor Metabolites and Energy (240 instances),NA
protein citrullination,L2B,Modification of Amino Acid Within Proteins (4 instances),Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
Protein Glycosylation (22 instances),L2B,Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances),NA
protein N-glycosylation (bacterial),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
protein N-glycosylation (Haloferax volcanii),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
protein N-glycosylation (Methanococcus voltae),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
protein N-glycosylation initial phase (eukaryotic),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
protein N-glycosylation processing phase (plants and animals),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
protein N-glycosylation processing phase (yeast),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
protein O-[N-acetyl]-glucosylation,L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
protein O-glycosylation (Neisseria),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Carbohydrate Biosynthesis (228 instances)
protein O-mannosylation I (yeast),L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
"protein O-mannosylation II (mammals, core M1 and core M2)",L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
"protein O-mannosylation III (mammals, core M3)",L2B,Protein Glycosylation (22 instances),Glycan Biosynthesis (99 instances),Glycan Pathways (121 instances)
"pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)",L2B,Phytoalexin Degradation (2 instances),Secondary Metabolite Degradation (127 instances),Degradation/Utilization/Assimilation (1104 instances)
purine deoxyribonucleosides salvage,L2B,Purine Nucleotide Salvage (13 instances),Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances),L2B,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
purine nucleobases degradation I (anaerobic),L2B,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
purine nucleobases degradation II (anaerobic),L2B,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
purine nucleotides degradation I (plants),L2B,Superpathways (382 instances),NA,NA
purine nucleotides degradation II (aerobic),L2B,Superpathways (382 instances),NA,NA
pyridoxal 5'-phosphate biosynthesis I,L2B,Vitamin B6 Biosynthesis (5 instances),Vitamin Biosynthesis (66 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
pyridoxal 5'-phosphate biosynthesis II,L2B,Vitamin B6 Biosynthesis (5 instances),Vitamin Biosynthesis (66 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
pyridoxal 5'-phosphate salvage I,L2B,Vitamin B6 Biosynthesis (5 instances),Vitamin Biosynthesis (66 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
pyridoxal 5'-phosphate salvage II (plants),L2B,Vitamin B6 Biosynthesis (5 instances),Vitamin Biosynthesis (66 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)"
Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),L2B,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
pyrimidine deoxyribonucleotide phosphorylation,L2B,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
pyrimidine deoxyribonucleotides biosynthesis from CTP,L2B,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis I,L2B,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis II,L2B,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,L2B,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis IV,L2B,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances)
pyrimidine deoxyribonucleotides dephosphorylation,L2B,Pyrimidine Deoxyribonucleoside Degradation (2 instances),Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
pyrimidine nucleobases salvage II,L2B,Superpathways (382 instances),NA,NA
pyrimidine ribonucleosides salvage II,L2B,Pyrimidine Ribonucleoside Degradation (6 instances),Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
pyrimidine ribonucleosides salvage III,L2B,Pyrimidine Ribonucleoside Degradation (6 instances),Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
pyruvate decarboxylation to acetyl CoA I,L2B,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances),NA
pyruvate fermentation to (R)-lactate,L2B,pyruvate fermentation to lactate (4 instances),Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
pyruvate fermentation to (S)-lactate,L2B,pyruvate fermentation to lactate (4 instances),Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
Pyruvate Fermentation to Acetate (11 instances),L2B,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
pyruvate fermentation to acetate and (S)-lactate I,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyruvate fermentation to acetate and alanine,L2B,Pyruvate Fermentation to Acetate (11 instances),Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
