"","L1...Terminal.Pathway","L3","L4","L2A","L2B","L2C","L2D","L2E","L2F","L2G"
"1044","superpathway of sulfide oxidation (Starkeya novella)","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Sulfide Oxidation (7 instances)",NA,NA,NA,NA,NA,NA
"1045","superpathway of sulfolactate degradation","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Sulfolactate Degradation (4 instances)",NA,NA,NA,NA,NA,NA
"1046","superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)","Biosynthesis (1993 instances)",NA,"Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA
"1047","superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Chemoautotrophic Energy Metabolism (18 instances)",NA,NA,NA,NA,NA,NA
"1048","superpathway of sulfur oxidation (Acidianus ambivalens)","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Sulfur Oxidation (4 instances)",NA,NA,NA,NA,NA,NA
"1049","superpathway of taurine degradation",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1050","superpathway of testosterone and androsterone degradation","Fatty Acid and Lipid Degradation (57 instances)","Degradation/Utilization/Assimilation (1104 instances)","Steroid Degradation (19 instances)",NA,NA,NA,NA,NA,NA
"1051","superpathway of tetracycline and oxytetracycline biosynthesis","Toxin Biosynthesis (205 instances)","Secondary Metabolite Biosynthesis (911 instances)","Antibiotic Biosynthesis (123 instances)",NA,NA,NA,NA,NA,NA
"1052","superpathway of tetrahydrofolate biosynthesis","Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)","Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"1053","superpathway of tetrahydrofolate biosynthesis and salvage","Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)","Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"1054","superpathway of tetrahydroxyxanthone biosynthesis",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1055","superpathway of tetrathionate reduction (Salmonella typhimurium)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1056","superpathway of the 3-hydroxypropanoate cycle","CO2 Fixation (15 instances)","C1 Compound Utilization and Assimilation (39 instances)","Autotrophic CO2 Fixation (12 instances)",NA,NA,NA,NA,NA,NA
"1057","superpathway of thiamine diphosphate biosynthesis I",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1058","superpathway of thiamine diphosphate biosynthesis II",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1059","superpathway of thiamine diphosphate biosynthesis III (eukaryotes)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1060","superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,"Superpathways (382 instances)",NA,NA,NA
"1061","superpathway of trimethylamine degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Amine and Polyamine Degradation (62 instances)",NA,NA,NA,NA,NA,NA
"1062","superpathway of ubiquinol-6 biosynthesis (late decarboxylation)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1063","superpathway of ubiquinol-8 biosynthesis (early decarboxylation)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1064","superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1065","superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1066","superpathway of unsaturated fatty acids biosynthesis (E. coli)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1067","superpathway of vanillin and vanillate degradation",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1068","synechoxanthin biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"1069","syringate degradation","Degradation/Utilization/Assimilation (1104 instances)",NA,"Aromatic Compound Degradation (227 instances)",NA,NA,NA,NA,NA,NA
"1070","T-2 toxin biosynthesis","Sesquiterpenoid Biosynthesis (41 instances)","Terpenoid Biosynthesis (203 instances)","Tricothecene Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"1071","Taurine Degradation (5 instances)","Inorganic Nutrient Metabolism (142 instances)","Degradation/Utilization/Assimilation (1104 instances)","Nitrogen Compound Metabolism (33 instances)","Sulfur Compound Metabolism (87 instances)",NA,NA,NA,NA,NA
"1072","taurine degradation I","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Taurine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"1073","taurine degradation II","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Taurine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"1074","taurine degradation III","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Taurine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"1075","taurine degradation IV","Nitrogen Compound Metabolism (33 instances)","Inorganic Nutrient Metabolism (142 instances)","Taurine Degradation (5 instances)",NA,NA,NA,NA,NA,NA
"1076","taxadiene biosynthesis (engineered)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Diterpenoid Biosynthesis (44 instances)",NA,NA,NA,NA,NA,NA
"1077","TCA cycle V (2-oxoglutarate synthase)","Autotrophic CO2 Fixation (12 instances)","CO2 Fixation (15 instances)","Reductive TCA Cycles (4 instances)",NA,NA,NA,NA,NA,NA
"1078","terminal O-glycans residues modification (via type 2 precursor disaccharide)","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Protein Glycosylation (22 instances)",NA,NA,NA,NA,NA,NA
"1079","Terpenoid Alkaloid Biosynthesis (4 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Secondary Metabolite Biosynthesis (911 instances)","Alkaloid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA
"1080","terrequinone A biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Indole Alkaloid Biosynthesis (11 instances)",NA,NA,NA,NA,NA,NA
"1081","tetraacylsucrose biosynthesis (Solanum)","Sugar Derivative Biosynthesis (34 instances)","Secondary Metabolite Biosynthesis (911 instances)","Acylsugar biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"1082","tetracycline resistance","Secondary Metabolite Degradation (127 instances)","Degradation/Utilization/Assimilation (1104 instances)","Antibiotic degradation (3 instances)",NA,NA,NA,NA,NA,NA
"1083","tetrahydrofolate biosynthesis","Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)","Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"1084","tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate","Single Carbon Carrier Biosynthesis (23 instances)","Carrier Biosynthesis (137 instances)","Folate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"1085","tetrathionate oxidation","Sulfur Compound Metabolism (87 instances)","Inorganic Nutrient Metabolism (142 instances)","Tetrathionate Oxidation (1 instances)",NA,NA,NA,NA,NA,NA
"1086","Tetrathionate Oxidation (1 instances)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"1087","tetrathionate reduction I (to thiosulfate)","Generation of Precursor Metabolites and Energy (240 instances)",NA,"Electron Transfer Chains (43 instances)",NA,NA,NA,NA,NA,NA
"1088","Thiamine Biosynthesis (20 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Vitamin Biosynthesis (66 instances)",NA,NA,NA,NA,NA
"1089","Thiamine Diphosphate Biosynthesis (4 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Thiamine Biosynthesis (20 instances)",NA,NA,NA,NA,NA,NA
"1090","thiamine diphosphate biosynthesis I (E. coli)","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiamine Diphosphate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1091","thiamine diphosphate biosynthesis II (Bacillus)","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiamine Diphosphate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1092","thiamine diphosphate biosynthesis III (Staphylococcus)","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiamine Diphosphate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1093","thiamine diphosphate biosynthesis IV (eukaryotes)","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiamine Diphosphate Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1094","thiamine Diphosphate Salvage (7 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Thiamine Biosynthesis (20 instances)",NA,NA,NA,NA,NA,NA
"1095","thiamine diphosphate salvage I","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","thiamine Diphosphate Salvage (7 instances)",NA,NA,NA,NA,NA,NA
"1096","thiamine diphosphate salvage II",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1097","thiamine diphosphate salvage III","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","thiamine Diphosphate Salvage (7 instances)",NA,NA,NA,NA,NA,NA
"1098","thiamine diphosphate salvage IV (yeast)","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","thiamine Diphosphate Salvage (7 instances)",NA,NA,NA,NA,NA,NA
"1099","thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","thiamine Diphosphate Salvage (7 instances)",NA,NA,NA,NA,NA,NA
"1100","Thiazole Biosynthesis (4 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Thiamine Biosynthesis (20 instances)",NA,NA,NA,NA,NA,NA
"1101","thiazole component of thiamine diphosphate biosynthesis I","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiazole Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1102","thiazole component of thiamine diphosphate biosynthesis II","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiazole Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1103","thiazole component of thiamine diphosphate biosynthesis III","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiazole Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1104","thiazole component of thiamine diphosphate biosynthesis IV","Thiamine Biosynthesis (20 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Thiazole Biosynthesis (4 instances)",NA,NA,NA,NA,NA,NA
"1105","thiosulfate disproportionation I (thiol-dependent)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"1106","thiosulfate disproportionation II (cytochrome)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"1107","thiosulfate disproportionation III (quinone)",NA,NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA
"1108","thiosulfate oxidation I (to tetrathionate)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"1109","thiosulfate oxidation II (via tetrathionate)","Respiration (65 instances)","Generation of Precursor Metabolites and Energy (240 instances)","Aerobic Respiration (23 instances)",NA,NA,NA,NA,NA,NA
"1110","toluene degradation I (aerobic) (via o-cresol)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1111","toluene degradation III (aerobic) (via p-cresol)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1112","toluene degradation IV (aerobic) (via catechol)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1113","toluene degradation V (aerobic) (via toluene-cis-diol)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1114","toluene degradation VI (anaerobic)",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1115","trans-caffeate degradation (aerobic)","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)","Phenylpropanoid Derivative Degradation (10 instances)",NA,NA,NA,NA,NA,NA
"1116","trans-lycopene biosynthesis I","C40 Carotenoid Biosynthesis (37 instances)","Carotenoid Biosynthesis (43 instances)","Lycopene Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"1117","trans-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)","C40 Carotenoid Biosynthesis (37 instances)","Carotenoid Biosynthesis (43 instances)","Lycopene Biosynthesis (2 instances)",NA,NA,NA,NA,NA,NA
"1118","Trehalose Biosynthesis (7 instances)","Metabolic Regulator Biosynthesis (36 instances)","Biosynthesis (1993 instances)","Organic Solute Biosynthesis (25 instances)",NA,NA,NA,NA,NA,NA
"1119","trehalose biosynthesis I","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1120","trehalose biosynthesis II","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1121","trehalose biosynthesis III","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1122","trehalose biosynthesis IV","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1123","trehalose biosynthesis V","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1124","trehalose biosynthesis VI","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1125","trehalose biosynthesis VII","Sugar Biosynthesis (107 instances)","Carbohydrate Biosynthesis (228 instances)","Trehalose Biosynthesis (7 instances)",NA,NA,NA,NA,NA,NA
"1126","triacylsucrose biosynthesis (Solanum)","Sugar Derivative Biosynthesis (34 instances)","Secondary Metabolite Biosynthesis (911 instances)","Acylsugar biosynthesis (8 instances)",NA,NA,NA,NA,NA,NA
"1127","Tricothecene Biosynthesis (5 instances)","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"1128","tRNA charging","Biosynthesis (1993 instances)",NA,"Aminoacyl-tRNA Charging (4 instances)",NA,NA,NA,NA,NA,NA
"1129","tRNA methylation (yeast)",NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA
"1130","UDP-alpha-D-galactofuranose biosynthesis",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1131","UDP-alpha-D-glucuronate biosynthesis (from myo-inositol)","Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)","Cyclitol Degradation (6 instances)",NA,NA,NA,NA,NA,NA
"1132","UDP-alpha-D-xylose biosynthesis",NA,NA,"Superpathways (382 instances)",NA,NA,NA,NA,NA,NA
"1133","UDP-sugars interconversion","Activation/Inactivation/Interconversion (53 instances)",NA,"Interconversions (22 instances)",NA,NA,NA,NA,NA,NA
"1134","ulvan degradation","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"1135","uracil degradation I (reductive)","Other Amino Acid Biosynthesis (24 instances)","Amino Acid Biosynthesis (124 instances)","beta Alanine Biosynthesis (5 instances)",NA,NA,NA,NA,NA,NA
"1136","ureide biosynthesis","Biosynthesis (1993 instances)",NA,"Amine and Polyamine Biosynthesis (38 instances)",NA,NA,NA,NA,NA,NA
"1137","valencene and 7-epi-alpha-selinene biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Aroma Compound Biosynthesis (13 instances)",NA,NA,NA,NA,NA,NA
"1138","vancomycin resistance I","Cell Structure Biosynthesis (104 instances)","Biosynthesis (1993 instances)","Cell Wall Biosynthesis (26 instances)",NA,NA,NA,NA,NA,NA
"1139","vancomycin resistance II","Cell Structure Biosynthesis (104 instances)","Biosynthesis (1993 instances)","Cell Wall Biosynthesis (26 instances)",NA,NA,NA,NA,NA,NA
"1140","Vernolate Biosynthesis (3 instances)","Fatty Acid Biosynthesis (92 instances)","Fatty Acid and Lipid Biosynthesis (224 instances)","Epoxylated Fatty Acid Biosynthesis (3 instances)","Unsaturated Fatty Acid Biosynthesis (60 instances)",NA,NA,NA,NA,NA
"1141","vernolate biosynthesis I","Epoxylated Fatty Acid Biosynthesis (3 instances)","Fatty Acid Biosynthesis (92 instances)","Vernolate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"1142","vernolate biosynthesis II","Epoxylated Fatty Acid Biosynthesis (3 instances)","Fatty Acid Biosynthesis (92 instances)","Vernolate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"1143","vernolate biosynthesis III","Epoxylated Fatty Acid Biosynthesis (3 instances)","Fatty Acid Biosynthesis (92 instances)","Vernolate Biosynthesis (3 instances)",NA,NA,NA,NA,NA,NA
"1144","vibriobactin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Siderophore and Metallophore Biosynthesis (29 instances)",NA,NA,NA,NA,NA,NA
"1145","vindoline, vindorosine and vinblastine biosynthesis","Alkaloid Biosynthesis (89 instances)","Nitrogen-Containing Secondary Compound Biosynthesis (122 instances)","Indole Alkaloid Biosynthesis (11 instances)","Terpenoid Alkaloid Biosynthesis (4 instances)",NA,NA,NA,NA,NA
"1146","violaxanthin, antheraxanthin and zeaxanthin interconversion","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"1147","viridicatumtoxin biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Polyketide Biosynthesis (42 instances)","Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA
"1148","Vitamin B6 Biosynthesis (5 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)","Biosynthesis (1993 instances)","Enzyme Cofactor Biosynthesis (137 instances)","Vitamin Biosynthesis (66 instances)",NA,NA,NA,NA,NA
"1149","vitamin D3 biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)","Hormone Biosynthesis (68 instances)",NA,NA,NA,NA,NA,NA
"1150","vitamin E biosynthesis (tocopherols)","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"1151","vitamin E biosynthesis (tocotrienols)","Electron Carrier Biosynthesis (99 instances)","Carrier Biosynthesis (137 instances)","Quinol and Quinone Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA
"1152","volatile benzenoid biosynthesis I (ester formation)",NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA
"1153","volatile cinnamoic ester biosynthesis","Phenylpropanoid Derivative Biosynthesis (211 instances)","Secondary Metabolite Biosynthesis (911 instances)","Cinnamate Biosynthesis (14 instances)",NA,NA,NA,NA,NA,NA
"1154","volatile esters biosynthesis (during fruit ripening)",NA,NA,"Metabolic Clusters (69 instances)",NA,NA,NA,NA,NA,NA
"1155","wighteone and luteone biosynthesis","Flavonoid Biosynthesis (128 instances)","Phenylpropanoid Derivative Biosynthesis (211 instances)","Isoflavonoid Biosynthesis (31 instances)",NA,NA,NA,NA,NA,NA
"1156","wybutosine biosynthesis","Macromolecule Modification (64 instances)",NA,"Nucleic Acid Processing (21 instances)",NA,NA,NA,NA,NA,NA
"1157","xanthan biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"1158","Xylan Degradation (2 instances)","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"1159","xylogalacturonan biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"1160","xyloglucan biosynthesis","Glycan Biosynthesis (99 instances)","Carbohydrate Biosynthesis (228 instances)","Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA,NA
"1161","Xyloglucan Degradation (3 instances)","Carbohydrate Degradation (134 instances)","Degradation/Utilization/Assimilation (1104 instances)","Polysaccharide Degradation (47 instances)",NA,NA,NA,NA,NA,NA
"1162","xyloglucan degradation I (endoglucanase)","Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)","Glycan Degradation (11 instances)",NA,NA,"Xyloglucan Degradation (3 instances)",NA,NA,NA
"1163","xyloglucan degradation II (exoglucanase)",NA,NA,"Glycan Pathways (121 instances)",NA,NA,NA,NA,NA,NA
"1164","xyloglucan degradation III (cellobiohydrolase)",NA,NA,"Glycan Pathways (121 instances)",NA,NA,NA,NA,NA,NA
"1165","zealexin biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)","Sesquiterpenoid Biosynthesis (41 instances)",NA,NA,NA,NA,NA,NA
"1166","zeaxanthin biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"1167","zeaxanthin-beta-D-diglucoside biosynthesis","Carotenoid Biosynthesis (43 instances)","Terpenoid Biosynthesis (203 instances)","C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA,NA
"1168","(3R)-linalool biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,"Linalool Biosynthesis (3 instances)",NA,NA,NA,NA,NA
"1169","(3S)-linalool biosynthesis","Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,"Linalool Biosynthesis (3 instances)",NA,NA,NA,NA,NA
"1170","(Kdo)2-lipid A biosynthesis (4 instances)","Cell Structure Biosynthesis (104 instances)","Biosynthesis (1993 instances)",NA,"Lipopolysaccharide Biosynthesis (68 instances)",NA,NA,NA,NA,NA
"1171","(Kdo)2-lipid A biosynthesis (E. coli)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)",NA,"(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"1172","(Kdo)2-lipid A biosynthesis (generic)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)",NA,"(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"1173","(Kdo)2-lipid A biosynthesis (P. gingivalis)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)",NA,"(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"1174","(Kdo)2-lipid A biosynthesis (P. putida)","Fatty Acid and Lipid Biosynthesis (224 instances)","Biosynthesis (1993 instances)",NA,"(Kdo)2-lipid A biosynthesis (4 instances)",NA,NA,NA,NA,NA
"1175","(S)-propane-1,2-diol degradation","Fermentation to Short-Chain Fatty Acids (40 instances)","Fermentation (81 instances)",NA,"Fermentation to Propanoate (7 instances)",NA,NA,NA,NA,NA
"1176","1,2-dichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"1177","1,2,4-trichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"1178","1,2,4,5-tetrachlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"1179","1,3-beta-D-glucan biosynthesis","Carbohydrate Biosynthesis (228 instances)","Biosynthesis (1993 instances)",NA,"Polysaccharide Biosynthesis (73 instances)",NA,NA,NA,NA,NA
"1180","1,3-dichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"1181","1,3,5-trimethoxybenzene biosynthesis","Biosynthesis (1993 instances)",NA,NA,"Aromatic Compound Biosynthesis (51 instances)",NA,NA,NA,NA,NA
"1182","1,4-dichlorobenzene degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzene Degradation (6 instances)",NA,NA,NA,NA,NA
"1183","2-chlorobenzoate degradation","Chloroaromatic Compound Degradation (35 instances)","Chlorinated Compound Degradation (44 instances)",NA,"Chlorobenzoate Degradation (6 instances)",NA,NA,NA,NA,NA
"1184","2-methylketone biosynthesis","Secondary Metabolite Biosynthesis (911 instances)","Biosynthesis (1993 instances)",NA,"Toxin Biosynthesis (205 instances)",NA,NA,NA,NA,NA
"1185","2-nitrophenol degradation","Nitrophenol Degradation (4 instances)","Phenolic Compound Degradation (27 instances)",NA,"2-Nitrophenol Degradation (1 instances)",NA,NA,NA,NA,NA
"1186","2-Nitrophenol Degradation (1 instances)","Phenolic Compound Degradation (27 instances)","Aromatic Compound Degradation (227 instances)",NA,"Nitrophenol Degradation (4 instances)",NA,NA,NA,NA,NA
"1187","2,2'-dihydroxyketocarotenoids biosynthesis","Tetraterpenoid Biosynthesis (38 instances)","Terpenoid Biosynthesis (203 instances)",NA,"C40 Carotenoid Biosynthesis (37 instances)",NA,NA,NA,NA,NA
"1188","2,4-dichlorophenoxyacetate degradation","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"1189","2,4,5-trichlorophenoxyacetate degradation","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
"1190","2,4,6-trichlorophenol degradation","Chlorinated Compound Degradation (44 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,"Chloroaromatic Compound Degradation (35 instances)",NA,NA,NA,NA,NA
