2021-08-13 05:06:57 INFO::Writing function arguments to log file
2021-08-13 05:06:57 DEBUG::Function arguments
2021-08-13 05:06:57 DEBUG::Output folder: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID
2021-08-13 05:06:57 DEBUG::Min Abundance: 0.000000
2021-08-13 05:06:57 DEBUG::Min Prevalence: 0.100000
2021-08-13 05:06:57 DEBUG::Normalization: CLR
2021-08-13 05:06:57 DEBUG::Transform: LOG
2021-08-13 05:06:57 DEBUG::Analysis method: LM
2021-08-13 05:06:57 DEBUG::Max significance: 0.250000
2021-08-13 05:06:57 DEBUG::Random effects: Line,MouseID_Line
2021-08-13 05:06:57 DEBUG::Fixed effects: Sequencing_Run,Sex,Site
2021-08-13 05:06:57 DEBUG::Correction method: BH
2021-08-13 05:06:57 DEBUG::Standardize: TRUE
2021-08-13 05:06:57 DEBUG::Cores: 8
2021-08-13 05:06:57 INFO::Verifying options selected are valid
2021-08-13 05:06:57 INFO::Determining format of input files
2021-08-13 05:06:57 INFO::Input format is data samples as columns and metadata samples as rows
2021-08-13 05:06:57 DEBUG::Transformed data so samples are rows
2021-08-13 05:06:57 DEBUG::A total of 138 samples were found in both the data and metadata
2021-08-13 05:06:57 DEBUG::Reordering data/metadata to use same sample ordering
2021-08-13 05:06:57 INFO::Formula for random effects: expr ~ (1 | Line) + (1 | MouseID_Line)
2021-08-13 05:06:57 INFO::Formula for fixed effects: expr ~  Sequencing_Run + Sex + Site
2021-08-13 05:06:57 INFO::Running selected normalization method: CLR
2021-08-13 05:06:57 INFO::Filter data based on min abundance and min prevalence
2021-08-13 05:06:57 INFO::Total samples in data: 138
2021-08-13 05:06:57 INFO::Min samples required with min abundance for a feature not to be filtered: 13.800000
2021-08-13 05:06:57 INFO::Total filtered features: 51
2021-08-13 05:06:57 INFO::Filtered feature names: X9bc2935704d00be01387e4b91d0ec358, e9caa943f6467ffd09889cd0df61cb45, b3ef12a80d40902556c2fd4de5924438, c0d5395792eadbf5f62e8ffb14fa0262, a30dd65fa0f17c9ffe88b70cc66d024b, X99e3ef8d6af1702f3a43e8f3e4976956, X832fb872172e67da702355444f34bc1c, e5450be8d98da604aa4a1fa0ed722fe1, X5287908182825be751d21ae4e6f44c79, X5df1f0b75fac3063662bc77afb6c4bf8, X94adac1e5690b5aef26d6014e471f458, X97e775c94445b62cef898d8ab38f8cb7, X0c1914abfb8acde52c282afa8e27a1fd, b45093ff0a5e7aac10c4f9f4513e7613, X8fde870b4c3464dbd28fb743c07f36f1, e4cb1b90e54f9ffc8f098a80d459512e, X4aa01b032f6f21994f27fd7c9ef08933, a355ffad67ad78b1bdbd4ad765a6f5cf, X59cb2b356649752e276dd7f74cee4321, X55fa67427af49d0e149b71f3e492fc2f, X263274421870217476d2449c7184e666, c739108a8fb66e778057d21c15128eaf, X30f0b16d39680d27d771da5b475ce546, X3d54a53e5412fd82769620a4792a9b31, dae1fbaad10a121a9e71c35d8c230bc2, dbec9c5165f7fd71fcfcee0766f056e9, X3a863e8d613146295f1169d6d3e462e8, d5bac6e328e0b91ff267e366898fb100, X07f9cf5cd15f1e6c3b5f4c0b6b8addc4, X3eeb6fa3850d5ab2864e37931dc1781b, f6fdab15a19dca0441b10f8c0969cb4d, d727291c9abb47ba09d6fba2de9836d0, X6a0efe866edcb457cbf296d6f70a0e86, X7c7bb1ff540acdb32e9310a6f5147b66, X9682035e00a33066c8a20a5728864160, X548b9f02eb5f8d9c273fea608c89123c, X84b12c5f4618dbf894915076b08799fa, ce4ac6a458d20598f8330e3ffe655960, bc9b892d9d458357ca91a3d6489d621c, X9c84f3a63bb2ae197d33f6cf57d34377, X5b239ea4225a1366ac283394a91ec211, X05e5fd65c9186b5d17260e49ce648e3a, b472d29ebb2e4b918cf5f7e0d7b46ce9, a8f7a4c4fa926673d7a1b6e3bd4c8925, X52ea162f982093e6b9b3bcdc2fc0b119, X793c5551e5eee756319c35a9a48a7edf, cccad67fb5ce1b4f76ed38e69a6c2556, X26fdedbab1c7064845c123af942ae31e, e6d53e67eb96231b465269ad8c15fe3c, X07680e846679f3a15354d617a37f5aea, X44be4a73cb6fbe694ec6cbbdba4bd3b3
2021-08-13 05:06:57 INFO::Applying z-score to standardize continuous metadata
2021-08-13 05:06:57 INFO::Running selected transform method: LOG
2021-08-13 05:06:57 INFO::Running selected analysis method: LM
2021-08-13 05:06:57 INFO::Creating cluster of 8 R processes
2021-08-13 05:08:04 INFO::Counting total values for each feature
2021-08-13 05:08:04 INFO::Writing residuals to file LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/residuals.rds
2021-08-13 05:08:04 INFO::Writing all results to file (ordered by increasing q-values): LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/all_results.tsv
2021-08-13 05:08:04 INFO::Writing the significant results (those which are less than or equal to the threshold of 0.250000 ) to file (ordered by increasing q-values): LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/significant_results.tsv
2021-08-13 05:08:04 INFO::Writing heatmap of significant results to file: LogCLR-MucosalColon-Maaslin-SeqRunSexSite_General-1-Line-MsID/heatmap.pdf
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs c8433912bf1d2d7d9dd177739211ae41
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs e3bd74e4f8e965abfb6ca86d51d2b55b
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs X04af8257d41718f9636b8bbc789b0fcf
2021-08-13 05:08:19 INFO::Creating boxplot for categorical data, Site vs X519f2ac102ab65678b0dcd72cb9f586a
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs e3bd74e4f8e965abfb6ca86d51d2b55b
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs be50260bd56c9b191a9e0845fc908179
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X9b5ce504ace88223f14f8b0848d1b054
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X9c6efccec7649fddce7cb4c0b868559f
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X87c1f25ee57f851893eda4c10a460604
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X2f65298490e0fe48b880145471ec54eb
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X1ab3b71e73441e341b02e15407e5b9e5
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X8f139f903db65b737165fab17b843584
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X78efb9db740a56e0b2bc4d4778d4d3fc
2021-08-13 05:08:20 INFO::Creating boxplot for categorical data, Site vs X7186c67c129c329bce7d6c988267b231
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs a23786caa7c120949ed8f63b4563e637
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs ad4e760fa406db6470c29766422a47d2
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs dc42750a29cb8d6956790e407a4ceff4
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs fd127481a7a3b20d6d476f8d15c8b746
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs X653c972b92d846f3b6b199c4f5257025
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs cc0efa1a2c7dca25dd6dc2dc55fe6697
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs X0758746de870fac931a39b11205ea4f6
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs X5adc2daa2981bc07e21b14d53496ff67
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs X1122ff96a7d76e3f720d1d7df6eee4a1
2021-08-13 05:08:21 INFO::Creating boxplot for categorical data, Site vs b221a65a4ab995abd7110ddcd600e1fb
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs X7cd17d18c05e35c6001cc253ac15c517
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs X6f0b4058c92e83c77533a218739a0e38
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs a92e897782ca8cc6b9da539cb6a4176f
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs X49d5e983bbc870059084d932fb344b75
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs f745d265f36ea7eac26d97280e690796
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs dc42750a29cb8d6956790e407a4ceff4
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs X2580cbc77481600b1be7553a25c35a83
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs e8ed0e081283c5963ce9860944f651c6
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs X5167710b7280856d9e512a4f58068687
2021-08-13 05:08:22 INFO::Creating boxplot for categorical data, Site vs X8b317947d610fc3e351d94e2466ab1ab
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs X519f2ac102ab65678b0dcd72cb9f586a
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs d013db1a71d477496cb864ee431c3420
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs X8740da173c36129ee4420445a26a155e
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs a0f4041ccc6a3b1f6512919ebe00613d
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs X8a8c39a3e855256f236f71f39bf300aa
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs X8f139f903db65b737165fab17b843584
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs bf0c4ab9e25d5cb0066ba56a34272e6a
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs a23786caa7c120949ed8f63b4563e637
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs X9de76593a352f0485ab552209ea38a3b
2021-08-13 05:08:23 INFO::Creating boxplot for categorical data, Site vs X9de76593a352f0485ab552209ea38a3b
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X22e3c84507191b5a2af4b5a02a5a6340
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X108627a3879bcb1138b2c54c39e9f4a1
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X8740da173c36129ee4420445a26a155e
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X8a08e31995384f38ebb2f85a9c755462
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs a172874a13d3e6df1391f0797d95d6bc
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X4fdd9f8b9aac094acd93155a17435a7f
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X869038dbbe0844710dfe8cda1f4c41fd
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X46864a6aa122ecb439eb59a3c0542ee6
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs ce374e4ecf9d37933b614c569ea2250e
2021-08-13 05:08:24 INFO::Creating boxplot for categorical data, Site vs X01ac8dc658ac5b92afc9837f747e74dd
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs a6cf9ae0a74b21a2aa7439335c575123
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs c8433912bf1d2d7d9dd177739211ae41
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs d33d037914391243a664e78b0865819d
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs X04af8257d41718f9636b8bbc789b0fcf
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs X2ce5f984c303607afe63f839e492f57b
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs X695a1bb7c03f0f0b00d69b55fe30c4c3
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs X1e65ef9ba16ebcd3b8413c31e58cada1
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs c50f108c7f26f34cb8226f54985908be
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs X8f07f09a7a5b69d79afd30ba3be7ae26
2021-08-13 05:08:25 INFO::Creating boxplot for categorical data, Site vs X236833fbc5a378aae084b64206c25372
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs a5641950b2a3a47827849d91242f0ead
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs X3ceb74c21dfbf2d306d22d03dda4b5fe
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs f33aa1513c4933703b7070ec1e43c191
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs fc7e77e237e910e3f38dbb8e3c69c5bd
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs cb48af0355580e3a4cfe6d22f05b6b14
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs X594b20915c3abfcb209ccf738fb7122b
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs b5c61551098444f976845a271dd33f4f
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs X178d4eb06bd14fca2d3c300f9f05e384
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs X1122ff96a7d76e3f720d1d7df6eee4a1
2021-08-13 05:08:26 INFO::Creating boxplot for categorical data, Site vs X95567a20354fa3a584ecf4f0ab229ef6
2021-08-13 05:08:27 INFO::Creating boxplot for categorical data, Site vs X99417dd633fa8ea2fc2d6f5bfe6b3582
2021-08-13 05:08:27 INFO::Plotting data for metadata number 2, Sex
2021-08-13 05:08:27 INFO::Creating boxplot for categorical data, Sex vs eba615b37940822dff96a8631dcb972f
2021-08-13 05:08:27 INFO::Creating boxplot for categorical data, Sex vs c003202be6a53b07fbb26ecd2161fe2c
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X397aa1ad0378774f826b9825c958427e
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs a8bb13e9e2b548216ed9a9619c1767a0
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X150d478c05efdb9ff36e5260c80c6f20
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs a93ecb34623d57ce5a83ac109551229b
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X3a81cd34e3edb8ef3e0c1fb4bc81e7b7
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X483176e085c4e4eeee22409a02f2c0ef
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X234b63e9a181c1a4a2abf89444577cef
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X5adc2daa2981bc07e21b14d53496ff67
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs b92f84c206887ecd667f142dd3606ac3
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs b08002696e45f7e121334d154e2f5d4a
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X818cea4720b8bc475ccdf73579b06278
2021-08-13 05:08:28 INFO::Creating boxplot for categorical data, Sex vs X49d5e983bbc870059084d932fb344b75
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs X3311c81da0640c29e6d9ed4f0529d3d5
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs X564a2d40353ba6af46b47a2d367a3d56
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs X4fdd9f8b9aac094acd93155a17435a7f
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs X17bccd87573679acdd1eda74fc49bde7
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs X2721883a2b4af04bdb995e3e78d70426
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs X9ff8565480eb4d1ae1feec02a0dfce35
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs c4bb856f00469484de24c5d7e0a221b6
2021-08-13 05:08:29 INFO::Creating boxplot for categorical data, Sex vs b66b0ebe9c94cc5c0ee68a7c8cb966af
2021-08-13 05:08:30 INFO::Plotting data for metadata number 3, Sequencing_Run
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X45a75b7a373e7061619148bdc0cd48fa
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X234b63e9a181c1a4a2abf89444577cef
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X292a57429f3bed0adc53c07dc4c62c9f
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs e48fb994a13cc5f14b93bd94b4dd8725
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X184d1c27d9866996ffbca04cfad3ded3
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs ad4e760fa406db6470c29766422a47d2
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X76d6be90e19a660c9a84b35fa31d801c
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs c3bdd500bfba25ea4c753e8d815ef903
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X0daddf1b0a2e7ae6c3add7261ca7b510
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X0dc69705aa39eb92e3dc26eed8d677c6
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X20b86a0cfa5df6fb3f9afef5cf2f0151
2021-08-13 05:08:30 INFO::Creating boxplot for categorical data, Sequencing_Run vs X2a9df0f05ef552235191fe0edbbc742e
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs e16b103da2aa64c71cfe99afc4405912
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs f0711e2c91ed3101e810bfdad130849f
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs e6b0f68e8f6db48ea780944a44ac99a1
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs e48fb994a13cc5f14b93bd94b4dd8725
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs X49ca472812887fdafb9786d9995aa406
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs c52e2fe4480cde97ede9bd054d0e6b50
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs X2580cbc77481600b1be7553a25c35a83
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs X73e42306e185be6f0c6060d4ed924469
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs c50f108c7f26f34cb8226f54985908be
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs X21f3474eb0a2647e96181ab06ed9b764
2021-08-13 05:08:31 INFO::Creating boxplot for categorical data, Sequencing_Run vs X184d1c27d9866996ffbca04cfad3ded3
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs X691f2dbdac94ad2f7e2486ab73a772af
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs X49e9cee41713f4c00f8b171ecaff09b5
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs db1ea7350f45b6b1c577ee65fae969c4
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs a172874a13d3e6df1391f0797d95d6bc
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs ad23727bc3e6dc84a4c52399fe4f0d39
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs f9130f059b9380b9961aef118b3a529e
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs X7cd17d18c05e35c6001cc253ac15c517
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs X48fe77b828ac410d9e0effc44fbeb57e
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs f7040b791e2687141adc7be4ad81afd4
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs a6cf9ae0a74b21a2aa7439335c575123
2021-08-13 05:08:32 INFO::Creating boxplot for categorical data, Sequencing_Run vs X43f0247fc01758c65914603bd7280102
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs X1215303fb541fab34f6257176ded8fc4
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs c52e2fe4480cde97ede9bd054d0e6b50
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs eba615b37940822dff96a8631dcb972f
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs X77eb2f8589e0e143883648e11bde2a31
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs f0711e2c91ed3101e810bfdad130849f
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs X594b20915c3abfcb209ccf738fb7122b
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs X6d5171bbc6ef97262119e6d152d82164
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs ccd31353e129fad1e0c6c09602372b4f
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs X695a1bb7c03f0f0b00d69b55fe30c4c3
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs ca36cc60802278a626b2d36b8da83ae6
2021-08-13 05:08:33 INFO::Creating boxplot for categorical data, Sequencing_Run vs X5adc2daa2981bc07e21b14d53496ff67
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X21f3474eb0a2647e96181ab06ed9b764
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X4c8288bfbd76958c0c094d87b97650f8
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X20fe5c9f456999fe121cb1c16bf41e77
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X2a9df0f05ef552235191fe0edbbc742e
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X9dcb1f589151a8b84cb5fc7c490e22d8
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X80571fa88208f15e75174fe7ba3d6839
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs ae7aa9c977dea18de5954b3f29c80278
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs X8f07f09a7a5b69d79afd30ba3be7ae26
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs b7e800ed490ab8e535a11f2bd8f6cacc
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs cb48af0355580e3a4cfe6d22f05b6b14
2021-08-13 05:08:34 INFO::Creating boxplot for categorical data, Sequencing_Run vs a6cf9ae0a74b21a2aa7439335c575123
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs X9dcb1f589151a8b84cb5fc7c490e22d8
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs X10d8f09d85fad48b134dbba261adf29c
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs a5641950b2a3a47827849d91242f0ead
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs X5adc2daa2981bc07e21b14d53496ff67
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs e78a270ccd8d01d326e840cd85e1c1e2
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs bbf6f74f140636ff3f33ef2bc3d892a3
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs df4ca25fd346713ef43d2c727b2ef78e
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs X37e0f2e7c7ab2a2f738b92a61085aec0
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs dcd0c235615b718f89bb8cc76b5a627f
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs c8433912bf1d2d7d9dd177739211ae41
2021-08-13 05:08:35 INFO::Creating boxplot for categorical data, Sequencing_Run vs faf82edd7b4917abc7158d7152136723
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs a0f4041ccc6a3b1f6512919ebe00613d
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X73e42306e185be6f0c6060d4ed924469
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X64864a4b76fc5cccc00f4e44f8dbcff4
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X58fde6dae459af7ec3ed3eea10b1c0cb
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X55b5e18dcec6eaff69b53b2c4cbb0a16
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X1122ff96a7d76e3f720d1d7df6eee4a1
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X3bffd5a2b1cf48b46d1e51628c3551fc
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X48082d1ff66a9207ede6bf05e9846d6e
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs X5167710b7280856d9e512a4f58068687
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs a131ed51b0ab64ebb4a6435412609f28
2021-08-13 05:08:36 INFO::Creating boxplot for categorical data, Sequencing_Run vs bbf6f74f140636ff3f33ef2bc3d892a3
2021-08-13 05:08:37 INFO::Creating boxplot for categorical data, Sequencing_Run vs adbdc5f804f4d01e74c42c674dcba9b6
2021-08-13 05:08:37 INFO::Creating boxplot for categorical data, Sequencing_Run vs eba615b37940822dff96a8631dcb972f
2021-08-13 05:08:37 INFO::Creating boxplot for categorical data, Sequencing_Run vs X0f7e30a9c413799c28abaf3bf8186888
