feature,Enzyme_name,Description,Pathway_ID,Pathway_Name,L2 (Superpathway)
K01491,folD,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],ko00670,One carbon pool by folate,Metabolism of Cofactors and Vitamins
K01491,folD,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],ko00720,Carbon fixation pathways in prokaryotes,Energy Metabolism
K01491,folD,methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9],ko01200,Carbon metabolism,#N/A
K01492,E2.1.2.3,phosphoribosylaminoimidazolecarboxamide formyltransferase [EC:2.1.2.3],ko00230,Purine metabolism,Nucleotide Metabolism
K01493,comEB,dCMP deaminase [EC:3.5.4.12],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01494,dcd,dCTP deaminase [EC:3.5.4.13],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01495,"GCH1, folE",GTP cyclohydrolase I [EC:3.5.4.16],ko00790,Folate biosynthesis,Metabolism of Cofactors and Vitamins
K01496,hisI,phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19],ko00340,Histidine metabolism,Amino Acid Metabolism
K01496,hisI,phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19],ko01230,Biosynthesis of amino acids,#N/A
K01497,"ribA, RIB1",GTP cyclohydrolase II [EC:3.5.4.25],ko00740,Riboflavin metabolism,Metabolism of Cofactors and Vitamins
K01498,ribD1,diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26],ko00740,Riboflavin metabolism,Metabolism of Cofactors and Vitamins
K01499,mch,methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27],ko00680,Methane metabolism,Energy Metabolism
K01499,mch,methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27],ko01200,Carbon metabolism,#N/A
K01500,E3.5.4.-,None,ko00791,Atrazine degradation,Xenobiotics Biodegradation and Metabolism
K01501,E3.5.5.1,nitrilase [EC:3.5.5.1],ko00380,Tryptophan metabolism,Amino Acid Metabolism
K01501,E3.5.5.1,nitrilase [EC:3.5.5.1],ko00460,Cyanoamino acid metabolism,Metabolism of Other Amino Acids
K01501,E3.5.5.1,nitrilase [EC:3.5.5.1],ko00627,Aminobenzoate degradation,Xenobiotics Biodegradation and Metabolism
K01501,E3.5.5.1,nitrilase [EC:3.5.5.1],ko00643,Styrene degradation,Xenobiotics Biodegradation and Metabolism
K01501,E3.5.5.1,nitrilase [EC:3.5.5.1],ko00910,Nitrogen metabolism,Energy Metabolism
K01502,E3.5.5.7,aliphatic nitrilase [EC:3.5.5.7],ko00643,Styrene degradation,Xenobiotics Biodegradation and Metabolism
K01505,E3.5.99.7,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],ko00640,Propanoate metabolism,Carbohydrate Metabolism
K01507,ppa,inorganic pyrophosphatase [EC:3.6.1.1],ko00190,Oxidative phosphorylation,Energy Metabolism
K01509,ENTPD2,adenosinetriphosphatase [EC:3.6.1.3],ko00230,Purine metabolism,Nucleotide Metabolism
K01510,ENTPD1_3_8,apyrase [EC:3.6.1.5],ko00230,Purine metabolism,Nucleotide Metabolism
K01510,ENTPD1_3_8,apyrase [EC:3.6.1.5],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01510,ENTPD1_3_8,apyrase [EC:3.6.1.5],ko05169,Epstein-Barr virus infection,#N/A
K01512,acyP,acylphosphatase [EC:3.6.1.7],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01512,acyP,acylphosphatase [EC:3.6.1.7],ko00627,Aminobenzoate degradation,Xenobiotics Biodegradation and Metabolism
K01513,ENPP1_3,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9],ko00230,Purine metabolism,Nucleotide Metabolism
K01513,ENPP1_3,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9],ko00500,Starch and sucrose metabolism,Carbohydrate Metabolism
K01513,ENPP1_3,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9],ko00740,Riboflavin metabolism,Metabolism of Cofactors and Vitamins
K01513,ENPP1_3,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9],ko00760,Nicotinate and nicotinamide metabolism,Metabolism of Cofactors and Vitamins
K01513,ENPP1_3,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9],ko00770,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins
K01514,"PRUNE, PPX1",exopolyphosphatase [EC:3.6.1.11],ko00230,Purine metabolism,Nucleotide Metabolism
K01515,nudF,ADP-ribose pyrophosphatase [EC:3.6.1.13],ko00230,Purine metabolism,Nucleotide Metabolism
K01518,NUDT2,bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17],ko00230,Purine metabolism,Nucleotide Metabolism
K01518,NUDT2,bis(5'-nucleosidyl)-tetraphosphatase [EC:3.6.1.17],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01519,ITPA,inosine triphosphate pyrophosphatase [EC:3.6.1.19],ko00230,Purine metabolism,Nucleotide Metabolism
K01519,ITPA,inosine triphosphate pyrophosphatase [EC:3.6.1.19],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01519,ITPA,inosine triphosphate pyrophosphatase [EC:3.6.1.19],ko00983,Drug metabolism - other enzymes,Xenobiotics Biodegradation and Metabolism
K01520,"dut, DUT",dUTP pyrophosphatase [EC:3.6.1.23],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01521,cdh,CDP-diacylglycerol pyrophosphatase [EC:3.6.1.26],ko00564,Glycerophospholipid metabolism,Lipid Metabolism
K01523,hisE,phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31],ko00340,Histidine metabolism,Amino Acid Metabolism
K01523,hisE,phosphoribosyl-ATP pyrophosphohydrolase [EC:3.6.1.31],ko01230,Biosynthesis of amino acids,#N/A
K01524,ppx-gppA,"exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase [EC:3.6.1.11 3.6.1.40]",ko00230,Purine metabolism,Nucleotide Metabolism
K01525,apaH,bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41],ko00230,Purine metabolism,Nucleotide Metabolism
K01535,E3.6.3.6,H+-transporting ATPase [EC:3.6.3.6],ko00190,Oxidative phosphorylation,Energy Metabolism
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04022,cGMP-PKG signaling pathway,#N/A
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04024,cAMP signaling pathway,#N/A
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04260,Cardiac muscle contraction,Circulatory System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04261,Adrenergic signaling in cardiomyocytes,#N/A
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04911,Insulin secretion,#N/A
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04918,Thyroid hormone synthesis,#N/A
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04919,Thyroid hormone signaling pathway,#N/A
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04960,Aldosterone-regulated sodium reabsorption,Excretory System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04961,Endocrine and other factor-regulated calcium reabsorption,Excretory System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04964,Proximal tubule bicarbonate reclamation,Excretory System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04970,Salivary secretion,Digestive System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04971,Gastric acid secretion,Digestive System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04972,Pancreatic secretion,Digestive System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04973,Carbohydrate digestion and absorption,Digestive System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04974,Protein digestion and absorption,Digestive System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04976,Bile secretion,Digestive System
K01539,ATP1A,sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9],ko04978,Mineral absorption,Digestive System
K01541,E3.6.3.10,H+/K+-exchanging ATPase [EC:3.6.3.10],ko00190,Oxidative phosphorylation,Energy Metabolism
K01545,kdpF,K+-transporting ATPase ATPase F chain,ko02020,Two-component system,Signal Transduction
K01546,kdpA,K+-transporting ATPase ATPase A chain [EC:3.6.3.12],ko02020,Two-component system,Signal Transduction
K01547,kdpB,K+-transporting ATPase ATPase B chain [EC:3.6.3.12],ko02020,Two-component system,Signal Transduction
K01548,kdpC,K+-transporting ATPase ATPase C chain [EC:3.6.3.12],ko02020,Two-component system,Signal Transduction
K01555,"FAH, fahA",fumarylacetoacetase [EC:3.7.1.2],ko00350,Tyrosine metabolism,Amino Acid Metabolism
K01555,"FAH, fahA",fumarylacetoacetase [EC:3.7.1.2],ko00643,Styrene degradation,Xenobiotics Biodegradation and Metabolism
K01556,"KYNU, kynU",kynureninase [EC:3.7.1.3],ko00380,Tryptophan metabolism,Amino Acid Metabolism
K01557,FAHD1,acylpyruvate hydrolase [EC:3.7.1.5],ko00350,Tyrosine metabolism,Amino Acid Metabolism
K01560,E3.8.1.2,2-haloacid dehalogenase [EC:3.8.1.2],ko00361,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics Biodegradation and Metabolism
K01560,E3.8.1.2,2-haloacid dehalogenase [EC:3.8.1.2],ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics Biodegradation and Metabolism
K01561,dehH,haloacetate dehalogenase [EC:3.8.1.3],ko00361,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics Biodegradation and Metabolism
K01561,dehH,haloacetate dehalogenase [EC:3.8.1.3],ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics Biodegradation and Metabolism
K01563,dhaA,haloalkane dehalogenase [EC:3.8.1.5],ko00361,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics Biodegradation and Metabolism
K01563,dhaA,haloalkane dehalogenase [EC:3.8.1.5],ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics Biodegradation and Metabolism
K01564,E3.8.1.-,None,ko00625,Chloroalkane and chloroalkene degradation,Xenobiotics Biodegradation and Metabolism
K01564,E3.8.1.-,None,ko00791,Atrazine degradation,Xenobiotics Biodegradation and Metabolism
K01565,SGSH,N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1],ko00531,Glycosaminoglycan degradation,Glycan Biosynthesis and Metabolism
K01565,SGSH,N-sulfoglucosamine sulfohydrolase [EC:3.10.1.1],ko04142,Lysosome,Transport and Catabolism
K01568,"E4.1.1.1, pdc",pyruvate decarboxylase [EC:4.1.1.1],ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K01569,oxdD,oxalate decarboxylase [EC:4.1.1.2],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K01571,oadA,"oxaloacetate decarboxylase, alpha subunit [EC:4.1.1.3]",ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01572,oadB,"oxaloacetate decarboxylase, beta subunit [EC:4.1.1.3]",ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01573,oadG,"oxaloacetate decarboxylase, gamma subunit [EC:4.1.1.3]",ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01574,adc,acetoacetate decarboxylase [EC:4.1.1.4],ko00072,Synthesis and degradation of ketone bodies,Lipid Metabolism
K01574,adc,acetoacetate decarboxylase [EC:4.1.1.4],ko00640,Propanoate metabolism,Carbohydrate Metabolism
K01575,"E4.1.1.5, alsD",acetolactate decarboxylase [EC:4.1.1.5],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K01575,"E4.1.1.5, alsD",acetolactate decarboxylase [EC:4.1.1.5],ko00660,C5-Branched dibasic acid metabolism,Carbohydrate Metabolism
K01576,mdlC,benzoylformate decarboxylase [EC:4.1.1.7],ko00627,Aminobenzoate degradation,Xenobiotics Biodegradation and Metabolism
K01577,oxc,oxalyl-CoA decarboxylase [EC:4.1.1.8],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K01578,MLYCD,malonyl-CoA decarboxylase [EC:4.1.1.9],ko00410,beta-Alanine metabolism,Metabolism of Other Amino Acids
K01578,MLYCD,malonyl-CoA decarboxylase [EC:4.1.1.9],ko00640,Propanoate metabolism,Carbohydrate Metabolism
K01578,MLYCD,malonyl-CoA decarboxylase [EC:4.1.1.9],ko04146,Peroxisome,Transport and Catabolism
K01578,MLYCD,malonyl-CoA decarboxylase [EC:4.1.1.9],ko04152,AMPK signaling pathway,#N/A
K01579,panD,aspartate 1-decarboxylase [EC:4.1.1.11],ko00410,beta-Alanine metabolism,Metabolism of Other Amino Acids
K01579,panD,aspartate 1-decarboxylase [EC:4.1.1.11],ko00770,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins
K01580,"E4.1.1.15, gadB, gadA, GAD",glutamate decarboxylase [EC:4.1.1.15],ko00250,"Alanine, aspartate and glutamate metabolism",Amino Acid Metabolism
K01580,"E4.1.1.15, gadB, gadA, GAD",glutamate decarboxylase [EC:4.1.1.15],ko00410,beta-Alanine metabolism,Metabolism of Other Amino Acids
K01580,"E4.1.1.15, gadB, gadA, GAD",glutamate decarboxylase [EC:4.1.1.15],ko00430,Taurine and hypotaurine metabolism,Metabolism of Other Amino Acids
K01580,"E4.1.1.15, gadB, gadA, GAD",glutamate decarboxylase [EC:4.1.1.15],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K01580,"E4.1.1.15, gadB, gadA, GAD",glutamate decarboxylase [EC:4.1.1.15],ko04727,GABAergic synapse,#N/A
K01580,"E4.1.1.15, gadB, gadA, GAD",glutamate decarboxylase [EC:4.1.1.15],ko04940,Type I diabetes mellitus,Metabolic Diseases
K01581,"E4.1.1.17, ODC1, speC, speF",ornithine decarboxylase [EC:4.1.1.17],ko00330,Arginine and proline metabolism,Amino Acid Metabolism
K01581,"E4.1.1.17, ODC1, speC, speF",ornithine decarboxylase [EC:4.1.1.17],ko00480,Glutathione metabolism,Metabolism of Other Amino Acids
K01582,"E4.1.1.18, ldcC, cadA",lysine decarboxylase [EC:4.1.1.18],ko00310,Lysine degradation,Amino Acid Metabolism
K01582,"E4.1.1.18, ldcC, cadA",lysine decarboxylase [EC:4.1.1.18],ko00960,"Tropane, piperidine and pyridine alkaloid biosynthesis",Biosynthesis of Other Secondary Metabolites
K01583,E4.1.1.19,arginine decarboxylase [EC:4.1.1.19],ko00330,Arginine and proline metabolism,Amino Acid Metabolism
K01584,"E4.1.1.19A, adi",arginine decarboxylase [EC:4.1.1.19],ko00330,Arginine and proline metabolism,Amino Acid Metabolism
K01585,"E4.1.1.19S, speA",arginine decarboxylase [EC:4.1.1.19],ko00330,Arginine and proline metabolism,Amino Acid Metabolism
K01586,lysA,diaminopimelate decarboxylase [EC:4.1.1.20],ko00300,Lysine biosynthesis,Amino Acid Metabolism
K01586,lysA,diaminopimelate decarboxylase [EC:4.1.1.20],ko01230,Biosynthesis of amino acids,#N/A
K01588,purE,5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18],ko00230,Purine metabolism,Nucleotide Metabolism
K01589,purK,5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18],ko00230,Purine metabolism,Nucleotide Metabolism
K01590,"hdc, HDC",histidine decarboxylase [EC:4.1.1.22],ko00340,Histidine metabolism,Amino Acid Metabolism
K01591,pyrF,orotidine-5'-phosphate decarboxylase [EC:4.1.1.23],ko00240,Pyrimidine metabolism,Nucleotide Metabolism
K01592,E4.1.1.25,tyrosine decarboxylase [EC:4.1.1.25],ko00350,Tyrosine metabolism,Amino Acid Metabolism
K01592,E4.1.1.25,tyrosine decarboxylase [EC:4.1.1.25],ko00950,Isoquinoline alkaloid biosynthesis,Biosynthesis of Other Secondary Metabolites
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00340,Histidine metabolism,Amino Acid Metabolism
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00350,Tyrosine metabolism,Amino Acid Metabolism
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00360,Phenylalanine metabolism,Amino Acid Metabolism
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00380,Tryptophan metabolism,Amino Acid Metabolism
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00901,Indole alkaloid biosynthesis,Biosynthesis of Other Secondary Metabolites
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00950,Isoquinoline alkaloid biosynthesis,Biosynthesis of Other Secondary Metabolites
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko00965,Betalain biosynthesis,Biosynthesis of Other Secondary Metabolites
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko04726,Serotonergic synapse,#N/A
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko04728,Dopaminergic synapse,#N/A
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko05030,Cocaine addiction,#N/A
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko05031,Amphetamine addiction,#N/A
K01593,DDC,aromatic-L-amino-acid decarboxylase [EC:4.1.1.28],ko05034,Alcoholism,#N/A
K01594,CSAD,sulfinoalanine decarboxylase [EC:4.1.1.29],ko00430,Taurine and hypotaurine metabolism,Metabolism of Other Amino Acids
K01595,ppc,phosphoenolpyruvate carboxylase [EC:4.1.1.31],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01595,ppc,phosphoenolpyruvate carboxylase [EC:4.1.1.31],ko00680,Methane metabolism,Energy Metabolism
K01595,ppc,phosphoenolpyruvate carboxylase [EC:4.1.1.31],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K01595,ppc,phosphoenolpyruvate carboxylase [EC:4.1.1.31],ko00720,Carbon fixation pathways in prokaryotes,Energy Metabolism
K01595,ppc,phosphoenolpyruvate carboxylase [EC:4.1.1.31],ko01200,Carbon metabolism,#N/A
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko03320,PPAR signaling pathway,Endocrine System
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko04068,FoxO signaling pathway,#N/A
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko04151,PI3K-Akt signaling pathway,#N/A
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko04152,AMPK signaling pathway,#N/A
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko04910,Insulin signaling pathway,Endocrine System
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko04920,Adipocytokine signaling pathway,Endocrine System
K01596,"E4.1.1.32, pckA, PEPCK",phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32],ko04964,Proximal tubule bicarbonate reclamation,Excretory System
K01597,"MVD, mvaD",diphosphomevalonate decarboxylase [EC:4.1.1.33],ko00900,Terpenoid backbone biosynthesis,Metabolism of Terpenoids and Polyketides
K01598,"PPCDC, coaC",phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36],ko00770,Pantothenate and CoA biosynthesis,Metabolism of Cofactors and Vitamins
K01599,"hemE, UROD",uroporphyrinogen decarboxylase [EC:4.1.1.37],ko00860,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins
K01601,rbcL,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K01601,rbcL,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K01601,rbcL,ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39],ko01200,Carbon metabolism,#N/A
K01602,rbcS,ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K01602,rbcS,ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K01602,rbcS,ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39],ko01200,Carbon metabolism,#N/A
K01607,pcaC,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],ko00362,Benzoate degradation,Xenobiotics Biodegradation and Metabolism
K01607,pcaC,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],ko01220,Degradation of aromatic compounds,#N/A
K01608,gcl,tartronate-semialdehyde synthase [EC:4.1.1.47],ko00630,Glyoxylate and dicarboxylate metabolism,Carbohydrate Metabolism
K01609,trpC,indole-3-glycerol phosphate synthase [EC:4.1.1.48],ko00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",Amino Acid Metabolism
K01609,trpC,indole-3-glycerol phosphate synthase [EC:4.1.1.48],ko01230,Biosynthesis of amino acids,#N/A
K01610,"E4.1.1.49, pckA",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K01610,"E4.1.1.49, pckA",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],ko00020,Citrate cycle (TCA cycle),Carbohydrate Metabolism
K01610,"E4.1.1.49, pckA",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],ko00620,Pyruvate metabolism,Carbohydrate Metabolism
K01610,"E4.1.1.49, pckA",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K01610,"E4.1.1.49, pckA",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],ko01200,Carbon metabolism,#N/A
K01611,"speD, AMD1",S-adenosylmethionine decarboxylase [EC:4.1.1.50],ko00270,Cysteine and methionine metabolism,Amino Acid Metabolism
K01611,"speD, AMD1",S-adenosylmethionine decarboxylase [EC:4.1.1.50],ko00330,Arginine and proline metabolism,Amino Acid Metabolism
K01612,E4.1.1.61,4-hydroxybenzoate decarboxylase [EC:4.1.1.61],ko00627,Aminobenzoate degradation,Xenobiotics Biodegradation and Metabolism
K01612,E4.1.1.61,4-hydroxybenzoate decarboxylase [EC:4.1.1.61],ko01220,Degradation of aromatic compounds,#N/A
K01613,"psd, PISD",phosphatidylserine decarboxylase [EC:4.1.1.65],ko00564,Glycerophospholipid metabolism,Lipid Metabolism
K01615,E4.1.1.70,glutaconyl-CoA decarboxylase [EC:4.1.1.70],ko00362,Benzoate degradation,Xenobiotics Biodegradation and Metabolism
K01615,E4.1.1.70,glutaconyl-CoA decarboxylase [EC:4.1.1.70],ko00650,Butanoate metabolism,Carbohydrate Metabolism
K01617,"dmpH, xylI, nahK",2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77],ko00362,Benzoate degradation,Xenobiotics Biodegradation and Metabolism
K01617,"dmpH, xylI, nahK",2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77],ko00621,Dioxin degradation,Xenobiotics Biodegradation and Metabolism
K01617,"dmpH, xylI, nahK",2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77],ko00622,Xylene degradation,Xenobiotics Biodegradation and Metabolism
K01617,"dmpH, xylI, nahK",2-oxo-3-hexenedioate decarboxylase [EC:4.1.1.77],ko01220,Degradation of aromatic compounds,#N/A
K01619,"deoC, DERA",deoxyribose-phosphate aldolase [EC:4.1.2.4],ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K01620,ltaE,threonine aldolase [EC:4.1.2.5],ko00260,"Glycine, serine and threonine metabolism",Amino Acid Metabolism
K01620,ltaE,threonine aldolase [EC:4.1.2.5],ko01230,Biosynthesis of amino acids,#N/A
K01621,E4.1.2.9,phosphoketolase [EC:4.1.2.9],ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K01621,E4.1.2.9,phosphoketolase [EC:4.1.2.9],ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",ko00680,Methane metabolism,Energy Metabolism
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",ko01200,Carbon metabolism,#N/A
K01622,K01622,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]",ko01230,Biosynthesis of amino acids,#N/A
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko00010,Glycolysis / Gluconeogenesis,Carbohydrate Metabolism
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko00030,Pentose phosphate pathway,Carbohydrate Metabolism
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko00051,Fructose and mannose metabolism,Carbohydrate Metabolism
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko00680,Methane metabolism,Energy Metabolism
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko00710,Carbon fixation in photosynthetic organisms,Energy Metabolism
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko01200,Carbon metabolism,#N/A
K01623,ALDO,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",ko01230,Biosynthesis of amino acids,#N/A
