"","Site","metadata","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","Site","metadata","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L3","Site.1","metadata.1","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Terminal.Pathway","L2.1","L2A.1","L2B","L2C","L3.1"
"PWY-6123","Proximal_Colon","Type","Mucosal",-0.07901543104,0.01776351647,95,95,0.00002550714071,0.0002639588263,"inosine-5'-phosphate biosynthesis I","Inosine-5'-phosphate Biosynthesis (3 instances)","","","","Purine Riboucleotide De Novo Biosynthesis (5 instances)","Cecum","Type","Mucosal",-0.05798985132,0.01861413477,95,95,0.002485970214,0.0254587311,"inosine-5'-phosphate biosynthesis I","Inosine-5'-phosphate Biosynthesis (3 instances)","","Purine Riboucleotide De Novo Biosynthesis (5 instances)","Distal_Colon","Type","Mucosal",-0.1685910718,0.01885201454,89,89,0,0,"inosine-5'-phosphate biosynthesis I","Inosine-5'-phosphate Biosynthesis (3 instances)","","","","Purine Riboucleotide De Novo Biosynthesis (5 instances)"
"PWY-6126","Proximal_Colon","Type","Mucosal",-0.09440392369,0.01560272966,95,95,0.0000000355778593,0.000001694681782,"superpathway of adenosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Cecum","Type","Mucosal",-0.06630782957,0.01666637065,95,95,0.0001427867456,0.005004863115,"superpathway of adenosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","Purine Nucleotide Biosynthesis (33 instances)","Distal_Colon","Type","Mucosal",-0.1571184141,0.01767675997,89,89,0,0,"superpathway of adenosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6147","Proximal_Colon","Type","Mucosal",-0.08654277532,0.02330980209,95,88,0.0005494804701,0.004508972093,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)","Cecum","Type","Mucosal",-0.1333183828,0.02524333309,95,86,0.0000009417537659,0.0002302644459,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","Folate Biosynthesis (14 instances)","Distal_Colon","Type","Mucosal",-0.2220939679,0.02470410389,89,75,0,0.0000000001465747794,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)"
"PWY-6151","Proximal_Colon","Type","Mucosal",-0.09618113892,0.01878860799,95,95,0.000001820151381,0.00003384436409,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","","","","Enzyme Cofactor Biosynthesis (137 instances)","Cecum","Type","Mucosal",-0.07684843296,0.02356617955,95,93,0.001585213222,0.01823923153,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","","Enzyme Cofactor Biosynthesis (137 instances)","Distal_Colon","Type","Mucosal",-0.1779185416,0.02047173288,89,89,0,0,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","","","","Enzyme Cofactor Biosynthesis (137 instances)"
"PWY-621","Proximal_Colon","Type","Mucosal",-0.07161375072,0.01717170462,95,95,0.00007176919771,0.0006674535387,"sucrose degradation III (sucrose invertase)","Sucrose Degradation (7 instances)","","","","Sugar Degradation (77 instances)","Cecum","Type","Mucosal",-0.05919874501,0.01826648706,95,95,0.00168841016,0.01888353468,"sucrose degradation III (sucrose invertase)","Sucrose Degradation (7 instances)","","Sugar Degradation (77 instances)","Distal_Colon","Type","Mucosal",-0.1509022831,0.01865406322,89,89,0,0,"sucrose degradation III (sucrose invertase)","Sucrose Degradation (7 instances)","","","","Sugar Degradation (77 instances)"
"PWY-6277","Proximal_Colon","Type","Mucosal",-0.07406897737,0.01733838339,95,95,0.00004936487148,0.0004695272435,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Cecum","Type","Mucosal",-0.05609262852,0.01817271498,95,95,0.002712869738,0.02620385542,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","Purine Nucleotide Biosynthesis (33 instances)","Distal_Colon","Type","Mucosal",-0.160701012,0.01801015147,89,89,0,0,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-6317","Proximal_Colon","Type","Mucosal",-0.08982150445,0.01738540578,95,95,0.000001502146441,0.00002857492207,"D-galactose degradation I (Leloir pathway)","Galactose Degradation (5 instances)","","","","Sugar Degradation (77 instances)","Cecum","Type","Mucosal",-0.07487021487,0.01870557169,95,95,0.0001311463615,0.004846713359,"D-galactose degradation I (Leloir pathway)","Galactose Degradation (5 instances)","","Sugar Degradation (77 instances)","Distal_Colon","Type","Mucosal",-0.1689931222,0.01876451053,89,89,0,0,"D-galactose degradation I (Leloir pathway)","Galactose Degradation (5 instances)","","","","Sugar Degradation (77 instances)"
"PWY-6385","Proximal_Colon","Type","Mucosal",-0.08876353907,0.0177127161,95,95,0.000002818583327,0.00004451234425,"peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)","Cecum","Type","Mucosal",-0.06614438082,0.018361607,95,95,0.0005233868651,0.008723114418,"peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","","Cell Wall Biosynthesis (26 instances)","Distal_Colon","Type","Mucosal",-0.1694009858,0.01935876821,89,89,0,0,"peptidoglycan biosynthesis III (mycobacteria)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6386","Proximal_Colon","Type","Mucosal",-0.08807005618,0.01777481008,95,95,0.000003536997187,0.00005382666628,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)","Cecum","Type","Mucosal",-0.06639492298,0.01838480787,95,95,0.0005077188779,0.008723114418,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","Cell Wall Biosynthesis (26 instances)","Distal_Colon","Type","Mucosal",-0.1706887848,0.01938815379,89,89,0,0,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6387","Proximal_Colon","Type","Mucosal",-0.08943653673,0.01758403019,95,95,0.00000208137464,0.00003498263972,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)","Cecum","Type","Mucosal",-0.0660425695,0.01823168027,95,95,0.0004892972959,0.008723114418,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","Cell Wall Biosynthesis (26 instances)","Distal_Colon","Type","Mucosal",-0.1674134043,0.01901833539,89,89,0,0,"UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)","UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6467","Proximal_Colon","Type","Mucosal",-0.3778760973,0.04808729081,95,33,0.00000000158598442,0.0000001206789963,"Kdo transfer to lipid IVA III (Chlamydia)","Kdo Transfer to Lipid IVA (8 instances)","","","","Lipopolysaccharide Biosynthesis (68 instances)","Cecum","Type","Mucosal",-0.212736179,0.06509167851,95,38,0.002524393918,0.02554446227,"Kdo transfer to lipid IVA III (Chlamydia)","Kdo Transfer to Lipid IVA (8 instances)","","Lipopolysaccharide Biosynthesis (68 instances)","Distal_Colon","Type","Mucosal",-0.4559052535,0.1082738974,89,43,0.00007352251877,0.0004217333368,"Kdo transfer to lipid IVA III (Chlamydia)","Kdo Transfer to Lipid IVA (8 instances)","","","","Lipopolysaccharide Biosynthesis (68 instances)"
"PWY-6471","Proximal_Colon","Type","Mucosal",-0.1569174293,0.03369395094,95,89,0.00001143729357,0.0001407796282,"peptidoglycan biosynthesis IV (Enterococcus faecium)","Peptidoglycan Biosynthesis (6 instances)","Antibiotic Resistance (8 instances)","","","Cell Wall Biosynthesis (26 instances)","Cecum","Type","Mucosal",-0.1304721041,0.03872767891,95,88,0.001125824298,0.01407280373,"peptidoglycan biosynthesis IV (Enterococcus faecium)","Antibiotic Resistance (8 instances)","Peptidoglycan Biosynthesis (6 instances)","Detoxification (65 instances)","Distal_Colon","Type","Mucosal",-0.2559876799,0.05127450514,89,83,0.00000345282156,0.00002177122602,"peptidoglycan biosynthesis IV (Enterococcus faecium)","Peptidoglycan Biosynthesis (6 instances)","Antibiotic Resistance (8 instances)","","","Cell Wall Biosynthesis (26 instances)"
"PWY-6609","Proximal_Colon","Type","Mucosal",-0.07892200326,0.01744776666,95,95,0.0000191737603,0.0002168707752,"adenine and adenosine salvage III","Adenine and Adenosine Salvage (6 instances)","","","","Purine Nucleotide Salvage (13 instances)","Cecum","Type","Mucosal",-0.07637117355,0.01932746186,95,95,0.0001574783121,0.005148329434,"adenine and adenosine salvage III","Adenine and Adenosine Salvage (6 instances)","","Purine Nucleotide Salvage (13 instances)","Distal_Colon","Type","Mucosal",-0.1652817663,0.0186239972,89,89,0,0,"adenine and adenosine salvage III","Adenine and Adenosine Salvage (6 instances)","","","","Purine Nucleotide Salvage (13 instances)"
"PWY-6612","Proximal_Colon","Type","Mucosal",-0.05818764503,0.01436506283,95,86,0.0001935019782,0.001669702637,"superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)","Cecum","Type","Mucosal",-0.07027564359,0.01977951795,95,86,0.0008802752508,0.01226613054,"superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","","Single Carbon Carrier Biosynthesis (23 instances)","Distal_Colon","Type","Mucosal",-0.1471979097,0.02185684946,89,70,0.000000002097203806,0.00000001681835285,"superpathway of tetrahydrofolate biosynthesis","Folate Biosynthesis (14 instances)","","","","Single Carbon Carrier Biosynthesis (23 instances)"
"PWY-6737","Proximal_Colon","Type","Mucosal",-0.04822670875,0.01621625798,95,95,0.003804967274,0.02589233828,"starch degradation V","Starch Degradation (5 instances)","","","","Polysaccharide Degradation (47 instances)","Cecum","Type","Mucosal",-0.05273304687,0.01837546492,95,95,0.005157859786,0.04175410303,"starch degradation V","Starch Degradation (5 instances)","","Polysaccharide Degradation (47 instances)","Distal_Colon","Type","Mucosal",-0.1657853357,0.01634164509,89,89,0,0,"starch degradation V","Starch Degradation (5 instances)","","","","Polysaccharide Degradation (47 instances)"
"PWY-6901","Proximal_Colon","Type","Mucosal",-0.261491867,0.04972385404,95,42,0.000003836491157,0.00005734184104,"superpathway of glucose and xylose degradation","Sugar Degradation (77 instances)","","","","Carbohydrate Degradation (134 instances)","Cecum","Type","Mucosal",-0.1705658147,0.04716185186,95,35,0.0008231679815,0.01185919973,"superpathway of glucose and xylose degradation","Sugar Degradation (77 instances)","","Carbohydrate Degradation (134 instances)","Distal_Colon","Type","Mucosal",-0.3334898705,0.06028622364,89,51,0.0000003652215905,0.000002452626291,"superpathway of glucose and xylose degradation","Sugar Degradation (77 instances)","","","","Carbohydrate Degradation (134 instances)"
"PWY-7208","Proximal_Colon","Type","Mucosal",-0.08639541583,0.01696033341,95,95,0.00000201714813,0.00003498263972,"superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)","Cecum","Type","Mucosal",-0.06349058902,0.01771611941,95,95,0.0005568159621,0.009101799381,"superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","","Pyrimidine Nucleotide Biosynthesis (23 instances)","Distal_Colon","Type","Mucosal",-0.1591187726,0.01833491069,89,89,0,0,"superpathway of pyrimidine nucleobases salvage","Pyrimidine Nucleotide Salvage (12 instances)","","","","Pyrimidine Nucleotide Biosynthesis (23 instances)"
"PWY-7211","Proximal_Colon","Type","Mucosal",-0.312991393,0.05640339457,95,39,0.000001374456265,0.00002675395102,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","","","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Cecum","Type","Mucosal",-0.2308272185,0.04178975889,95,43,0.000004389622508,0.0003934487551,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","2'-Deoxyribonucleotide Biosynthesis (11 instances)","Distal_Colon","Type","Mucosal",-0.4194090748,0.09995602718,89,37,0.00006911972677,0.0003992510091,"superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis","Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances)","","","","2'-Deoxyribonucleotide Biosynthesis (11 instances)"
"PWY-7219","Proximal_Colon","Type","Mucosal",-0.0807322004,0.01647206373,95,95,0.000004383035707,0.00006436141907,"adenosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)","Cecum","Type","Mucosal",-0.06184486049,0.01716425746,95,95,0.000521997197,0.008723114418,"adenosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","Purine Nucleotide De Novo Biosynthesis (16 instances)","Distal_Colon","Type","Mucosal",-0.1587565054,0.01769890987,89,89,0,0,"adenosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)"
"PWY-7220","Proximal_Colon","Type","Mucosal",-0.1151357502,0.01540132784,95,95,0,0.000000009291767131,"adenosine deoxyribonucleotides de novo biosynthesis II","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Cecum","Type","Mucosal",-0.07141389099,0.01704829183,95,95,0.0001301977729,0.004846713359,"adenosine deoxyribonucleotides de novo biosynthesis II","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Distal_Colon","Type","Mucosal",-0.1491892944,0.01815953614,89,89,0,0,"adenosine deoxyribonucleotides de novo biosynthesis II","Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)"
"PWY-7221","Proximal_Colon","Type","Mucosal",-0.09214712417,0.01805659538,95,95,0.000001943991269,0.0000346195892,"guanosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)","Cecum","Type","Mucosal",-0.06809498759,0.01880952219,95,95,0.0004928549163,0.008723114418,"guanosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","Purine Nucleotide De Novo Biosynthesis (16 instances)","Distal_Colon","Type","Mucosal",-0.1668970607,0.01909401331,89,89,0,0,"guanosine ribonucleotides de novo biosynthesis","Purine Riboucleotide De Novo Biosynthesis (5 instances)","","","","Purine Nucleotide De Novo Biosynthesis (16 instances)"
"PWY-7222","Proximal_Colon","Type","Mucosal",-0.1151357502,0.01540132784,95,95,0,0.000000009291767131,"guanosine deoxyribonucleotides de novo biosynthesis II","Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Cecum","Type","Mucosal",-0.07141389099,0.01704829183,95,95,0.0001301977729,0.004846713359,"guanosine deoxyribonucleotides de novo biosynthesis II","Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)","Distal_Colon","Type","Mucosal",-0.1491892944,0.01815953614,89,89,0,0,"guanosine deoxyribonucleotides de novo biosynthesis II","Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances)","","","","Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)"
"PWY-7229","Proximal_Colon","Type","Mucosal",-0.08883190969,0.01543347839,95,95,0.0000001272208071,0.000004259352622,"superpathway of adenosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)","Cecum","Type","Mucosal",-0.06404932917,0.01627843316,95,95,0.0001668310595,0.00525208891,"superpathway of adenosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","Purine Nucleotide Biosynthesis (33 instances)","Distal_Colon","Type","Mucosal",-0.1532661971,0.01733496073,89,89,0,0,"superpathway of adenosine nucleotides de novo biosynthesis I","Purine Nucleotide De Novo Biosynthesis (16 instances)","","","","Purine Nucleotide Biosynthesis (33 instances)"
"PWY-7392","Proximal_Colon","Type","Mucosal",-0.1123720675,0.0214446366,95,88,0.000001109623617,0.00002265256019,"taxadiene biosynthesis (engineered)","Diterpenoid Biosynthesis (44 instances)","","","","Terpenoid Biosynthesis (203 instances)","Cecum","Type","Mucosal",-0.09036779514,0.02785257043,95,89,0.001671166345,0.01888353468,"taxadiene biosynthesis (engineered)","Diterpenoid Biosynthesis (44 instances)","","Terpenoid Biosynthesis (203 instances)","Distal_Colon","Type","Mucosal",-0.2835195328,0.07767042368,89,81,0.0004642780752,0.002539693312,"taxadiene biosynthesis (engineered)","Diterpenoid Biosynthesis (44 instances)","","","","Terpenoid Biosynthesis (203 instances)"
"PWY-7539","Proximal_Colon","Type","Mucosal",-0.08491442494,0.02294278537,95,87,0.0005694933201,0.004583326047,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)","Cecum","Type","Mucosal",-0.1275466708,0.02495935498,95,85,0.000001896295437,0.0002302644459,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","Folate Biosynthesis (14 instances)","Distal_Colon","Type","Mucosal",-0.2261277355,0.02561749768,89,74,0,0.0000000002269084873,"6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)","6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances)","","","","Folate Biosynthesis (14 instances)"
"PWY-7663","Proximal_Colon","Type","Mucosal",-0.06703844445,0.01590376664,95,95,0.00006086845472,0.0005724370404,"gondoate biosynthesis (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)","Cecum","Type","Mucosal",-0.05360830155,0.01683110742,95,95,0.002007130691,0.02159570996,"gondoate biosynthesis (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","","Fatty Acid Biosynthesis (92 instances)","Distal_Colon","Type","Mucosal",-0.1487669254,0.01687990271,89,89,0,0,"gondoate biosynthesis (anaerobic)","Unsaturated Fatty Acid Biosynthesis (60 instances)","","","","Fatty Acid Biosynthesis (92 instances)"
"PWY0-1296","Proximal_Colon","Type","Mucosal",-0.06603292528,0.01867472603,95,95,0.0006543056036,0.005215750383,"purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)","Cecum","Type","Mucosal",-0.08883318572,0.02328954255,95,94,0.0002551506724,0.006777439736,"purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","","Nucleoside and Nucleotide Degradation (40 instances)","Distal_Colon","Type","Mucosal",-0.1661342814,0.02106324623,89,89,0,0.0000000001390807092,"purine ribonucleosides degradation","Purine Nucleotide Degradation (16 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)"
"PWY0-1297","Proximal_Colon","Type","Mucosal",-0.08626876176,0.01811201254,95,95,0.000007577733399,0.0000991025446,"superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)","Cecum","Type","Mucosal",-0.09159311357,0.02243587545,95,94,0.0005776414706,0.009264061321,"superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","","Degradation/Utilization/Assimilation (1104 instances)","Distal_Colon","Type","Mucosal",-0.1649079977,0.02197007435,89,89,0,0.0000000006383553042,"superpathway of purine deoxyribonucleosides degradation","Nucleoside and Nucleotide Degradation (40 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)"
"PWY0-1298","Proximal_Colon","Type","Mucosal",-0.08161470874,0.01818599501,95,95,0.00002197017638,0.0002388186705,"superpathway of pyrimidine deoxyribonucleosides degradation","Pyrimidine Nucleotide Degradation (13 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)","Cecum","Type","Mucosal",-0.08763426723,0.02281540487,95,94,0.001076782147,0.01407280373,"superpathway of pyrimidine deoxyribonucleosides degradation","Pyrimidine Nucleotide Degradation (13 instances)","","Nucleoside and Nucleotide Degradation (40 instances)","Distal_Colon","Type","Mucosal",-0.170386525,0.02259032969,89,89,0,0.0000000005542227975,"superpathway of pyrimidine deoxyribonucleosides degradation","Pyrimidine Nucleotide Degradation (13 instances)","","","","Nucleoside and Nucleotide Degradation (40 instances)"
"PWY0-1319","Proximal_Colon","Type","Mucosal",-0.07619018562,0.01666492316,95,95,0.00001591879117,0.0001850559474,"CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)","Cecum","Type","Mucosal",-0.06127348396,0.01741962009,95,95,0.0006937362125,0.01034518913,"CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol Biosynthesis (3 instances)","","Phospholipid Biosynthesis (38 instances)","Distal_Colon","Type","Mucosal",-0.1575202424,0.0180389959,89,89,0,0,"CDP-diacylglycerol biosynthesis II","CDP-diacylglycerol Biosynthesis (3 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PWY0-1586","Proximal_Colon","Type","Mucosal",-0.06660968167,0.01860366512,95,95,0.0005647972168,0.004583326047,"peptidoglycan maturation (meso-diaminopimelate containing)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)","Cecum","Type","Mucosal",-0.06829515097,0.02133835228,95,94,0.001915064911,0.02086929711,"peptidoglycan maturation (meso-diaminopimelate containing)","Peptidoglycan Biosynthesis (6 instances)","","Cell Wall Biosynthesis (26 instances)","Distal_Colon","Type","Mucosal",-0.1432265569,0.02089904444,89,89,0.000000001253224315,0.00000001036435208,"peptidoglycan maturation (meso-diaminopimelate containing)","Peptidoglycan Biosynthesis (6 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"PWY4FS-7","Proximal_Colon","Type","Mucosal",-0.07427387179,0.01671057341,95,95,0.00002585976554,0.0002639588263,"phosphatidylglycerol biosynthesis I (plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)","Cecum","Type","Mucosal",-0.05865422958,0.01738995979,95,95,0.001110494167,0.01407280373,"phosphatidylglycerol biosynthesis I (plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","Phospholipid Biosynthesis (38 instances)","Distal_Colon","Type","Mucosal",-0.1538487307,0.01867383629,89,89,0,0,"phosphatidylglycerol biosynthesis I (plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"PWY4FS-8","Proximal_Colon","Type","Mucosal",-0.07427387179,0.01671057341,95,95,0.00002585976554,0.0002639588263,"phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)","Cecum","Type","Mucosal",-0.05865422958,0.01738995979,95,95,0.001110494167,0.01407280373,"phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","Phospholipid Biosynthesis (38 instances)","Distal_Colon","Type","Mucosal",-0.1538487307,0.01867383629,89,89,0,0,"phosphatidylglycerol biosynthesis II (non-plastidic)","Phosphatidylglycerol Biosynthesis (2 instances)","","","","Phospholipid Biosynthesis (38 instances)"
"TEICHOICACID-PWY","Proximal_Colon","Type","Mucosal",-0.3150155079,0.04091880099,95,54,0.000000001794702207,0.000000125180479,"poly(glycerol phosphate) wall teichoic acid biosynthesis","Teichoic Acid Biosynthesis (7 instances)","","","","Cell Wall Biosynthesis (26 instances)","Cecum","Type","Mucosal",-0.236156083,0.07605071626,95,58,0.00261002628,0.02606380981,"poly(glycerol phosphate) wall teichoic acid biosynthesis","Teichoic Acid Biosynthesis (7 instances)","","Cell Wall Biosynthesis (26 instances)","Distal_Colon","Type","Mucosal",-0.2923899024,0.05137910146,89,58,0.000001498844885,0.000009597254842,"poly(glycerol phosphate) wall teichoic acid biosynthesis","Teichoic Acid Biosynthesis (7 instances)","","","","Cell Wall Biosynthesis (26 instances)"
"THRESYN-PWY","Proximal_Colon","Type","Mucosal",-0.07316566945,0.01594174546,95,95,0.00001486960963,0.0001777980466,"superpathway of L-threonine biosynthesis","L-threonine Biosynthesis (2 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Cecum","Type","Mucosal",-0.05745943947,0.01667560897,95,95,0.0008777865908,0.01226613054,"superpathway of L-threonine biosynthesis","L-threonine Biosynthesis (2 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Distal_Colon","Type","Mucosal",-0.1625310104,0.01707072521,89,89,0,0,"superpathway of L-threonine biosynthesis","L-threonine Biosynthesis (2 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"TRNA-CHARGING-PWY","Proximal_Colon","Type","Mucosal",-0.07761268524,0.01647352207,95,95,0.000009268699068,0.0001175439564,"tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)","","","Biosynthesis (1993 instances)","Cecum","Type","Mucosal",-0.06280540207,0.01719945827,95,95,0.0004438899079,0.008723114418,"tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)","Biosynthesis (1993 instances)","Distal_Colon","Type","Mucosal",-0.1677111926,0.01685647658,89,89,0,0,"tRNA charging","Aminoacyl-tRNA Charging (4 instances)","Metabolic Clusters (69 instances)","","","Biosynthesis (1993 instances)"
