feature,value,coef,stderr,N,N.not.0,pval,qval,Pathways,L2,L2A,L2B,L2C,L3
PWY-7219,Mucosal,-0.1203392422,0.01743990034,91,91,1.28E-08,1.93E-07,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7220,Mucosal,-0.1126393169,0.01595126783,91,91,8.21E-09,1.33E-07,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7221,Mucosal,-0.1251649535,0.01849624073,91,91,2.04E-08,2.62E-07,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7222,Mucosal,-0.1126393169,0.01595126783,91,91,8.21E-09,1.33E-07,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7228,Mucosal,-0.09627350077,0.01834303665,91,91,3.98E-06,3.05E-05,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7229,Mucosal,-0.1155684443,0.01663312947,91,91,1.12E-08,1.75E-07,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7234,Mucosal,-0.1201732291,0.0187961471,91,91,7.74E-08,7.87E-07,inosine-5'-phosphate biosynthesis III,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-7242,Mucosal,-0.1677677758,0.04756597118,91,58,0.001002758083,0.0058819501,D-fructuronate degradation,Sugar Acid Degradation (19 instances),,,,Carboxylate Degradation (101 instances)
PWY-7323,Mucosal,-0.1616912088,0.04814430532,91,53,0.002084447604,0.01190723664,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7328,Mucosal,-0.3702113172,0.1109039783,91,26,0.001597744712,0.009247873366,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,UDP-sugar Biosynthesis (31 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7377,Mucosal,-0.2289007814,0.04831295249,91,47,9.03E-05,0.0005848415817,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-7392,Mucosal,-0.23271625,0.04778528425,91,83,1.27E-05,9.00E-05,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,,,Terpenoid Biosynthesis (203 instances)
PWY-7400,Mucosal,-0.1994791409,0.01790459197,91,87,9.87E-15,1.73E-12,L-arginine biosynthesis IV (archaea),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-7539,Mucosal,-0.178516856,0.03330582525,91,79,2.77E-06,2.16E-05,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-7560,Mucosal,-0.1960244031,0.02087606287,91,84,3.09E-12,1.13E-10,methylerythritol phosphate pathway II,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY-7663,Mucosal,-0.1147873347,0.0173298429,91,91,3.56E-08,3.94E-07,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-841,Mucosal,-0.1090212175,0.01730790718,91,91,1.07E-07,1.05E-06,superpathway of purine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-922,Mucosal,-0.1719773084,0.03334923622,91,82,5.49E-06,4.14E-05,mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways (4 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY0-1296,Mucosal,-0.1347085439,0.01976486644,91,91,1.66E-08,2.31E-07,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1297,Mucosal,-0.1250982266,0.01873339652,91,91,2.89E-08,3.29E-07,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
PWY0-1298,Mucosal,-0.1175965845,0.01984515783,91,91,3.91E-07,3.49E-06,superpathway of pyrimidine deoxyribonucleosides degrad,Pyrimidine Nucleotide Degradation (13 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1319,Mucosal,-0.1210799704,0.01774376004,91,91,1.69E-08,2.31E-07,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY0-1586,Mucosal,-0.1067455462,0.01702242086,91,91,1.21E-07,1.17E-06,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY0-162,Mucosal,-0.1083455151,0.01784593695,91,91,2.37E-07,2.20E-06,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
PWY0-166,Mucosal,-0.1078356772,0.0186574509,91,91,6.45E-07,5.64E-06,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY0-781,Mucosal,-0.1955666398,0.04372716322,91,42,4.99E-05,0.0003328845632,aspartate superpathway,Superpathways (382 instances),,,,NA
PWY490-3,Mucosal,-0.5742793594,0.07729465305,91,31,7.12E-08,7.32E-07,nitrate reduction VI (assimilatory),Nitrate Reduction (11 instances),,,,Nitrogen Compound Metabolism (33 instances)
PWY4FS-7,Mucosal,-0.1210629017,0.01785692993,91,91,2.02E-08,2.62E-07,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY4FS-8,Mucosal,-0.1210629017,0.01785692993,91,91,2.02E-08,2.62E-07,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PYRIDNUCSAL-PWY,Mucosal,-0.2569209643,0.0593888365,91,52,0.0001346110826,0.0008525368565,NAD salvage pathway I (PNC VI cycle),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
PYRIDNUCSYN-PWY,Mucosal,-0.2654584512,0.03948210963,91,74,2.60E-08,3.07E-07,NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
RIBOSYN2-PWY,Mucosal,-0.1508463288,0.02855467787,91,80,3.77E-06,2.91E-05,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis (5 instances),,,,Electron Carrier Biosynthesis (99 instances)
RUMP-PWY,Mucosal,-0.4747765271,0.06761354596,91,50,1.15E-08,1.77E-07,formaldehyde oxidation I,Formaldehyde Oxidation (7 instances),Generation of Precursor Metabolites and Energy (240 instances),,,C1 Compound Utilization and Assimilation (39 instances)
SER-GLYSYN-PWY,Mucosal,-0.181900195,0.01954344173,91,88,3.53E-12,1.19E-10,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
SULFATE-CYS-PWY,Mucosal,-0.2477417751,0.09081134515,91,27,0.008432647213,0.04049523991,superpathway of sulfate assimilation and cysteine biosynthesis,Sulfur Compound Metabolism (87 instances),,,,Inorganic Nutrient Metabolism (142 instances)
TCA,Mucosal,-0.2886127667,0.06064448067,91,41,2.12E-05,0.0001458640411,TCA cycle,Generation of Precursor Metabolites and Energy (240 instances),,,,NA
TEICHOICACID-PWY,Mucosal,-0.2520854276,0.04118953621,91,77,1.91E-07,1.79E-06,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,,,Cell Wall Biosynthesis (26 instances)
THISYN-PWY,Mucosal,-0.2084933898,0.04728593472,91,54,8.99E-05,0.0005848415817,superpathway of thiamine diphosphate biosynthesis I,Thiamine Biosynthesis (20 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
THRESYN-PWY,Mucosal,-0.1221363445,0.01792082754,91,91,1.68E-08,2.31E-07,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
TRNA-CHARGING-PWY,Mucosal,-0.1339538539,0.01637944807,91,91,1.30E-10,3.44E-09,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,,Biosynthesis (1993 instances)
TRPSYN-PWY,Mucosal,-0.205494336,0.03986027517,91,70,5.48E-06,4.14E-05,L-tryptophan biosynthesis,L-tryptophan Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
UDPNAGSYN-PWY,Mucosal,-0.1246251056,0.01917439204,91,91,5.31E-08,5.66E-07,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,,UDP-sugar Biosynthesis (31 instances)
VALSYN-PWY,Mucosal,-0.182833785,0.01802952084,91,89,2.77E-13,2.02E-11,L-valine biosynthesis,L-valine Biosynthesis (1 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
