Pathways,Site,coef,L2,L3
L-lysine biosynthesis VI,Jejunum-Mucosa,-0.1270130466,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
pyruvate fermentation to acetate and lactate II,Jejunum-Mucosa,-0.1246960261,Pyruvate Fermentation to Acetate (11 instances),Fermentation to Acetate (21 instances)
L-isoleucine biosynthesis II,Jejunum-Mucosa,-0.178019898,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis III,Jejunum-Mucosa,-0.1951534541,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis IV,Jejunum-Mucosa,-0.1816835106,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Jejunum-Mucosa,-0.1765044409,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
tetrapyrrole biosynthesis I (from glutamate),Jejunum-Mucosa,-0.2965543032,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
tetrapyrrole biosynthesis II (from glycine),Jejunum-Mucosa,-0.2558398931,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
glycolysis II (from fructose 6-phosphate),Jejunum-Mucosa,-0.1255363656,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-glutamate and L-glutamine biosynthesis,Jejunum-Mucosa,-0.3139284112,L-glutamate Biosynthesis (7 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Jejunum-Mucosa,-0.3174163834,Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances)
CDP-diacylglycerol biosynthesis I,Jejunum-Mucosa,-0.1210799704,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
UMP biosynthesis I,Jejunum-Mucosa,-0.1290903704,UMP Biosynthesis (3 instances),Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
inosine 5'-phosphate degradation,Jejunum-Mucosa,-0.1072031607,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Jejunum-Mucosa,-0.191134221,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Polyprenyl Biosynthesis (18 instances)
partial TCA cycle (obligate autotrophs),Jejunum-Mucosa,-0.1794700756,TCA cycle (9 instances),Generation of Precursor Metabolites and Energy (240 instances)
cis-vaccenate biosynthesis,Jejunum-Mucosa,-0.1158306342,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
5-aminoimidazole ribonucleotide biosynthesis I,Jejunum-Mucosa,-0.1272374387,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis II,Jejunum-Mucosa,-0.1303980769,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis I,Jejunum-Mucosa,-0.1317868176,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis II,Jejunum-Mucosa,-0.1002616,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis II,Jejunum-Mucosa,-0.1172123589,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Jejunum-Mucosa,-0.1756406823,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
S-adenosyl-L-methionine salvage I,Jejunum-Mucosa,-0.1238823293,S-adenosyl-L-methionine Biosynthesis (3 instances),Enzyme Cofactor Biosynthesis (137 instances)
chorismate biosynthesis from 3-dehydroquinate,Jejunum-Mucosa,-0.2026247196,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
sucrose degradation III (sucrose invertase),Jejunum-Mucosa,-0.1144760375,Sucrose Degradation (7 instances),Sugar Degradation (77 instances)
superpathway of adenosylcobalamin salvage from cobinamide II,Jejunum-Mucosa,-0.3351234538,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Jejunum-Mucosa,-0.1303980769,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
D-galactose degradation I (Leloir pathway),Jejunum-Mucosa,-0.1286146372,Galactose Degradation (5 instances),Sugar Degradation (77 instances)
peptidoglycan biosynthesis III (mycobacteria),Jejunum-Mucosa,-0.122482193,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Jejunum-Mucosa,-0.1239787855,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Jejunum-Mucosa,-0.12295859,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis IV (Enterococcus faecium),Jejunum-Mucosa,-0.1448201414,Antibiotic Resistance (8 instances),Detoxification (65 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,Jejunum-Mucosa,-0.4686708569,Metabolic Clusters (69 instances),NA
adenine and adenosine salvage III,Jejunum-Mucosa,-0.1321581709,Adenine and Adenosine Salvage (6 instances),Purine Nucleotide Salvage (13 instances)
superpathway of tetrahydrofolate biosynthesis,Jejunum-Mucosa,-0.18635505,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
superpathway of L-phenylalanine biosynthesis,Jejunum-Mucosa,-0.2847119907,L-phenylalanine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-tyrosine biosynthesis,Jejunum-Mucosa,-0.3001436874,L-tyrosine Biosynthesis (5 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
queuosine biosynthesis I (de novo),Jejunum-Mucosa,-0.1985966962,Queuosine Biosynthesis and Salvage (3 instances),Nucleic Acid Processing (21 instances)
starch degradation V,Jejunum-Mucosa,-0.1867276351,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances)
pyruvate fermentation to isobutanol (engineered),Jejunum-Mucosa,-0.1709378236,Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis I,Jejunum-Mucosa,-0.09155171278,Metabolic Clusters (69 instances),NA
pyrimidine deoxyribonucleotides de novo biosynthesis II,Jejunum-Mucosa,-0.1130664432,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
superpathway of pyrimidine ribonucleosides salvage,Jejunum-Mucosa,-0.09738771956,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
pyrimidine deoxyribonucleotide phosphorylation,Jejunum-Mucosa,-0.1020494227,Metabolic Clusters (69 instances),NA
superpathway of pyrimidine deoxyribonucleoside salvage,Jejunum-Mucosa,-0.09842076751,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
superpathway of pyrimidine nucleobases salvage,Jejunum-Mucosa,-0.1187628368,Pyrimidine Nucleotide Salvage (12 instances),Pyrimidine Nucleotide Biosynthesis (23 instances)
adenosine ribonucleotides de novo biosynthesis,Jejunum-Mucosa,-0.1203392422,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
adenosine deoxyribonucleotides de novo biosynthesis II,Jejunum-Mucosa,-0.1126393169,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
guanosine ribonucleotides de novo biosynthesis,Jejunum-Mucosa,-0.1251649535,Purine Riboucleotide De Novo Biosynthesis (5 instances),Purine Nucleotide De Novo Biosynthesis (16 instances)
guanosine deoxyribonucleotides de novo biosynthesis II,Jejunum-Mucosa,-0.1126393169,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis I,Jejunum-Mucosa,-0.09627350077,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis I,Jejunum-Mucosa,-0.1155684443,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis III,Jejunum-Mucosa,-0.1201732291,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,Jejunum-Mucosa,-0.3702113172,UDP-sugar Biosynthesis (31 instances),Sugar Nucleotide Biosynthesis (92 instances)
"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)",Jejunum-Mucosa,-0.2289007814,"cob(II)yrinate a,c-diamide biosynthesis (2 instances)",Enzyme Cofactor Biosynthesis (137 instances)
taxadiene biosynthesis (engineered),Jejunum-Mucosa,-0.23271625,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
L-arginine biosynthesis IV (archaea),Jejunum-Mucosa,-0.1994791409,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),Jejunum-Mucosa,-0.178516856,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
methylerythritol phosphate pathway II,Jejunum-Mucosa,-0.1960244031,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
gondoate biosynthesis (anaerobic),Jejunum-Mucosa,-0.1147873347,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
superpathway of purine nucleotides de novo biosynthesis I,Jejunum-Mucosa,-0.1090212175,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
mevalonate pathway I (eukaryotes and bacteria),Jejunum-Mucosa,-0.1719773084,Mevalonate Pathways (4 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
purine ribonucleosides degradation,Jejunum-Mucosa,-0.1347085439,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of purine deoxyribonucleosides degradation,Jejunum-Mucosa,-0.1250982266,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances)
superpathway of pyrimidine deoxyribonucleosides degrad,Jejunum-Mucosa,-0.1175965845,Pyrimidine Nucleotide Degradation (13 instances),Nucleoside and Nucleotide Degradation (40 instances)
CDP-diacylglycerol biosynthesis II,Jejunum-Mucosa,-0.1210799704,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
peptidoglycan maturation (meso-diaminopimelate containing),Jejunum-Mucosa,-0.1067455462,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
superpathway of pyrimidine ribonucleotides de novo biosynthesis,Jejunum-Mucosa,-0.1083455151,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Jejunum-Mucosa,-0.1078356772,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),2'-Deoxyribonucleotide Biosynthesis (11 instances)
aspartate superpathway,Jejunum-Mucosa,-0.1955666398,Superpathways (382 instances),NA
nitrate reduction VI (assimilatory),Jejunum-Mucosa,-0.5742793594,Nitrate Reduction (11 instances),Nitrogen Compound Metabolism (33 instances)
phosphatidylglycerol biosynthesis I (plastidic),Jejunum-Mucosa,-0.1210629017,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
phosphatidylglycerol biosynthesis II (non-plastidic),Jejunum-Mucosa,-0.1210629017,Phosphatidylglycerol Biosynthesis (2 instances),Phospholipid Biosynthesis (38 instances)
NAD salvage pathway I (PNC VI cycle),Jejunum-Mucosa,-0.2569209643,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
NAD de novo biosynthesis I (from aspartate),Jejunum-Mucosa,-0.2654584512,NAD Biosynthesis (12 instances),NAD Metabolism (19 instances)
flavin biosynthesis I (bacteria and plants),Jejunum-Mucosa,-0.1508463288,Flavin Biosynthesis (5 instances),Electron Carrier Biosynthesis (99 instances)
formaldehyde oxidation I,Jejunum-Mucosa,-0.4747765271,Formaldehyde Oxidation (7 instances),C1 Compound Utilization and Assimilation (39 instances)
superpathway of L-serine and glycine biosynthesis I,Jejunum-Mucosa,-0.181900195,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
poly(glycerol phosphate) wall teichoic acid biosynthesis,Jejunum-Mucosa,-0.2520854276,Teichoic Acid Biosynthesis (7 instances),Cell Wall Biosynthesis (26 instances)
superpathway of L-threonine biosynthesis,Jejunum-Mucosa,-0.1221363445,L-threonine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
tRNA charging,Jejunum-Mucosa,-0.1339538539,Aminoacyl-tRNA Charging (4 instances),Biosynthesis (1993 instances)
UDP-N-acetyl-D-glucosamine biosynthesis I,Jejunum-Mucosa,-0.1246251056,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),UDP-sugar Biosynthesis (31 instances)
L-valine biosynthesis,Jejunum-Mucosa,-0.182833785,L-valine Biosynthesis (1 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
homolactic fermentation,Ileum-Mucosa,-0.1095934301,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
glycolysis III (from glucose),Ileum-Mucosa,-0.09585305641,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-arginine biosynthesis I (via L-ornithine),Ileum-Mucosa,-0.1732639493,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-arginine biosynthesis II (acetyl cycle),Ileum-Mucosa,-0.1853184343,L-arginine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
chorismate biosynthesis I,Ileum-Mucosa,-0.18092628,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
superpathway of L-aspartate and L-asparagine biosynthesis,Ileum-Mucosa,-0.1455087026,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of branched chain amino acid biosynthesis,Ileum-Mucosa,-0.1595533308,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
Calvin-Benson-Bassham cycle,Ileum-Mucosa,-0.1129532555,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances)
coenzyme A biosynthesis I (prokaryotic),Ileum-Mucosa,-0.1076020492,Coenzyme A Biosynthesis (8 instances),Carrier Biosynthesis (137 instances)
superpathway of adenosylcobalamin salvage from cobinamide I,Ileum-Mucosa,-0.2013615683,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of aromatic amino acid biosynthesis,Ileum-Mucosa,-0.1743270691,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
L-lysine biosynthesis I,Ileum-Mucosa,-0.1487453714,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of purine nucleotides de novo biosynthesis II,Ileum-Mucosa,-0.08549517591,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
dTDP-beta-L-rhamnose biosynthesis,Ileum-Mucosa,-0.1981585661,dTDP-sugar Biosynthesis (22 instances),Sugar Nucleotide Biosynthesis (92 instances)
fatty acid elongation -- saturated,Ileum-Mucosa,-0.08114667774,Fatty Acid Biosynthesis (92 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
mixed acid fermentation,Ileum-Mucosa,-0.1274134925,Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances)
superpathway of tetrahydrofolate biosynthesis and salvage,Ileum-Mucosa,-0.1384212223,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Ileum-Mucosa,-0.07713608665,Amine and Polyamine Degradation (62 instances),Degradation/Utilization/Assimilation (1104 instances)
gluconeogenesis I,Ileum-Mucosa,-0.1005724541,Gluconeogenesis (3 instances),Sugar Biosynthesis (107 instances)
L-ornithine biosynthesis I,Ileum-Mucosa,-0.2569636498,L-Ornithine Biosynthesis (3 instances),Other Amino Acid Biosynthesis (24 instances)
glycogen degradation I,Ileum-Mucosa,-0.1433918712,Glycan Degradation (11 instances),Polysaccharide Degradation (47 instances)
glycogen biosynthesis I (from ADP-D-Glucose),Ileum-Mucosa,-0.1210122158,Glycogen and Starch Biosynthesis (4 instances),Polysaccharide Biosynthesis (73 instances)
glycolysis I (from glucose 6-phosphate),Ileum-Mucosa,-0.1068018717,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
superpathway of glycolysis and the Entner-Doudoroff pathway,Ileum-Mucosa,-0.1086619589,Generation of Precursor Metabolites and Energy (240 instances),NA
heme b biosynthesis II (oxygen-independent),Ileum-Mucosa,-0.1901740545,Heme b Biosynthesis (8 instances),Heme Biosynthesis (13 instances)
L-histidine biosynthesis,Ileum-Mucosa,-0.2204872479,L-histidine Biosynthesis (2 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis I (from threonine),Ileum-Mucosa,-0.1504449824,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
methylerythritol phosphate pathway I,Ileum-Mucosa,-0.1828949611,Methylerythritol Phosphate Pathways (2 instances),Isopentenyl Diphosphate Biosynthesis (6 instances)
pentose phosphate pathway (non-oxidative branch) I,Ileum-Mucosa,-0.1239411397,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
O-antigen building blocks biosynthesis (E. coli),Ileum-Mucosa,-0.1355682317,Metabolic Clusters (69 instances),NA
heterolactic fermentation,Ileum-Mucosa,-0.1061813939,Fermentation to Lactate (8 instances),Fermentation to Short-Chain Fatty Acids (40 instances)
Bifidobacterium shunt,Ileum-Mucosa,-0.1465276978,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
acetylene degradation (anaerobic),Ileum-Mucosa,-0.05836072357,Fermentation to Acetate (21 instances),Carboxylate Degradation (101 instances)
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Ileum-Mucosa,-0.1480636521,Amino Acid Biosynthesis (124 instances),Biosynthesis (1993 instances)
superpathway of N-acetylneuraminate degradation,Ileum-Mucosa,-0.07051031073,Carboxylate Degradation (101 instances),Degradation/Utilization/Assimilation (1104 instances)
pentose phosphate pathway,Ileum-Mucosa,-0.1165583371,Pentose Phosphate Pathways (6 instances),Generation of Precursor Metabolites and Energy (240 instances)
peptidoglycan biosynthesis I (meso-diaminopimelate containing),Ileum-Mucosa,-0.1021339362,Cell Wall Biosynthesis (26 instances),Cell Structure Biosynthesis (104 instances)
superpathway of phospholipid biosynthesis I (bacteria),Ileum-Mucosa,-0.09349911225,Phospholipid Biosynthesis (38 instances),Fatty Acid and Lipid Biosynthesis (224 instances)
polyisoprenoid biosynthesis (E. coli),Ileum-Mucosa,-0.08180154876,All-trans Polyprenyl Biosynthesis (13 instances),Polyprenyl Biosynthesis (18 instances)
formaldehyde assimilation II (assimilatory RuMP Cycle),Ileum-Mucosa,-0.3512073739,Formaldehyde Assimilation (3 instances),C1 Compound Utilization and Assimilation (39 instances)
L-lysine biosynthesis II,Ileum-Mucosa,-0.152904049,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis III,Ileum-Mucosa,-0.1021622347,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-isoleucine biosynthesis I,Ileum-Mucosa,-0.1307837648,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-lysine biosynthesis VI,Ileum-Mucosa,-0.1039895718,L-lysine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
pyruvate fermentation to acetate and lactate II,Ileum-Mucosa,-0.09893297802,Pyruvate Fermentation to Acetate (11 instances),Fermentation to Acetate (21 instances)
L-isoleucine biosynthesis II,Ileum-Mucosa,-0.1482348249,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis III,Ileum-Mucosa,-0.1625116097,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
L-isoleucine biosynthesis IV,Ileum-Mucosa,-0.1584766221,L-isoleucine Biosynthesis (6 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Ileum-Mucosa,-0.1622736085,Diterpenoid Biosynthesis (44 instances),Terpenoid Biosynthesis (203 instances)
tetrapyrrole biosynthesis I (from glutamate),Ileum-Mucosa,-0.2642930011,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
tetrapyrrole biosynthesis II (from glycine),Ileum-Mucosa,-0.2849510734,Tetrapyrrole Biosynthesis (39 instances),Biosynthesis (1993 instances)
glycolysis II (from fructose 6-phosphate),Ileum-Mucosa,-0.1011406916,Glycolysis (5 instances),Generation of Precursor Metabolites and Energy (240 instances)
L-glutamate and L-glutamine biosynthesis,Ileum-Mucosa,-0.2665316033,L-glutamate Biosynthesis (7 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Ileum-Mucosa,-0.2811819711,Adenosylcobamide Biosynthesis (13 instances),Cobamide de novo Biosynthesis (21 instances)
CDP-diacylglycerol biosynthesis I,Ileum-Mucosa,-0.09839412141,CDP-diacylglycerol Biosynthesis (3 instances),Phospholipid Biosynthesis (38 instances)
UMP biosynthesis I,Ileum-Mucosa,-0.1071914815,UMP Biosynthesis (3 instances),Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances)
inosine 5'-phosphate degradation,Ileum-Mucosa,-0.09794241462,Purine Nucleotide Degradation (16 instances),Nucleoside and Nucleotide Degradation (40 instances)
superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Ileum-Mucosa,-0.08944809185,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Polyprenyl Biosynthesis (18 instances)
partial TCA cycle (obligate autotrophs),Ileum-Mucosa,-0.2550071775,TCA cycle (9 instances),Generation of Precursor Metabolites and Energy (240 instances)
cis-vaccenate biosynthesis,Ileum-Mucosa,-0.09516522956,Unsaturated Fatty Acid Biosynthesis (60 instances),Fatty Acid Biosynthesis (92 instances)
5-aminoimidazole ribonucleotide biosynthesis I,Ileum-Mucosa,-0.1075648329,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
5-aminoimidazole ribonucleotide biosynthesis II,Ileum-Mucosa,-0.1108335012,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
inosine-5'-phosphate biosynthesis I,Ileum-Mucosa,-0.1119128033,Inosine-5'-phosphate Biosynthesis (3 instances),Purine Riboucleotide De Novo Biosynthesis (5 instances)
superpathway of guanosine nucleotides de novo biosynthesis II,Ileum-Mucosa,-0.0702915952,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
superpathway of adenosine nucleotides de novo biosynthesis II,Ileum-Mucosa,-0.09412851164,Purine Nucleotide De Novo Biosynthesis (16 instances),Purine Nucleotide Biosynthesis (33 instances)
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,Ileum-Mucosa,-0.1790380076,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),Folate Biosynthesis (14 instances)
S-adenosyl-L-methionine salvage I,Ileum-Mucosa,-0.1014911519,S-adenosyl-L-methionine Biosynthesis (3 instances),Enzyme Cofactor Biosynthesis (137 instances)
chorismate biosynthesis from 3-dehydroquinate,Ileum-Mucosa,-0.1805419378,Chorismate Biosynthesis (3 instances),Aromatic Compound Biosynthesis (51 instances)
sucrose degradation III (sucrose invertase),Ileum-Mucosa,-0.08679145601,Sucrose Degradation (7 instances),Sugar Degradation (77 instances)
superpathway of adenosylcobalamin salvage from cobinamide II,Ileum-Mucosa,-0.2720057233,Adenosylcobalamin Salvage from Cobinamide (5 instances),Cobinamide Salvage (7 instances)
superpathway of 5-aminoimidazole ribonucleotide biosynthesis,Ileum-Mucosa,-0.1108335012,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),Purine Nucleotide Biosynthesis (33 instances)
D-galactose degradation I (Leloir pathway),Ileum-Mucosa,-0.1033051325,Galactose Degradation (5 instances),Sugar Degradation (77 instances)
peptidoglycan biosynthesis III (mycobacteria),Ileum-Mucosa,-0.1001105865,Peptidoglycan Biosynthesis (6 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),Ileum-Mucosa,-0.102094253,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),Ileum-Mucosa,-0.1009997173,UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),Cell Wall Biosynthesis (26 instances)
peptidoglycan biosynthesis IV (Enterococcus faecium),Ileum-Mucosa,-0.1357642423,Antibiotic Resistance (8 instances),Detoxification (65 instances)
pyrimidine deoxyribonucleotides de novo biosynthesis III,Ileum-Mucosa,-0.4486817671,Metabolic Clusters (69 instances),NA
adenine and adenosine salvage III,Ileum-Mucosa,-0.1080162593,Adenine and Adenosine Salvage (6 instances),Purine Nucleotide Salvage (13 instances)
superpathway of tetrahydrofolate biosynthesis,Ileum-Mucosa,-0.1600707969,Folate Biosynthesis (14 instances),Single Carbon Carrier Biosynthesis (23 instances)
superpathway of L-phenylalanine biosynthesis,Ileum-Mucosa,-0.2808838063,L-phenylalanine Biosynthesis (4 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
superpathway of L-tyrosine biosynthesis,Ileum-Mucosa,-0.2369513466,L-tyrosine Biosynthesis (5 instances),Proteinogenic Amino Acid Biosynthesis (89 instances)
queuosine biosynthesis I (de novo),Ileum-Mucosa,-0.1394683556,Queuosine Biosynthesis and Salvage (3 instances),Nucleic Acid Processing (21 instances)
starch degradation V,Ileum-Mucosa,-0.1522094332,Starch Degradation (5 instances),Polysaccharide Degradation (47 instances)
pyruvate fermentation to isobutanol (engineered),Ileum-Mucosa,-0.1369409806,Fermentation of Pyruvate (37 instances),Fermentation (81 instances)
