"","value","coef","stderr","N","N.not.0","pval","qval","Pathways","L2","L2A","L2B","L2C","L3","value","coef","stderr","N","N.not.0","pval","qval","Pathway","L2","L2A","L2B","L2C","L3","X","Order","Terminal.Pathway","L1...Terminal.Pathway","L2.1","L2A.1","L2B.1","L2C.1","L3.1","L4","X.1","X.2","X.3","X.4","X.5","X.6","ID","Name","value.1","coef.1","stderr.1","N.1","N.not.0.1","pval.1","qval.1","Pathways","L2.2","L2A.2","L2B.2","L2C.2","L3.2"
"NONMEVIPP-PWY","Mucosal",-0.1960244031,0.02087606287,91,84,0.00000000000309,0.000000000113,"methylerythritol phosphate pathway I","Methylerythritol Phosphate Pathways (2 instances)","","","","Isopentenyl Diphosphate Biosynthesis (6 instances)","Mucosal",-0.1828949611,0.02474195358,86,80,0.00000000324,0.0000000998,"methylerythritol phosphate pathway I","Methylerythritol Phosphate Pathways (2 instances)","","",NA,"Isopentenyl Diphosphate Biosynthesis (6 instances)",NA,176,"pyruvate fermentation to acetate and lactate II","pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)",NA,NA,"Fermentation to Acetate (21 instances)","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA,"PWY-7187","pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II","Mucosal",-0.1149405889,0.02385933442,92,90,0.00000633,0.000056,"methylerythritol phosphate pathway I","Methylerythritol Phosphate Pathways (2 instances)","","","","Isopentenyl Diphosphate Biosynthesis (6 instances)"
"NONOXIPENT-PWY","Mucosal",-0.1554520678,0.01418008801,91,91,0.0000000000000171,0.00000000000249,"pentose phosphate pathway (non-oxidative branch) I","Pentose Phosphate Pathways (6 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Mucosal",-0.1239411397,0.01580454816,86,86,0.000000000587,0.0000000241,"pentose phosphate pathway (non-oxidative branch) I","Pentose Phosphate Pathways (6 instances)","","",NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,182,"pyruvate fermentation to isobutanol (engineered)","pyruvate fermentation to isobutanol (engineered)","Fermentation of Pyruvate (37 instances)","Fermentation to Alcohols (17 instances)",NA,NA,"Fermentation (81 instances)","Generation of Precursor Metabolites and Energy (240 instances)",NA,NA,NA,NA,NA,NA,"PWY-6545","pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III","Mucosal",-0.11141749,0.01488303789,92,92,0.00000000157,0.0000000943,"pentose phosphate pathway (non-oxidative branch) I","Pentose Phosphate Pathways (6 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"OANTIGEN-PWY","Mucosal",-0.1506889445,0.0206598466,91,86,0.00000000331,0.0000000659,"O-antigen building blocks biosynthesis (E. coli)","Metabolic Clusters (69 instances)","Sugar Nucleotide Biosynthesis (92 instances)","","",NA,"Mucosal",-0.1355682317,0.02161639688,86,80,0.000000135,0.00000234,"O-antigen building blocks biosynthesis (E. coli)","Metabolic Clusters (69 instances)","Sugar Nucleotide Biosynthesis (92 instances)","",NA,NA,NA,184,"pyruvate fermentation to propanoate I","pyruvate fermentation to propanoate I","Pyruvate Fermentation to Propanoate (2 instances)","",NA,NA,"Fermentation of Pyruvate (37 instances)","Fermentation (81 instances)",NA,NA,NA,NA,NA,NA,"PWY-5100","pyruvate fermentation to acetate and lactate II","Mucosal",-0.1354144382,0.02069232706,92,86,0.00000000526,0.000000175,"O-antigen building blocks biosynthesis (E. coli)","Metabolic Clusters (69 instances)","Sugar Nucleotide Biosynthesis (92 instances)","","",NA
"P122-PWY","Mucosal",-0.1367516274,0.02883233952,91,86,0.0000208,0.0001442816591,"heterolactic fermentation","Fermentation to Lactate (8 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Fermentation to Short-Chain Fatty Acids (40 instances)","Mucosal",-0.1061813939,0.04017028021,86,81,0.01119150478,0.04947219037,"heterolactic fermentation","Fermentation to Lactate (8 instances)","Pyruvate Fermentation to Ethanol (7 instances)","",NA,"Fermentation to Short-Chain Fatty Acids (40 instances)",NA,187,"reductive TCA cycle I","reductive TCA cycle I","Reductive TCA Cycles (4 instances)","",NA,NA,"Autotrophic CO2 Fixation (12 instances)","CO2 Fixation (15 instances)",NA,NA,NA,NA,NA,NA,"P108-PWY","pyruvate fermentation to propanoate I","Mucosal",-0.1810379611,0.05828410736,92,85,0.00318622656,0.01970306277,"heterolactic fermentation","Fermentation to Lactate (8 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Fermentation to Short-Chain Fatty Acids (40 instances)"
"P124-PWY","Mucosal",-0.1401293112,0.0281300685,91,86,0.00000918,0.0000669,"Bifidobacterium shunt","Fermentation to Acetate (21 instances)","Fermentation to Lactate (8 instances)","Sugar Degradation (77 instances)","","Carboxylate Degradation (101 instances)","Mucosal",-0.1465276978,0.0496498824,86,81,0.004947186196,0.02409307628,"Bifidobacterium shunt","Fermentation to Acetate (21 instances)","Fermentation to Lactate (8 instances)","Sugar Degradation (77 instances)",NA,"Carboxylate Degradation (101 instances)",NA,188,"S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine salvage I","S-adenosyl-L-methionine Biosynthesis (3 instances)","",NA,NA,"Enzyme Cofactor Biosynthesis (137 instances)","Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,NA,"PWY-6700","queuosine biosynthesis I (<i>de novo</i>)","Mucosal",-0.153630261,0.03862674086,92,85,0.0002370960821,0.001647915744,"Bifidobacterium shunt","Fermentation to Acetate (21 instances)","Fermentation to Lactate (8 instances)","Sugar Degradation (77 instances)","","Carboxylate Degradation (101 instances)"
"P161-PWY","Mucosal",-0.09458448644,0.01751629908,91,91,0.00000251,0.0000197,"acetylene degradation (anaerobic)","Fermentation to Acetate (21 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Carboxylate Degradation (101 instances)","Mucosal",-0.05836072357,0.01749168884,86,86,0.001817812628,0.009793465534,"acetylene degradation (anaerobic)","Fermentation to Acetate (21 instances)","Pyruvate Fermentation to Ethanol (7 instances)","",NA,"Carboxylate Degradation (101 instances)",NA,189,"starch degradation V","starch degradation V","Starch Degradation (5 instances)","",NA,NA,"Polysaccharide Degradation (47 instances)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA,"P23-PWY","reductive TCA cycle I","Mucosal",-0.09913384054,0.01807813096,92,92,0.00000169,0.0000168,"acetylene degradation (anaerobic)","Fermentation to Acetate (21 instances)","Pyruvate Fermentation to Ethanol (7 instances)","","","Carboxylate Degradation (101 instances)"
"P4-PWY","Mucosal",-0.153593533,0.04303885459,91,52,0.0005960034127,0.00359246195,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.1480636521,0.03146695863,86,52,0.0000255,0.0001995271056,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino Acid Biosynthesis (124 instances)","","",NA,"Biosynthesis (1993 instances)",NA,193,"sucrose degradation IV (sucrose phosphorylase)","sucrose degradation IV (sucrose phosphorylase)","Sucrose Degradation (7 instances)","",NA,NA,"Sugar Degradation (77 instances)","Carbohydrate Degradation (134 instances)",NA,NA,NA,NA,NA,NA,"PWY-621","sucrose degradation III (sucrose invertase)","Mucosal",-0.1900629484,0.04854059943,92,52,0.0002885823611,0.001989325948,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino Acid Biosynthesis (124 instances)","","","","Biosynthesis (1993 instances)"
"P441-PWY","Mucosal",-0.1137480423,0.01564419393,91,91,0.00000000302,0.0000000659,"superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)","Mucosal",-0.07051031073,0.02365423871,86,85,0.00383536357,0.01933382104,"superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","","",NA,"Degradation/Utilization/Assimilation (1104 instances)",NA,196,"superpathway of 5-aminoimidazole ribonucleotide biosynthesis","superpathway of 5-aminoimidazole ribonucleotide biosynthesis","5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances)","",NA,NA,"Purine Nucleotide Biosynthesis (33 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"GLUCUROCAT-PWY","superpathway of &beta;-D-glucuronosides degradation","Mucosal",-0.09895645426,0.01479696753,92,92,0.000000026,0.000000575,"superpathway of N-acetylneuraminate degradation","Carboxylate Degradation (101 instances)","","","","Degradation/Utilization/Assimilation (1104 instances)"
"PENTOSE-P-PWY","Mucosal",-0.1437414859,0.02462737636,91,84,0.000000552,0.00000487,"pentose phosphate pathway","Pentose Phosphate Pathways (6 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Mucosal",-0.1165583371,0.02292981164,86,84,0.00000687,0.0000598,"pentose phosphate pathway","Pentose Phosphate Pathways (6 instances)","","",NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,202,"superpathway of adenosylcobalamin salvage from cobinamide I","superpathway of adenosylcobalamin salvage from cobinamide I","Adenosylcobalamin Salvage from Cobinamide (5 instances)","",NA,NA,"Cobinamide Salvage (7 instances)","Cobamide Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA,"GLCMANNANAUT-PWY","superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation","Mucosal",-0.09546055668,0.0216060855,92,87,0.0000613,0.0004772302593,"pentose phosphate pathway","Pentose Phosphate Pathways (6 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"PEPTIDOGLYCANSYN-PWY","Mucosal",-0.1241632543,0.01843108889,91,91,0.0000000225,0.000000282,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","","","","Cell Structure Biosynthesis (104 instances)","Mucosal",-0.1021339362,0.01731632413,86,86,0.000000505,0.00000621,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","","",NA,"Cell Structure Biosynthesis (104 instances)",NA,204,"superpathway of adenosylcobalamin salvage from cobinamide II","superpathway of adenosylcobalamin salvage from cobinamide II","Adenosylcobalamin Salvage from Cobinamide (5 instances)","",NA,NA,"Cobinamide Salvage (7 instances)","Cobamide Biosynthesis (28 instances)",NA,NA,NA,NA,NA,NA,"P441-PWY","superpathway of <i>N</i>-acetylneuraminate degradation","Mucosal",-0.1183055243,0.01851944161,92,92,0.0000000692,0.000000986,"peptidoglycan biosynthesis I (meso-diaminopimelate containing)","Cell Wall Biosynthesis (26 instances)","","","","Cell Structure Biosynthesis (104 instances)"
"PHOSLIPSYN-PWY","Mucosal",-0.1192496072,0.01747000971,91,91,0.0000000172,0.000000231,"superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)","Mucosal",-0.09349911225,0.01674679983,86,86,0.00000152,0.0000154,"superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","","",NA,"Fatty Acid and Lipid Biosynthesis (224 instances)",NA,206,"superpathway of arginine and polyamine biosynthesis","superpathway of arginine and polyamine biosynthesis","Amine and Polyamine Biosynthesis (38 instances)","",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY-7229","superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I","Mucosal",-0.1112772509,0.01714456705,92,92,0.0000000496,0.000000878,"superpathway of phospholipid biosynthesis I (bacteria)","Phospholipid Biosynthesis (38 instances)","","","","Fatty Acid and Lipid Biosynthesis (224 instances)"
"POLYISOPRENSYN-PWY","Mucosal",-0.1163767871,0.01878890532,91,91,0.000000155,0.00000147,"polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","","","","Polyprenyl Biosynthesis (18 instances)","Mucosal",-0.08180154876,0.01761798843,86,86,0.0000328,0.0002505556885,"polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","","",NA,"Polyprenyl Biosynthesis (18 instances)",NA,210,"superpathway of beta-D-glucuronosides degradation","superpathway of beta-D-glucuronosides degradation","D-Glucuronate Degradation (4 instances)","",NA,NA,"Sugar Acid Degradation (19 instances)","Carboxylate Degradation (101 instances)",NA,NA,NA,NA,NA,NA,"COBALSYN-PWY","superpathway of adenosylcobalamin salvage from cobinamide I","Mucosal",-0.119870656,0.01931378783,92,92,0.000000136,0.00000168,"polyisoprenoid biosynthesis (E. coli)","All-trans Polyprenyl Biosynthesis (13 instances)","","","","Polyprenyl Biosynthesis (18 instances)"
"PWY-1861","Mucosal",-0.4268003248,0.04815290478,91,53,0.0000000000468,0.00000000136,"formaldehyde assimilation II (assimilatory RuMP Cycle)","Formaldehyde Assimilation (3 instances)","","","","C1 Compound Utilization and Assimilation (39 instances)","Mucosal",-0.3512073739,0.05175728287,86,57,0.0000000347,0.000000786,"formaldehyde assimilation II (assimilatory RuMP Cycle)","Formaldehyde Assimilation (3 instances)","","",NA,"C1 Compound Utilization and Assimilation (39 instances)",NA,218,"superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","GDP-sugar Biosynthesis (16 instances)","",NA,NA,"Sugar Nucleotide Biosynthesis (92 instances)","Sugar Biosynthesis (107 instances)",NA,NA,NA,NA,NA,NA,"COMPLETE-ARO-PWY","superpathway of aromatic amino acid biosynthesis","Mucosal",-0.4047480852,0.06140086584,92,55,0.0000000488,0.000000878,"formaldehyde assimilation II (assimilatory RuMP Cycle)","Formaldehyde Assimilation (3 instances)","","","","C1 Compound Utilization and Assimilation (39 instances)"
"PWY-2941","Mucosal",-0.1494888395,0.02642975954,91,86,0.000000897,0.00000747,"L-lysine biosynthesis II","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.152904049,0.04298739338,86,81,0.0008806654881,0.005235404488,"L-lysine biosynthesis II","L-lysine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,221,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)",NA,NA,"Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA,"BRANCHED-CHAIN-AA-SYN-PWY","superpathway of branched chain amino acid biosynthesis","Mucosal",-0.1443183777,0.04356839245,92,86,0.001767341383,0.01134606186,"L-lysine biosynthesis II","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-2942","Mucosal",-0.1251900157,0.01711980877,91,91,0.0000000031,0.0000000659,"L-lysine biosynthesis III","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1021622347,0.01658264228,86,86,0.000000219,0.00000314,"L-lysine biosynthesis III","L-lysine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,224,"superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)",NA,NA,"Terpenoid Biosynthesis (203 instances)","Secondary Metabolite Biosynthesis (911 instances)",NA,NA,NA,NA,NA,NA,"PANTOSYN-PWY","superpathway of coenzyme A biosynthesis I (bacteria)","Mucosal",-0.1142139776,0.01739797679,92,92,0.0000000373,0.000000746,"L-lysine biosynthesis III","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-3001","Mucosal",-0.1517181659,0.01562419014,91,91,0.000000000000821,0.0000000000448,"superpathway of L-isoleucine biosynthesis I","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1307837648,0.01631154173,86,86,0.00000000042,0.0000000191,"superpathway of L-isoleucine biosynthesis I","L-isoleucine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,226,"superpathway of glycerol degradation to 1,3-propanediol","superpathway of glycerol degradation to 1,3-propanediol","Glycerol Degradation (7 instances)","",NA,NA,"Alcohol Degradation (20 instances)","Degradation/Utilization/Assimilation (1104 instances)",NA,NA,NA,NA,NA,NA,"PWY-7323","superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis","Mucosal",-0.1127832512,0.0162353584,92,92,0.000000000743,0.0000000694,"superpathway of L-isoleucine biosynthesis I","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5097","Mucosal",-0.1270130466,0.01733477397,91,91,0.00000000294,0.0000000659,"L-lysine biosynthesis VI","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1039895718,0.01682316447,86,86,0.000000203,0.00000311,"L-lysine biosynthesis VI","L-lysine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,232,"superpathway of guanosine nucleotides de novo biosynthesis II","superpathway of guanosine nucleotides de novo biosynthesis II","Purine Nucleotide De Novo Biosynthesis (16 instances)","",NA,NA,"Purine Nucleotide Biosynthesis (33 instances)","Nucleoside and Nucleotide Biosynthesis (57 instances)",NA,NA,NA,NA,NA,NA,"GOLPDLCAT-PWY","superpathway of glycerol degradation to 1,3-propanediol","Mucosal",-0.1157655972,0.01755485174,92,92,0.0000000336,0.000000688,"L-lysine biosynthesis VI","L-lysine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5100","Mucosal",-0.1246960261,0.01920446515,91,91,0.0000000524,0.000000566,"pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)","","","Fermentation to Acetate (21 instances)","Mucosal",-0.09893297802,0.01781623862,86,86,0.00000158,0.0000159,"pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)","",NA,"Fermentation to Acetate (21 instances)",NA,234,"superpathway of heme b biosynthesis from glutamate","superpathway of heme b biosynthesis from glutamate","Heme b Biosynthesis (8 instances)","",NA,NA,"Heme Biosynthesis (13 instances)","Enzyme Cofactor Biosynthesis (137 instances)",NA,NA,NA,NA,NA,NA,"GLYCOLYSIS-E-D","superpathway of glycolysis and the Entner-Doudoroff pathway","Mucosal",-0.1240427158,0.01876976226,92,92,0.000000032,0.000000675,"pyruvate fermentation to acetate and lactate II","Pyruvate Fermentation to Acetate (11 instances)","pyruvate fermentation to lactate (4 instances)","","","Fermentation to Acetate (21 instances)"
"PWY-5101","Mucosal",-0.178019898,0.01763416406,91,89,0.00000000000034,0.0000000000228,"L-isoleucine biosynthesis II","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1482348249,0.01774296187,86,85,0.000000000179,0.0000000127,"L-isoleucine biosynthesis II","L-isoleucine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,237,"superpathway of hexitol degradation (bacteria)","superpathway of hexitol degradation (bacteria)","Sugar Alcohol Degradation (20 instances)","",NA,NA,"Sugar Derivative Degradation (56 instances)","Secondary Metabolite Degradation (127 instances)",NA,NA,NA,NA,NA,NA,"PWY-7228","superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I","Mucosal",-0.1196456273,0.01887927516,92,90,0.0000000923,0.00000123,"L-isoleucine biosynthesis II","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5103","Mucosal",-0.1951534541,0.02047368366,91,85,0.00000000000208,0.000000000107,"L-isoleucine biosynthesis III","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1625116097,0.0193269146,86,83,0.000000000192,0.0000000127,"L-isoleucine biosynthesis III","L-isoleucine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,239,"superpathway of hexuronide and hexuronate degradation","superpathway of hexuronide and hexuronate degradation","Superpathways (382 instances)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PWY-6125","superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II","Mucosal",-0.1266779721,0.02094164778,92,90,0.000000248,0.0000029,"L-isoleucine biosynthesis III","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5104","Mucosal",-0.1816835106,0.01940725584,91,86,0.00000000000355,0.000000000119,"L-isoleucine biosynthesis IV","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.1584766221,0.01941074365,86,83,0.000000000311,0.0000000158,"L-isoleucine biosynthesis IV","L-isoleucine Biosynthesis (6 instances)","","",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,240,"superpathway of histidine, purine, and pyrimidine biosynthesis","superpathway of histidine, purine, and pyrimidine biosynthesis","Superpathways (382 instances)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PWY-5918","superpathway of heme <i>b</i> biosynthesis from glutamate","Mucosal",-0.1190202692,0.019542471,92,90,0.000000219,0.00000263,"L-isoleucine biosynthesis IV","L-isoleucine Biosynthesis (6 instances)","","","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
"PWY-5121","Mucosal",-0.1765044409,0.01886950863,91,87,0.00000000000296,0.000000000113,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","","","Terpenoid Biosynthesis (203 instances)","Mucosal",-0.1622736085,0.02186516707,86,83,0.00000000264,0.0000000909,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","",NA,"Terpenoid Biosynthesis (203 instances)",NA,241,"superpathway of L-alanine biosynthesis","superpathway of L-alanine biosynthesis","L-alanine Biosynthesis (4 instances)","",NA,NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)","Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA,"HEXITOLDEGSUPER-PWY","superpathway of hexitol degradation (bacteria)","Mucosal",-0.1144948162,0.02094351107,92,90,0.000000457,0.000005,"superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)","Diterpenoid Biosynthesis (44 instances)","Geranylgeranyl Diphosphate Biosynthesis (3 instances)","","","Terpenoid Biosynthesis (203 instances)"
"PWY-5188","Mucosal",-0.2965543032,0.06876513771,91,68,0.0001563873033,0.0009833273602,"tetrapyrrole biosynthesis I (from glutamate)","Tetrapyrrole Biosynthesis (39 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.2642930011,0.03740657149,86,58,0.0000000151,0.000000395,"tetrapyrrole biosynthesis I (from glutamate)","Tetrapyrrole Biosynthesis (39 instances)","","",NA,"Biosynthesis (1993 instances)",NA,245,"superpathway of L-isoleucine biosynthesis I","superpathway of L-isoleucine biosynthesis I","L-isoleucine Biosynthesis (6 instances)","",NA,NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)","Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA,"PRPP-PWY","superpathway of histidine, purine, and pyrimidine biosynthesis","Mucosal",-0.2342820088,0.04249237209,92,66,0.00000172,0.0000168,"tetrapyrrole biosynthesis I (from glutamate)","Tetrapyrrole Biosynthesis (39 instances)","","","","Biosynthesis (1993 instances)"
"PWY-5189","Mucosal",-0.2558398931,0.03752576607,91,66,0.0000000273,0.000000318,"tetrapyrrole biosynthesis II (from glycine)","Tetrapyrrole Biosynthesis (39 instances)","","","","Biosynthesis (1993 instances)","Mucosal",-0.2849510734,0.04711668717,86,59,0.000000386,0.00000489,"tetrapyrrole biosynthesis II (from glycine)","Tetrapyrrole Biosynthesis (39 instances)","","",NA,"Biosynthesis (1993 instances)",NA,247,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","Amino Acid Biosynthesis (124 instances)","",NA,NA,"Biosynthesis (1993 instances)",NA,NA,NA,NA,NA,NA,NA,"PWY0-1061","superpathway of L-alanine biosynthesis","Mucosal",-0.2357435633,0.04583898001,92,63,0.00000616,0.0000557,"tetrapyrrole biosynthesis II (from glycine)","Tetrapyrrole Biosynthesis (39 instances)","","","","Biosynthesis (1993 instances)"
"PWY-5484","Mucosal",-0.1255363656,0.01334220053,91,91,0.00000000000282,0.000000000113,"glycolysis II (from fructose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)","Mucosal",-0.1011406916,0.01408338089,86,86,0.00000000688,0.000000198,"glycolysis II (from fructose 6-phosphate)","Glycolysis (5 instances)","","",NA,"Generation of Precursor Metabolites and Energy (240 instances)",NA,249,"superpathway of L-methionine biosynthesis (by sulfhydrylation)","superpathway of L-methionine biosynthesis (by sulfhydrylation)","L-methionine De Novo Biosynthesis (7 instances)","",NA,NA,"L-methionine Biosynthesis (14 instances)","Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,NA,NA,NA,NA,NA,"ASPASN-PWY","superpathway of L-aspartate and L-asparagine biosynthesis","Mucosal",-0.1061872614,0.01510076829,92,92,0.000000000507,0.0000000533,"glycolysis II (from fructose 6-phosphate)","Glycolysis (5 instances)","","","","Generation of Precursor Metabolites and Energy (240 instances)"
"PWY-5505","Mucosal",-0.3139284112,0.05367018236,91,59,0.000000742,0.0000063,"L-glutamate and L-glutamine biosynthesis","L-glutamate Biosynthesis (7 instances)","L-glutamine Biosynthesis (2 instances)","Metabolic Clusters (69 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)","Mucosal",-0.2665316033,0.03763265389,86,63,0.000000023,0.000000583,"L-glutamate and L-glutamine biosynthesis","L-glutamate Biosynthesis (7 instances)","L-glutamine Biosynthesis (2 instances)","Metabolic Clusters (69 instances)",NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)",NA,251,"superpathway of L-phenylalanine biosynthesis","superpathway of L-phenylalanine biosynthesis","L-phenylalanine Biosynthesis (4 instances)","",NA,NA,"Proteinogenic Amino Acid Biosynthesis (89 instances)","Amino Acid Biosynthesis (124 instances)",NA,NA,NA,NA,NA,NA,"PWY-3001","superpathway of L-isoleucine biosynthesis I","Mucosal",-0.2339404048,0.03631998476,92,69,0.000000117,0.00000149,"L-glutamate and L-glutamine biosynthesis","L-glutamate Biosynthesis (7 instances)","L-glutamine Biosynthesis (2 instances)","Metabolic Clusters (69 instances)","","Proteinogenic Amino Acid Biosynthesis (89 instances)"
