feature,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3,,Order,Terminal Pathway,L1 = Terminal Pathway,L2,L2A,L2B,L2C,L3,L4,,,,,,,ID,Name
PWY-1269,Mucosal,-0.2790749083,0.06694745709,86,46,0.0001630421956,0.001106632855,CMP-3-deoxy-D-manno-octulosonate biosynthesis,CMP-3-deoxy-D-manno-octulosonate Biosynthesis (2 instances),,,,CMP-sugar Biosynthesis (12 instances),,215,superpathway of coenzyme A biosynthesis I (bacteria),superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis (8 instances),Vitamin Biosynthesis (66 instances),,,Carrier Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",,,,,,,ARG+POLYAMINE-SYN,superpathway of arginine and polyamine biosynthesis
PWY-1861,Mucosal,-0.3512073739,0.05175728287,86,57,3.47E-08,7.86E-07,formaldehyde assimilation II (assimilatory RuMP Cycle),Formaldehyde Assimilation (3 instances),,,,C1 Compound Utilization and Assimilation (39 instances),,218,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances),Sugar Biosynthesis (107 instances),,,,,,,COMPLETE-ARO-PWY,superpathway of aromatic amino acid biosynthesis
PWY-2941,Mucosal,-0.152904049,0.04298739338,86,81,0.0008806654881,0.005235404488,L-lysine biosynthesis II,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,221,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Diterpenoid Biosynthesis (44 instances),Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances),,,,,,,BRANCHED-CHAIN-AA-SYN-PWY,superpathway of branched chain amino acid biosynthesis
PWY-2942,Mucosal,-0.1021622347,0.01658264228,86,86,2.19E-07,3.14E-06,L-lysine biosynthesis III,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,224,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Diterpenoid Biosynthesis (44 instances),Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances),,,,,,,PANTOSYN-PWY,superpathway of coenzyme A biosynthesis I (bacteria)
PWY-3001,Mucosal,-0.1307837648,0.01631154173,86,86,4.20E-10,1.91E-08,superpathway of L-isoleucine biosynthesis I,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,226,"superpathway of glycerol degradation to 1,3-propanediol","superpathway of glycerol degradation to 1,3-propanediol",Glycerol Degradation (7 instances),,,,Alcohol Degradation (20 instances),Degradation/Utilization/Assimilation (1104 instances),,,,,,,PWY-7323,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis
PWY-3781,Mucosal,-0.5705544896,0.15547047,86,26,0.003022314666,0.01560021103,aerobic respiration I (cytochrome c),Aerobic Respiration (23 instances),Electron Transfer Chains (43 instances),,,Respiration (65 instances),,228,superpathway of glycolysis and the Entner-Doudoroff pathway,superpathway of glycolysis and the Entner-Doudoroff pathway,Generation of Precursor Metabolites and Energy (240 instances),,,,NA,NA,,,,,,,PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-4984,Mucosal,-0.2520503652,0.0575179922,86,35,0.0002769044776,0.001822073738,urea cycle,Nitrogen Compound Metabolism (33 instances),,,,Inorganic Nutrient Metabolism (142 instances),,230,superpathway of guanosine nucleotides de novo biosynthesis I,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-5910,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)
PWY-5097,Mucosal,-0.1039895718,0.01682316447,86,86,2.03E-07,3.11E-06,L-lysine biosynthesis VI,L-lysine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,232,superpathway of guanosine nucleotides de novo biosynthesis II,superpathway of guanosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,GOLPDLCAT-PWY,"superpathway of glycerol degradation to 1,3-propanediol"
PWY-5100,Mucosal,-0.09893297802,0.01781623862,86,86,1.58E-06,1.59E-05,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),,,Fermentation to Acetate (21 instances),,234,superpathway of heme b biosynthesis from glutamate,superpathway of heme b biosynthesis from glutamate,Heme b Biosynthesis (8 instances),,,,Heme Biosynthesis (13 instances),Enzyme Cofactor Biosynthesis (137 instances),,,,,,,GLYCOLYSIS-E-D,superpathway of glycolysis and the Entner-Doudoroff pathway
PWY-5101,Mucosal,-0.1482348249,0.01774296187,86,85,1.79E-10,1.27E-08,L-isoleucine biosynthesis II,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,237,superpathway of hexitol degradation (bacteria),superpathway of hexitol degradation (bacteria),Sugar Alcohol Degradation (20 instances),,,,Sugar Derivative Degradation (56 instances),Secondary Metabolite Degradation (127 instances),,,,,,,PWY-7228,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I
PWY-5103,Mucosal,-0.1625116097,0.0193269146,86,83,1.92E-10,1.27E-08,L-isoleucine biosynthesis III,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,239,superpathway of hexuronide and hexuronate degradation,superpathway of hexuronide and hexuronate degradation,Superpathways (382 instances),,,,NA,NA,,,,,,,PWY-6125,superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II
PWY-5104,Mucosal,-0.1584766221,0.01941074365,86,83,3.11E-10,1.58E-08,L-isoleucine biosynthesis IV,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,240,"superpathway of histidine, purine, and pyrimidine biosynthesis","superpathway of histidine, purine, and pyrimidine biosynthesis",Superpathways (382 instances),,,,NA,NA,,,,,,,PWY-5918,superpathway of heme <i>b</i> biosynthesis from glutamate
PWY-5121,Mucosal,-0.1622736085,0.02186516707,86,83,2.64E-09,9.09E-08,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Diterpenoid Biosynthesis (44 instances),Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,Terpenoid Biosynthesis (203 instances),,241,superpathway of L-alanine biosynthesis,superpathway of L-alanine biosynthesis,L-alanine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances),,,,,,,HEXITOLDEGSUPER-PWY,superpathway of hexitol degradation (bacteria)
PWY-5154,Mucosal,-0.2031039738,0.05082301101,86,58,0.0002822573344,0.001843225926,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,243,superpathway of L-aspartate and L-asparagine biosynthesis,superpathway of L-aspartate and L-asparagine biosynthesis,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,GALACT-GLUCUROCAT-PWY,superpathway of hexuronide and hexuronate degradation
PWY-5188,Mucosal,-0.2642930011,0.03740657149,86,58,1.51E-08,3.95E-07,tetrapyrrole biosynthesis I (from glutamate),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances),,245,superpathway of L-isoleucine biosynthesis I,superpathway of L-isoleucine biosynthesis I,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances),,,,,,,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis"
PWY-5189,Mucosal,-0.2849510734,0.04711668717,86,59,3.86E-07,4.89E-06,tetrapyrrole biosynthesis II (from glycine),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances),,247,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I","superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PWY0-1061,superpathway of L-alanine biosynthesis
PWY-5484,Mucosal,-0.1011406916,0.01408338089,86,86,6.88E-09,1.98E-07,glycolysis II (from fructose 6-phosphate),Glycolysis (5 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,249,superpathway of L-methionine biosynthesis (by sulfhydrylation),superpathway of L-methionine biosynthesis (by sulfhydrylation),L-methionine De Novo Biosynthesis (7 instances),,,,L-methionine Biosynthesis (14 instances),Proteinogenic Amino Acid Biosynthesis (89 instances),,,,,,,ASPASN-PWY,superpathway of L-aspartate and L-asparagine biosynthesis
PWY-5505,Mucosal,-0.2665316033,0.03763265389,86,63,2.30E-08,5.83E-07,L-glutamate and L-glutamine biosynthesis,L-glutamate Biosynthesis (7 instances),L-glutamine Biosynthesis (2 instances),Metabolic Clusters (69 instances),,Proteinogenic Amino Acid Biosynthesis (89 instances),,251,superpathway of L-phenylalanine biosynthesis,superpathway of L-phenylalanine biosynthesis,L-phenylalanine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances),,,,,,,PWY-3001,superpathway of L-isoleucine biosynthesis I
PWY-5509,Mucosal,-0.2811819711,0.06439241936,86,52,0.0001285124239,0.0009080140117,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Adenosylcobamide Biosynthesis (13 instances),,,,Cobamide de novo Biosynthesis (21 instances),,253,superpathway of L-serine and glycine biosynthesis I,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,P4-PWY,"superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"
PWY-5659,Mucosal,-0.1657838257,0.03311765363,86,69,1.85E-05,0.0001463551683,GDP-mannose biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances),,255,superpathway of L-threonine biosynthesis,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances),,,,,,,PWY-5345,superpathway of L-methionine biosynthesis (by sulfhydrylation)
PWY-5667,Mucosal,-0.09839412141,0.01686778435,86,86,6.33E-07,7.28E-06,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances),,257,superpathway of L-tyrosine biosynthesis,superpathway of L-tyrosine biosynthesis,L-tyrosine Biosynthesis (5 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),Amino Acid Biosynthesis (124 instances),,,,,,,PWY-6628,superpathway of L-phenylalanine biosynthesis
PWY-5686,Mucosal,-0.1071914815,0.01700834001,86,86,1.24E-07,2.18E-06,UMP biosynthesis I,UMP Biosynthesis (3 instances),,,,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,259,superpathway of menaquinol-8 biosynthesis II,superpathway of menaquinol-8 biosynthesis II,Menaquinol Biosynthesis (20 instances),,,,Quinol and Quinone Biosynthesis (57 instances),Electron Carrier Biosynthesis (99 instances),,,,,,,SER-GLYSYN-PWY,superpathway of L-serine and glycine biosynthesis I
PWY-5695,Mucosal,-0.09794241462,0.01642572344,86,86,3.82E-07,4.89E-06,inosine 5'-phosphate degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances),,261,"superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation","superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",Amine and Polyamine Degradation (62 instances),,,,Degradation/Utilization/Assimilation (1104 instances),NA,,,,,,,THRESYN-PWY,superpathway of L-threonine biosynthesis
PWY-5910,Mucosal,-0.08944809185,0.02317911001,86,77,0.0003897314248,0.00250707827,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Diterpenoid Biosynthesis (44 instances),Geranylgeranyl Diphosphate Biosynthesis (3 instances),,,Terpenoid Biosynthesis (203 instances),,263,superpathway of N-acetylneuraminate degradation,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation (101 instances),,,,Degradation/Utilization/Assimilation (1104 instances),NA,,,,,,,PWY-6630,superpathway of L-tyrosine biosynthesis
PWY-5913,Mucosal,-0.2550071775,0.06799714023,86,56,0.0003483990541,0.002258044998,partial TCA cycle (obligate autotrophs),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),,265,superpathway of phospholipid biosynthesis I (bacteria),superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis (38 instances),,,,Fatty Acid and Lipid Biosynthesis (224 instances),Biosynthesis (1993 instances),,,,,,,PWY-6263,superpathway of menaquinol-8 biosynthesis II
PWY-5973,Mucosal,-0.09516522956,0.01834600661,86,86,5.42E-06,4.87E-05,cis-vaccenate biosynthesis,Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances),,267,superpathway of polyamine biosynthesis I,superpathway of polyamine biosynthesis I,Amine and Polyamine Biosynthesis (38 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis I (bacteria)
PWY-6121,Mucosal,-0.1075648329,0.01676807044,86,86,8.95E-08,1.79E-06,5-aminoimidazole ribonucleotide biosynthesis I,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,269,superpathway of purine deoxyribonucleosides degradation,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,,,Degradation/Utilization/Assimilation (1104 instances),NA,,,,,,,POLYAMSYN-PWY,superpathway of polyamine biosynthesis I
PWY-6122,Mucosal,-0.1108335012,0.01754943627,86,86,1.23E-07,2.18E-06,5-aminoimidazole ribonucleotide biosynthesis II,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,271,superpathway of purine nucleotides de novo biosynthesis I,superpathway of purine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY0-1297,superpathway of purine deoxyribonucleosides degradation
PWY-6123,Mucosal,-0.1119128033,0.01818217227,86,86,2.14E-07,3.12E-06,inosine-5'-phosphate biosynthesis I,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances),,273,superpathway of purine nucleotides de novo biosynthesis II,superpathway of purine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-841,superpathway of purine nucleotides <i>de novo</i> biosynthesis I
PWY-6125,Mucosal,-0.0702915952,0.01648460158,86,86,0.0001133583776,0.0008075613348,superpathway of guanosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,275,superpathway of pyrimidine deoxyribonucleoside salvage,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,DENOVOPURINE2-PWY,superpathway of purine nucleotides <i>de novo</i> biosynthesis II
PWY-6126,Mucosal,-0.09412851164,0.0156920013,86,86,3.69E-07,4.81E-06,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,277,superpathway of pyrimidine deoxyribonucleosides degradation,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation (13 instances),,,,Nucleoside and Nucleotide Degradation (40 instances),Degradation/Utilization/Assimilation (1104 instances),,,,,,,PWY-7200,superpathway of pyrimidine deoxyribonucleoside salvage
PWY-6147,Mucosal,-0.1790380076,0.02500487398,86,74,8.22E-09,2.29E-07,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances),,279,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY0-1298,superpathway of pyrimidine deoxyribonucleosides degradation
PWY-6151,Mucosal,-0.1014911519,0.01755349676,86,86,7.58E-07,8.49E-06,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis (3 instances),,,,Enzyme Cofactor Biosynthesis (137 instances),,282,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-7211,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis
PWY-6163,Mucosal,-0.1805419378,0.02925244313,86,78,2.06E-07,3.11E-06,chorismate biosynthesis from 3-dehydroquinate,Chorismate Biosynthesis (3 instances),,,,Aromatic Compound Biosynthesis (51 instances),,285,superpathway of pyrimidine nucleobases salvage,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY0-166,superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)
PWY-621,Mucosal,-0.08679145601,0.01723626539,86,86,8.66E-06,7.39E-05,sucrose degradation III (sucrose invertase),Sucrose Degradation (7 instances),,,,Sugar Degradation (77 instances),,287,superpathway of pyrimidine ribonucleosides salvage,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances),Nucleoside and Nucleotide Biosynthesis (57 instances),,,,,,,PWY-7208,superpathway of pyrimidine nucleobases salvage
PWY-6269,Mucosal,-0.2720057233,0.05677220777,86,54,3.86E-05,0.0002891051346,superpathway of adenosylcobalamin salvage from cobinamide II,Adenosylcobalamin Salvage from Cobinamide (5 instances),,,,Cobinamide Salvage (7 instances),,289,superpathway of pyrimidine ribonucleotides de novo biosynthesis,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances),Pyrimidine Nucleotide Biosynthesis (23 instances),,,,,,,PWY-7196,superpathway of pyrimidine ribonucleosides salvage
PWY-6277,Mucosal,-0.1108335012,0.01754943627,86,86,1.23E-07,2.18E-06,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis (3 instances),,,,Purine Nucleotide Biosynthesis (33 instances),,291,superpathway of sulfate assimilation and cysteine biosynthesis,superpathway of sulfate assimilation and cysteine biosynthesis,Sulfur Compound Metabolism (87 instances),,,,Inorganic Nutrient Metabolism (142 instances),Degradation/Utilization/Assimilation (1104 instances),,,,,,,PWY0-162,superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis
PWY-6317,Mucosal,-0.1033051325,0.01645433006,86,86,1.45E-07,2.44E-06,D-galactose degradation I (Leloir pathway),Galactose Degradation (5 instances),,,,Sugar Degradation (77 instances),,293,superpathway of tetrahydrofolate biosynthesis,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances),Carrier Biosynthesis (137 instances),,,,,,,SULFATE-CYS-PWY,superpathway of sulfate assimilation and cysteine biosynthesis
PWY-6385,Mucosal,-0.1001105865,0.01759589653,86,86,1.01E-06,1.09E-05,peptidoglycan biosynthesis III (mycobacteria),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances),,296,superpathway of tetrahydrofolate biosynthesis and salvage,superpathway of tetrahydrofolate biosynthesis and salvage,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances),Carrier Biosynthesis (137 instances),,,,,,,PWY-6612,superpathway of tetrahydrofolate biosynthesis
PWY-6386,Mucosal,-0.102094253,0.01759274915,86,86,6.88E-07,7.80E-06,UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances),,299,superpathway of thiamine diphosphate biosynthesis I,superpathway of thiamine diphosphate biosynthesis I,Thiamine Biosynthesis (20 instances),,,,Enzyme Cofactor Biosynthesis (137 instances),"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",,,,,,,FOLSYN-PWY,superpathway of tetrahydrofolate biosynthesis and salvage
PWY-6387,Mucosal,-0.1009997173,0.01716026167,86,86,5.28E-07,6.38E-06,UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing),UDP-N-Acetylmuramoyl-Pentapeptide Biosynthesis (3 instances),,,,Cell Wall Biosynthesis (26 instances),,302,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,UDP-sugar Biosynthesis (31 instances),,,,Sugar Nucleotide Biosynthesis (92 instances),Sugar Biosynthesis (107 instances),,,,,,,THISYN-PWY,superpathway of thiamine diphosphate biosynthesis I
PWY-6396,Mucosal,-0.3477009179,0.0006688866038,86,2,8.22E-11,8.85E-09,"superpathway of 2,3-butanediol biosynthesis",Butanediol Biosynthesis (6 instances),,,,Other Biosynthesis (18 instances),,304,taxadiene biosynthesis (engineered),taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,,,Terpenoid Biosynthesis (203 instances),Secondary Metabolite Biosynthesis (911 instances),,,,,,,PWY-7328,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis
PWY-6467,Mucosal,-0.263591614,0.07870137294,86,40,0.001871966476,0.01002257827,Kdo transfer to lipid IVA III (Chlamydia),Kdo Transfer to Lipid IVA (8 instances),,,,Lipopolysaccharide Biosynthesis (68 instances),,306,TCA cycle I (prokaryotic),TCA cycle I (prokaryotic),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances),NA,,,,,,,PWY-7392,taxadiene biosynthesis (engineered)
PWY-6471,Mucosal,-0.1357642423,0.03601938498,86,82,0.0004634885354,0.002916256332,peptidoglycan biosynthesis IV (Enterococcus faecium),Antibiotic Resistance (8 instances),Peptidoglycan Biosynthesis (6 instances),,,Detoxification (65 instances),,307,TCA cycle V (2-oxoglutarate synthase),TCA cycle V (2-oxoglutarate synthase),Reductive TCA Cycles (4 instances),TCA cycle (9 instances),,,Autotrophic CO2 Fixation (12 instances),CO2 Fixation (15 instances),,,,,,,TCA,TCA cycle I (prokaryotic)
PWY-6507,Mucosal,-0.249176193,0.05883145367,86,51,0.0001809180193,0.001218369786,4-deoxy-L-threo-hex-4-enopyranuronate degradation,Sugar Derivative Degradation (56 instances),,,,Secondary Metabolite Degradation (127 instances),,309,tetrapyrrole biosynthesis I (from glutamate),tetrapyrrole biosynthesis I (from glutamate),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PWY-6969,TCA cycle V (2-oxoglutarate synthase)
PWY-6545,Mucosal,-0.4486817671,0.1048186551,86,30,0.0001334112449,0.0009349633585,pyrimidine deoxyribonucleotides de novo biosynthesis III,Metabolic Clusters (69 instances),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,NA,,310,tetrapyrrole biosynthesis II (from glycine),tetrapyrrole biosynthesis II (from glycine),Tetrapyrrole Biosynthesis (39 instances),,,,Biosynthesis (1993 instances),NA,,,,,,,PWY-5188,tetrapyrrole biosynthesis I (from glutamate)
PWY-6609,Mucosal,-0.1080162593,0.01779857125,86,86,2.86E-07,3.92E-06,adenine and adenosine salvage III,Adenine and Adenosine Salvage (6 instances),,,,Purine Nucleotide Salvage (13 instances),,311,thiamine diphosphate salvage II,thiamine diphosphate salvage II,thiamine Diphosphate Salvage (7 instances),,,,Thiamine Biosynthesis (20 instances),Enzyme Cofactor Biosynthesis (137 instances),,,,,,,PWY-5189,tetrapyrrole biosynthesis II (from glycine)
PWY-6612,Mucosal,-0.1600707969,0.03116421364,86,67,5.61E-06,4.99E-05,superpathway of tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances),,314,thiazole component of thiamine diphosphate biosynthesis I,thiazole component of thiamine diphosphate biosynthesis I,Thiazole Biosynthesis (4 instances),,,,Thiamine Biosynthesis (20 instances),Enzyme Cofactor Biosynthesis (137 instances),,,,,,,PWY-6897,thiamine diphosphate salvage II
PWY-6628,Mucosal,-0.2808838063,0.07870879063,86,53,0.001063673174,0.006032146555,superpathway of L-phenylalanine biosynthesis,L-phenylalanine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,316,tRNA charging,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,,Biosynthesis (1993 instances),NA,,,,,,,PWY-6892,thiazole component of thiamine diphosphate biosynthesis I
PWY-6630,Mucosal,-0.2369513466,0.04319100176,86,53,5.78E-06,5.08E-05,superpathway of L-tyrosine biosynthesis,L-tyrosine Biosynthesis (5 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances),,318,tRNA processing,tRNA processing,Nucleic Acid Processing (21 instances),,,,Macromolecule Modification (64 instances),NA,,,,,,,TRNA-CHARGING-PWY,tRNA charging
PWY-6700,Mucosal,-0.1394683556,0.04926973609,86,66,0.00707438959,0.03278561197,queuosine biosynthesis I (de novo),Queuosine Biosynthesis and Salvage (3 instances),,,,Nucleic Acid Processing (21 instances),,319,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,,UDP-sugar Biosynthesis (31 instances),Sugar Nucleotide Biosynthesis (92 instances),,,,,,,PWY0-1479,tRNA processing
