feature,Site ,metadata,value,coef,stderr,N,N.not.0,pval,qval,Terminal Pathway ,L2,L2A,L2B,L2C,L3
PWY-7187,Distal_Colon,Type,Mucosal,-0.1796289908,0.02527214582,89,87,0.0000000003912391294,0.000000003401721272,pyrimidine deoxyribonucleotides de novo biosynthesis II,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7196,Distal_Colon,Type,Mucosal,-0.1655687071,0.02355179498,89,88,0.00000000056001096,0.000000004818427635,superpathway of pyrimidine ribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7197,Distal_Colon,Type,Mucosal,-0.1854569119,0.03366194874,89,79,0.0000003861682111,0.000002572378568,pyrimidine deoxyribonucleotide phosphorylation,Pyrimidine Nucleotide Salvage (12 instances),Metabolic Clusters (69 instances),,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7199,Distal_Colon,Type,Mucosal,-0.1943396233,0.02603817339,89,81,0.000000001755858802,0.00000001421901344,pyrimidine deoxyribonucleosides salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7200,Distal_Colon,Type,Mucosal,-0.1933345152,0.02823103968,89,81,0.000000001254764174,0.00000001036435208,superpathway of pyrimidine deoxyribonucleoside salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7208,Distal_Colon,Type,Mucosal,-0.1591187726,0.01833491069,89,89,0,0,superpathway of pyrimidine nucleobases salvage,Pyrimidine Nucleotide Salvage (12 instances),,,,Pyrimidine Nucleotide Biosynthesis (23 instances)
PWY-7211,Distal_Colon,Type,Mucosal,-0.4194090748,0.09995602718,89,37,0.00006911972677,0.0003992510091,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY-7219,Distal_Colon,Type,Mucosal,-0.1587565054,0.01769890987,89,89,0,0,adenosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7220,Distal_Colon,Type,Mucosal,-0.1491892944,0.01815953614,89,89,0,0,adenosine deoxyribonucleotides de novo biosynthesis II,Adenosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7221,Distal_Colon,Type,Mucosal,-0.1668970607,0.01909401331,89,89,0,0,guanosine ribonucleotides de novo biosynthesis,Purine Riboucleotide De Novo Biosynthesis (5 instances),,,,Purine Nucleotide De Novo Biosynthesis (16 instances)
PWY-7222,Distal_Colon,Type,Mucosal,-0.1491892944,0.01815953614,89,89,0,0,guanosine deoxyribonucleotides de novo biosynthesis II,Guanosine Deoxyribonucleotide De Novo Biosynthesis (2 instances),,,,Purine Deoxyribonucleotide De Novo Biosynthesis (5 instances)
PWY-7228,Distal_Colon,Type,Mucosal,-0.1624518013,0.02662152161,89,88,0.00000003231755825,0.0000002321243749,superpathway of guanosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7229,Distal_Colon,Type,Mucosal,-0.1532661971,0.01733496073,89,89,0,0,superpathway of adenosine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-7234,Distal_Colon,Type,Mucosal,-0.189688793,0.0311273894,89,87,0.00000003435588241,0.0000002446375765,inosine-5'-phosphate biosynthesis III,Inosine-5'-phosphate Biosynthesis (3 instances),,,,Purine Riboucleotide De Novo Biosynthesis (5 instances)
PWY-7242,Distal_Colon,Type,Mucosal,-0.1497228373,0.03208933319,89,78,0.00002648784532,0.0001597004396,D-fructuronate degradation,Sugar Acid Degradation (19 instances),,,,Carboxylate Degradation (101 instances)
PWY-7323,Distal_Colon,Type,Mucosal,-0.2423924773,0.04146730482,89,60,0.0000004921551063,0.000003252160943,superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis,GDP-sugar Biosynthesis (16 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7328,Distal_Colon,Type,Mucosal,-0.2489420796,0.09173580108,89,9,0.009516330674,0.04623817139,superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis,UDP-sugar Biosynthesis (31 instances),,,,Sugar Nucleotide Biosynthesis (92 instances)
PWY-7377,Distal_Colon,Type,Mucosal,-0.369898353,0.08383743411,89,14,0.0006244655838,0.003371297857,"cob(II)yrinate a,c-diamide biosynthesis I (early cobalt insertion)","cob(II)yrinate a,c-diamide biosynthesis (2 instances)",,,,Enzyme Cofactor Biosynthesis (137 instances)
PWY-7392,Distal_Colon,Type,Mucosal,-0.2835195328,0.07767042368,89,81,0.0004642780752,0.002539693312,taxadiene biosynthesis (engineered),Diterpenoid Biosynthesis (44 instances),,,,Terpenoid Biosynthesis (203 instances)
PWY-7400,Distal_Colon,Type,Mucosal,-0.1644719194,0.0183265986,89,86,0,0,L-arginine biosynthesis IV (archaea),L-arginine Biosynthesis (4 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
PWY-7539,Distal_Colon,Type,Mucosal,-0.2261277355,0.02561749768,89,74,0,0.0000000002269084873,6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia),6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),,,,Folate Biosynthesis (14 instances)
PWY-7560,Distal_Colon,Type,Mucosal,-0.1757411084,0.01856429123,89,87,0,0,methylerythritol phosphate pathway II,Methylerythritol Phosphate Pathways (2 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY-7663,Distal_Colon,Type,Mucosal,-0.1487669254,0.01687990271,89,89,0,0,gondoate biosynthesis (anaerobic),Unsaturated Fatty Acid Biosynthesis (60 instances),,,,Fatty Acid Biosynthesis (92 instances)
PWY-841,Distal_Colon,Type,Mucosal,-0.1600302006,0.02175286623,89,89,0.0000000001297888822,0.000000001191173519,superpathway of purine nucleotides de novo biosynthesis I,Purine Nucleotide De Novo Biosynthesis (16 instances),,,,Purine Nucleotide Biosynthesis (33 instances)
PWY-922,Distal_Colon,Type,Mucosal,-0.2577445305,0.05783059307,89,64,0.00002883110219,0.0001725687711,mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways (4 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY0-1261,Distal_Colon,Type,Mucosal,-0.1657262115,0.05386562414,89,47,0.002871879973,0.01464304233,anhydromuropeptides recycling I,Anhydromuropeptide Recycling (2 instances),,,,Sugar Derivative Degradation (56 instances)
PWY0-1296,Distal_Colon,Type,Mucosal,-0.1661342814,0.02106324623,89,89,0,0.0000000001390807092,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1297,Distal_Colon,Type,Mucosal,-0.1649079977,0.02197007435,89,89,0,0.0000000006383553042,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
PWY0-1298,Distal_Colon,Type,Mucosal,-0.170386525,0.02259032969,89,89,0,0.0000000005542227975,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation (13 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1319,Distal_Colon,Type,Mucosal,-0.1575202424,0.0180389959,89,89,0,0,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY0-1586,Distal_Colon,Type,Mucosal,-0.1432265569,0.02089904444,89,89,0.000000001253224315,0.00000001036435208,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY0-162,Distal_Colon,Type,Mucosal,-0.1616042676,0.02260579865,89,89,0.0000000003298215002,0.000000002898218714,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
PWY0-166,Distal_Colon,Type,Mucosal,-0.1766889738,0.02557097977,89,89,0.000000000941899566,0.000000007938867771,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY4FS-7,Distal_Colon,Type,Mucosal,-0.1538487307,0.01867383629,89,89,0,0,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY4FS-8,Distal_Colon,Type,Mucosal,-0.1538487307,0.01867383629,89,89,0,0,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PYRIDNUCSAL-PWY,Distal_Colon,Type,Mucosal,-0.152449435,0.027339088,89,79,0.000001308978511,0.000008447001953,NAD salvage pathway I (PNC VI cycle),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
PYRIDNUCSYN-PWY,Distal_Colon,Type,Mucosal,-0.2098904546,0.02231941233,89,79,0,0,NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
PYRIDOSYN-PWY,Distal_Colon,Type,Mucosal,0.5191246636,0.1106585065,89,5,0.00163870005,0.008566874947,vitamin B6 degradation,"Cofactor, Prosthetic Group, Electron Carrier Degradation (13 instances)",,,,Degradation/Utilization/Assimilation (1104 instances)
RIBOSYN2-PWY,Distal_Colon,Type,Mucosal,-0.1831004334,0.0187378351,89,81,0,0,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis (5 instances),,,,Electron Carrier Biosynthesis (99 instances)
RUMP-PWY,Distal_Colon,Type,Mucosal,-0.2565482788,0.07754460195,89,46,0.001450907779,0.007633438378,formaldehyde oxidation I,Formaldehyde Oxidation (7 instances),Generation of Precursor Metabolites and Energy (240 instances),,,C1 Compound Utilization and Assimilation (39 instances)
SER-GLYSYN-PWY,Distal_Colon,Type,Mucosal,-0.1629861716,0.01714863767,89,87,0,0,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
SO4ASSIM-PWY,Distal_Colon,Type,Mucosal,0.6592903836,0.2235354736,89,5,0.007677038489,0.03752209344,assimilatory sulfate reduction I,Assimilatory Sulfate Reduction (4 instances),,,,Sulfur Compound Metabolism (87 instances)
TCA,Distal_Colon,Type,Mucosal,-0.2236668386,0.0356255354,89,53,0.00000001571924606,0.0000001159294397,TCA cycle I (prokaryotic),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
TEICHOICACID-PWY,Distal_Colon,Type,Mucosal,-0.2923899024,0.05137910146,89,58,0.000001498844885,0.000009597254842,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,,,Cell Wall Biosynthesis (26 instances)
THISYN-PWY,Distal_Colon,Type,Mucosal,-0.3039502238,0.04240251812,89,61,0.000000004915500083,0.00000003830380253,superpathway of thiamine diphosphate biosynthesis I,Thiamine Biosynthesis (20 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
THRESYN-PWY,Distal_Colon,Type,Mucosal,-0.1625310104,0.01707072521,89,89,0,0,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
TRNA-CHARGING-PWY,Distal_Colon,Type,Mucosal,-0.1677111926,0.01685647658,89,89,0,0,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,,Biosynthesis (1993 instances)
TRPSYN-PWY,Distal_Colon,Type,Mucosal,-0.1490608585,0.02075385926,89,80,0.000000006501266634,0.00000005018734804,L-tryptophan biosynthesis,L-tryptophan Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
UDPNAGSYN-PWY,Distal_Colon,Type,Mucosal,-0.1744475096,0.02360708002,89,88,0.0000000001117833132,0.000000001037449625,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,,UDP-sugar Biosynthesis (31 instances)
VALSYN-PWY,Distal_Colon,Type,Mucosal,-0.146971393,0.01561195218,89,89,0,0,L-valine biosynthesis,L-valine Biosynthesis (1 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
