feature,Site,metadata,value,coef,stderr,N,N.not.0,pval,qval,Pathway,L2,L2A,L2B,L2C,L3
PWY-922,Proximal_Colon,Type,Mucosal,-0.2703813651,0.04765186046,95,59,0.000002089763424,0.00003498263972,mevalonate pathway I (eukaryotes and bacteria),Mevalonate Pathways (4 instances),,,,Isopentenyl Diphosphate Biosynthesis (6 instances)
PWY0-1296,Proximal_Colon,Type,Mucosal,-0.06603292528,0.01867472603,95,95,0.0006543056036,0.005215750383,purine ribonucleosides degradation,Purine Nucleotide Degradation (16 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1297,Proximal_Colon,Type,Mucosal,-0.08626876176,0.01811201254,95,95,0.000007577733399,0.0000991025446,superpathway of purine deoxyribonucleosides degradation,Nucleoside and Nucleotide Degradation (40 instances),,,,Degradation/Utilization/Assimilation (1104 instances)
PWY0-1298,Proximal_Colon,Type,Mucosal,-0.08161470874,0.01818599501,95,95,0.00002197017638,0.0002388186705,superpathway of pyrimidine deoxyribonucleosides degradation,Pyrimidine Nucleotide Degradation (13 instances),,,,Nucleoside and Nucleotide Degradation (40 instances)
PWY0-1319,Proximal_Colon,Type,Mucosal,-0.07619018562,0.01666492316,95,95,0.00001591879117,0.0001850559474,CDP-diacylglycerol biosynthesis II,CDP-diacylglycerol Biosynthesis (3 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY0-1586,Proximal_Colon,Type,Mucosal,-0.06660968167,0.01860366512,95,95,0.0005647972168,0.004583326047,peptidoglycan maturation (meso-diaminopimelate containing),Peptidoglycan Biosynthesis (6 instances),,,,Cell Wall Biosynthesis (26 instances)
PWY0-162,Proximal_Colon,Type,Mucosal,-0.1206508356,0.02040595874,95,95,0.00000006471738758,0.000002462202427,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
PWY0-166,Proximal_Colon,Type,Mucosal,-0.1432800242,0.02185756601,95,91,0.000000003793988942,0.0000002268263389,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY4FS-7,Proximal_Colon,Type,Mucosal,-0.07427387179,0.01671057341,95,95,0.00002585976554,0.0002639588263,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY4FS-8,Proximal_Colon,Type,Mucosal,-0.07427387179,0.01671057341,95,95,0.00002585976554,0.0002639588263,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PYRIDNUCSYN-PWY,Proximal_Colon,Type,Mucosal,-0.0688259131,0.02165802676,95,90,0.002055778347,0.01483350411,NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
PYRIDOXSYN-PWY,Proximal_Colon,Type,Mucosal,0.9292525303,0.2884306865,95,1,0.007330596778,0.04683747712,pyridoxal 5'-phosphate biosynthesis I,Vitamin B6 Biosynthesis (5 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
RIBOSYN2-PWY,Proximal_Colon,Type,Mucosal,-0.05113475686,0.01759940705,95,91,0.005593986371,0.0374331585,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis (5 instances),,,,Electron Carrier Biosynthesis (99 instances)
SER-GLYSYN-PWY,Proximal_Colon,Type,Mucosal,-0.05068385903,0.01857631597,95,95,0.0077005662,0.04882859022,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
TCA,Proximal_Colon,Type,Mucosal,-0.1356569443,0.02130785163,95,69,0.00000007735738967,0.000002815136311,TCA cycle I (prokaryotic),TCA cycle (9 instances),,,,Generation of Precursor Metabolites and Energy (240 instances)
TEICHOICACID-PWY,Proximal_Colon,Type,Mucosal,-0.3150155079,0.04091880099,95,54,0.000000001794702207,0.000000125180479,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,,,Cell Wall Biosynthesis (26 instances)
THISYN-PWY,Proximal_Colon,Type,Mucosal,-0.1364378867,0.03924844143,95,75,0.001104553921,0.00848175809,superpathway of thiamine diphosphate biosynthesis I,Thiamine Biosynthesis (20 instances),,,,Enzyme Cofactor Biosynthesis (137 instances)
THRESYN-PWY,Proximal_Colon,Type,Mucosal,-0.07316566945,0.01594174546,95,95,0.00001486960963,0.0001777980466,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
TRNA-CHARGING-PWY,Proximal_Colon,Type,Mucosal,-0.07761268524,0.01647352207,95,95,0.000009268699068,0.0001175439564,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,,Biosynthesis (1993 instances)
UDPNAGSYN-PWY,Proximal_Colon,Type,Mucosal,-0.1053782723,0.018600128,95,95,0.0000001861827431,0.000005993652151,UDP-N-acetyl-D-glucosamine biosynthesis I,UDP-N-acetyl-D-glucosamine Biosynthesis (2 instances),,,,UDP-sugar Biosynthesis (31 instances)
