feature,value,coef,stderr,N,N.not.0,pval,qval,Pathways,L2,L2A,L2B,L2C,L3
PWY0-162,Mucosal,-0.1164403045,0.01811939002,92,92,6.51E-08,9.61E-07,superpathway of pyrimidine ribonucleotides de novo biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis (5 instances),,,,Pyrimidine Nucleotide De Novo Biosynthesis (11 instances)
PWY0-166,Mucosal,-0.1117224825,0.01987430755,92,91,1.05E-06,1.07E-05,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli),Pyrimidine Deoxyribonucleotide De Novo Biosynthesis (6 instances),,,,2'-Deoxyribonucleotide Biosynthesis (11 instances)
PWY0-781,Mucosal,-0.2091638392,0.04750454999,92,35,6.32E-05,0.0004872730315,aspartate superpathway,Superpathways (382 instances),,,,NA
PWY490-3,Mucosal,-0.3908566507,0.1036893063,92,27,0.0006630219954,0.004425408715,nitrate reduction VI (assimilatory),Nitrate Reduction (11 instances),,,,Nitrogen Compound Metabolism (33 instances)
PWY4FS-7,Mucosal,-0.1129690406,0.01745327818,92,92,5.29E-08,8.78E-07,phosphatidylglycerol biosynthesis I (plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PWY4FS-8,Mucosal,-0.1129690406,0.01745327818,92,92,5.29E-08,8.78E-07,phosphatidylglycerol biosynthesis II (non-plastidic),Phosphatidylglycerol Biosynthesis (2 instances),,,,Phospholipid Biosynthesis (38 instances)
PYRIDNUCSAL-PWY,Mucosal,-0.1619650772,0.03889958092,92,64,0.0001421674008,0.001030713656,NAD salvage pathway I (PNC VI cycle),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
PYRIDNUCSYN-PWY,Mucosal,-0.1520984864,0.03220797581,92,81,2.21E-05,0.0001800739243,NAD de novo biosynthesis I (from aspartate),NAD Biosynthesis (12 instances),,,,NAD Metabolism (19 instances)
RIBOSYN2-PWY,Mucosal,-0.1163346417,0.02831530142,92,84,0.0001756433269,0.00125183083,flavin biosynthesis I (bacteria and plants),Flavin Biosynthesis (5 instances),,,,Electron Carrier Biosynthesis (99 instances)
RUMP-PWY,Mucosal,-0.3732277904,0.04832314404,92,53,1.39E-09,8.96E-08,formaldehyde oxidation I,Formaldehyde Oxidation (7 instances),Generation of Precursor Metabolites and Energy (240 instances),,,C1 Compound Utilization and Assimilation (39 instances)
SER-GLYSYN-PWY,Mucosal,-0.142563435,0.01909298174,92,90,1.86E-09,9.79E-08,superpathway of L-serine and glycine biosynthesis I,Amino Acid Biosynthesis (124 instances),,,,Biosynthesis (1993 instances)
TEICHOICACID-PWY,Mucosal,-0.3163010792,0.04763722526,92,75,3.45E-09,1.53E-07,poly(glycerol phosphate) wall teichoic acid biosynthesis,Teichoic Acid Biosynthesis (7 instances),,,,Cell Wall Biosynthesis (26 instances)
THRESYN-PWY,Mucosal,-0.121116153,0.01802760273,92,92,2.23E-08,5.29E-07,superpathway of L-threonine biosynthesis,L-threonine Biosynthesis (2 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
TRNA-CHARGING-PWY,Mucosal,-0.1093871088,0.01677411361,92,92,4.93E-09,1.75E-07,tRNA charging,Aminoacyl-tRNA Charging (4 instances),Metabolic Clusters (69 instances),,,Biosynthesis (1993 instances)
UDPNAGSYN-PWY,Mucosal,-0.1165256962,0.0194390362,92,92,2.80E-07,3.23E-06,L-isoleucine biosynthesis III,L-isoleucine Biosynthesis (6 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
VALSYN-PWY,Mucosal,-0.1234900677,0.01901631303,92,90,5.36E-08,8.78E-07,L-valine biosynthesis,L-valine Biosynthesis (1 instances),,,,Proteinogenic Amino Acid Biosynthesis (89 instances)
X1CMET2-PWY,Mucosal,-0.1189066087,0.01734444311,92,90,1.49E-08,3.90E-07,N10-formyl-tetrahydrofolate biosynthesis,Folate Biosynthesis (14 instances),,,,Single Carbon Carrier Biosynthesis (23 instances)
