feature,MetaCyc_ID,L1...Terminal.Pathway,L2A,L3A ,L4A,L2B,L2C,L2D,L2E,L2F,L2G,L3B,L3C,L3D,L3E,L3F,L3G,L4B,L2C,L2D,L2E,L2F,L2G
P441.PWY,P441-PWY,superpathway of N-acetylneuraminate degradation,Carboxylate Degradation,Degradation/Utilization/Assimilation,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P461.PWY,P461-PWY,"hexitol fermentation to lactate, formate, ethanol and acetate",Fermentation to Acetate,Carboxylate Degradation,Degradation/Utilization/Assimilation,Fermentation to Acetate (21 instances),Fermentation to Lactate (8 instances),Pyruvate Fermentation to Ethanol (7 instances),Pyruvate Fermentation to Ethanol (7 instances),Sugar Alcohol Degradation (20 instances),Superpathways (382 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation of Pyruvate (37 instances),Fermentation to Alcohols (17 instances),Sugar Derivative Degradation (56 instances),NA,Fermentation (81 instances),Fermentation (81 instances),Fermentation (81 instances),Fermentation (81 instances),Secondary Metabolite Degradation (127 instances),NA
P562.PWY,P562-PWY,myo-inositol degradation I,Sugar Alcohol Degradation,Sugar Derivative Degradation,Secondary Metabolite Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANTO.PWY,PANTO-PWY,phosphopantothenate biosynthesis I,Phosphopantothenate Biosynthesis,Coenzyme A Biosynthesis,Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANTOSYN.PWY,PANTOSYN-PWY,superpathway of coenzyme A biosynthesis I (bacteria),Coenzyme A Biosynthesis,Carrier Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Superpathways (382 instances),Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA,"Cofactor, Carrier, and Vitamin Biosynthesis (258 instances)",NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA
PENTOSE.P.PWY,PENTOSE-P-PWY,pentose phosphate pathway,Pentose Phosphate Pathways,Generation of Precursor Metabolites and Energy,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEPTIDOGLYCANSYN.PWY,PEPTIDOGLYCANSYN-PWY,peptidoglycan biosynthesis I (meso-diaminopimelate containing),Cell Wall Biosynthesis,Cell Structure Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHOSLIPSYN.PWY,PHOSLIPSYN-PWY,superpathway of phospholipid biosynthesis I (bacteria),Phospholipid Biosynthesis,Fatty Acid and Lipid Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POLYAMINSYN3.PWY,POLYAMINSYN3-PWY,superpathway of polyamine biosynthesis II,Amine and Polyamine Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POLYAMSYN.PWY,POLYAMSYN-PWY,superpathway of polyamine biosynthesis I,Amine and Polyamine Biosynthesis,Biosynthesis,NA,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POLYISOPRENSYN.PWY,POLYISOPRENSYN-PWY,polyisoprenoid biosynthesis (E. coli),All-trans Polyprenyl Biosynthesis,Polyprenyl Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PPGPPMET.PWY,PPGPPMET-PWY,ppGpp metabolism,Metabolic Regulator Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRPP.PWY,PRPP-PWY,"superpathway of histidine, purine, and pyrimidine biosynthesis",Superpathways,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.1269,PWY-1269,CMP-3-deoxy-D-manno-octulosonate biosynthesis,CMP-3-deoxy-D-manno-octulosonate Biosynthesis,CMP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.1861,PWY-1861,formaldehyde assimilation II (assimilatory RuMP Cycle),Formaldehyde Assimilation,C1 Compound Utilization and Assimilation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.2941,PWY-2941,L-lysine biosynthesis II,L-lysine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.2942,PWY-2942,L-lysine biosynthesis III,L-lysine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.3001,PWY-3001,superpathway of L-isoleucine biosynthesis I,L-isoleucine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.3781,PWY-3781,aerobic respiration I (cytochrome c),Aerobic Respiration,Respiration,Generation of Precursor Metabolites and Energy,Electron Transfer Chains (43 instances),NA,NA,NA,NA,NA,Generation of Precursor Metabolites and Energy (240 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.4361,PWY-4361,S-methyl-5-thio-alpha-D-ribose 1-phosphate degradation I,S-methyl-5-thio-alpha-D-ribose 1-phosphate Degradation,L-methionine Salvage,L-methionine Biosynthesis,S-methyl-5-thio-alpha-D-ribose 1-phosphate Degradation (3 instances),NA,NA,NA,NA,NA,Nucleoside and Nucleotide Degradation (40 instances),NA,NA,NA,NA,NA,Degradation/Utilization/Assimilation (1104 instances),NA,NA,NA,NA,NA
PWY.4984,PWY-4984,urea cycle,Nitrogen Compound Metabolism,Inorganic Nutrient Metabolism,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5005,PWY-5005,biotin biosynthesis II,Biotin Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5022,PWY-5022,4-aminobutanoate degradation V,4-Aminobutanoate Degradation,Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,Fermentation to Butanoate (8 instances),NA,NA,NA,NA,NA,Fermentation to Short-Chain Fatty Acids (40 instances),NA,NA,NA,NA,NA,Fermentation (81 instances),NA,NA,NA,NA,NA
PWY.5088,PWY-5088,L-glutamate degradation VIII (to propanoate),Fermentation to Propanoate,Fermentation to Short-Chain Fatty Acids,Fermentation,L-glutamate Degradation (10 instances),Superpathways (382 instances),NA,NA,NA,NA,Proteinogenic Amino Acid Degradation (113 instances),NA,NA,NA,NA,NA,Amino Acid Degradation (127 instances),NA,NA,NA,NA,NA
PWY.5097,PWY-5097,L-lysine biosynthesis VI,L-lysine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5100,PWY-5100,pyruvate fermentation to acetate and lactate II,Pyruvate Fermentation to Acetate,Fermentation to Acetate,Carboxylate Degradation,Pyruvate Fermentation to Acetate (11 instances),Pyruvate Fermentation to Acetate (11 instances),pyruvate fermentation to lactate (4 instances),pyruvate fermentation to lactate (4 instances),Superpathways (382 instances),NA,Fermentation of Pyruvate (37 instances),Fermentation to Acetate (21 instances),Fermentation of Pyruvate (37 instances),Fermentation to Lactate (8 instances),NA,NA,Fermentation (81 instances),Fermentation to Short-Chain Fatty Acids (40 instances),Fermentation (81 instances),Fermentation to Short-Chain Fatty Acids (40 instances),NA,NA
PWY.5101,PWY-5101,L-isoleucine biosynthesis II,L-isoleucine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5103,PWY-5103,L-isoleucine biosynthesis III,L-isoleucine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5104,PWY-5104,L-isoleucine biosynthesis IV,L-isoleucine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5121,PWY-5121,superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP),Diterpenoid Biosynthesis,Terpenoid Biosynthesis,Secondary Metabolite Biosynthesis,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Superpathways (382 instances),NA,NA,NA,NA,Polyprenyl Biosynthesis (18 instances),NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA,NA
PWY.5154,PWY-5154,L-arginine biosynthesis III (via N-acetyl-L-citrulline),L-arginine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5177,PWY-5177,glutaryl-CoA degradation,Carboxylate Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5180,PWY-5180,toluene degradation I (aerobic) (via o-cresol),Superpathways,NA,NA,Toluene Degradation (14 instances),NA,NA,NA,NA,NA,Aromatic Compound Degradation (227 instances),NA,NA,NA,NA,NA,Degradation/Utilization/Assimilation (1104 instances),NA,NA,NA,NA,NA
PWY.5188,PWY-5188,tetrapyrrole biosynthesis I (from glutamate),Tetrapyrrole Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5189,PWY-5189,tetrapyrrole biosynthesis II (from glycine),Tetrapyrrole Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5265,PWY-5265,peptidoglycan biosynthesis II (staphylococci),Peptidoglycan Biosynthesis,Cell Wall Biosynthesis,Cell Structure Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5304,PWY-5304,superpathway of sulfur oxidation (Acidianus ambivalens),Sulfur Oxidation,Sulfur Compound Metabolism,Inorganic Nutrient Metabolism,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5345,PWY-5345,superpathway of L-methionine biosynthesis (by sulfhydrylation),L-methionine De Novo Biosynthesis,L-methionine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5347,PWY-5347,superpathway of L-methionine biosynthesis (transsulfuration),L-methionine De Novo Biosynthesis,L-methionine Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5384,PWY-5384,sucrose degradation IV (sucrose phosphorylase),Sucrose Degradation,Sugar Degradation,Carbohydrate Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5415,PWY-5415,catechol degradation I (meta-cleavage pathway),Catechol Degradation,Aromatic Compound Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5484,PWY-5484,glycolysis II (from fructose 6-phosphate),Glycolysis,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5505,PWY-5505,L-glutamate and L-glutamine biosynthesis,L-glutamate Biosynthesis,Proteinogenic Amino Acid Biosynthesis,Amino Acid Biosynthesis,L-glutamine Biosynthesis (2 instances),Metabolic Clusters (69 instances),Superpathways (382 instances),NA,NA,NA,Proteinogenic Amino Acid Biosynthesis (89 instances),NA,NA,NA,NA,NA,Amino Acid Biosynthesis (124 instances),NA,NA,NA,NA,NA
PWY.5507,PWY-5507,adenosylcobalamin biosynthesis I (anaerobic),Adenosylcobalamin de novo Biosynthesis,Adenosylcobamide Biosynthesis,Cobamide de novo Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5509,PWY-5509,adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I,Adenosylcobamide Biosynthesis,Cobamide de novo Biosynthesis,Cobamide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5532,PWY-5532,nucleoside and nucleotide degradation (archaea),Nucleoside and Nucleotide Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5659,PWY-5659,GDP-mannose biosynthesis,GDP-sugar Biosynthesis,Sugar Nucleotide Biosynthesis,Sugar Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5667,PWY-5667,CDP-diacylglycerol biosynthesis I,CDP-diacylglycerol Biosynthesis,Phospholipid Biosynthesis,Fatty Acid and Lipid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5676,PWY-5676,acetyl-CoA fermentation to butanoate,Fermentation to Butanoate,Fermentation to Short-Chain Fatty Acids,Fermentation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5677,PWY-5677,succinate fermentation to butanoate,Fermentation to Butanoate,Fermentation to Short-Chain Fatty Acids,Fermentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5686,PWY-5686,UMP biosynthesis I,UMP Biosynthesis,Pyrimidine Ribonucleotide De Novo Biosynthesis,Pyrimidine Nucleotide De Novo Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5695,PWY-5695,inosine 5'-phosphate degradation,Purine Nucleotide Degradation,Nucleoside and Nucleotide Degradation,Degradation/Utilization/Assimilation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5705,PWY-5705,allantoin degradation to glyoxylate III,Allantoin Degradation,Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5741,PWY-5741,ethylmalonyl-CoA pathway,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5747,PWY-5747,2-methylcitrate cycle II,2-Methylcitrate Cycle,Propanoate Degradation,Carboxylate Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5837,PWY-5837,"2-carboxy-1,4-naphthoquinol biosynthesis","1,4-Dihydroxy-2-Naphthoate Biosynthesis",Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5838,PWY-5838,superpathway of menaquinol-8 biosynthesis I,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5840,PWY-5840,superpathway of menaquinol-7 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5845,PWY-5845,superpathway of menaquinol-9 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5850,PWY-5850,superpathway of menaquinol-6 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5855,PWY-5855,ubiquinol-7 biosynthesis (early decarboxylation),Ubiquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5856,PWY-5856,ubiquinol-9 biosynthesis (early decarboxylation),Ubiquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5857,PWY-5857,ubiquinol-10 biosynthesis (early decarboxylation),Ubiquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5860,PWY-5860,superpathway of demethylmenaquinol-6 biosynthesis I,Demethylmenaquinol-6 Biosynthesis,Demethylmenaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5861,PWY-5861,superpathway of demethylmenaquinol-8 biosynthesis I,Demethylmenaquinol-8 Biosynthesis,Demethylmenaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5862,PWY-5862,superpathway of demethylmenaquinol-9 biosynthesis,Demethylmenaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5863,PWY-5863,superpathway of phylloquinol biosynthesis,Phylloquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5896,PWY-5896,superpathway of menaquinol-10 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5897,PWY-5897,superpathway of menaquinol-11 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5898,PWY-5898,superpathway of menaquinol-12 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5899,PWY-5899,superpathway of menaquinol-13 biosynthesis,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5910,PWY-5910,superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate),Diterpenoid Biosynthesis,Terpenoid Biosynthesis,Secondary Metabolite Biosynthesis,Geranylgeranyl Diphosphate Biosynthesis (3 instances),Superpathways (382 instances),NA,NA,NA,NA,Polyprenyl Biosynthesis (18 instances),NA,NA,NA,NA,NA,Biosynthesis (1993 instances),NA,NA,NA,NA,NA
PWY.5913,PWY-5913,partial TCA cycle (obligate autotrophs),TCA cycle,Generation of Precursor Metabolites and Energy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5918,PWY-5918,superpathway of heme b biosynthesis from glutamate,Heme b Biosynthesis,Heme Biosynthesis,Enzyme Cofactor Biosynthesis,Heme b Biosynthesis (8 instances),Superpathways (382 instances),NA,NA,NA,NA,Heme Biosynthesis (13 instances),NA,NA,NA,NA,NA,Porphyrin Compound Biosynthesis (37 instances),NA,NA,NA,NA,NA
PWY.5920,PWY-5920,superpathway of heme b biosynthesis from glycine,Heme b Biosynthesis,Heme Biosynthesis,Enzyme Cofactor Biosynthesis,Heme b Biosynthesis (8 instances),Superpathways (382 instances),NA,NA,NA,NA,Heme Biosynthesis (13 instances),NA,NA,NA,NA,NA,Porphyrin Compound Biosynthesis (37 instances),NA,NA,NA,NA,NA
PWY.5971,PWY-5971,palmitate biosynthesis (type II fatty acid synthase),palmitate biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5973,PWY-5973,cis-vaccenate biosynthesis,Unsaturated Fatty Acid Biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.5989,PWY-5989,stearate biosynthesis II (bacteria and plants),Stearate Biosynthesis,Fatty Acid Biosynthesis,Fatty Acid and Lipid Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6071,PWY-6071,superpathway of phenylethylamine degradation,Amine and Polyamine Degradation,Degradation/Utilization/Assimilation,NA,Phenolic Compound Degradation (27 instances),Superpathways (382 instances),NA,NA,NA,NA,Aromatic Compound Degradation (227 instances),NA,NA,NA,NA,NA,Degradation/Utilization/Assimilation (1104 instances),NA,NA,NA,NA,NA
PWY.6121,PWY-6121,5-aminoimidazole ribonucleotide biosynthesis I,5-Aminoimidazole Ribonucleotide Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6122,PWY-6122,5-aminoimidazole ribonucleotide biosynthesis II,5-Aminoimidazole Ribonucleotide Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6123,PWY-6123,inosine-5'-phosphate biosynthesis I,Inosine-5'-phosphate Biosynthesis,Purine Riboucleotide De Novo Biosynthesis,Purine Nucleotide De Novo Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6125,PWY-6125,superpathway of guanosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6126,PWY-6126,superpathway of adenosine nucleotides de novo biosynthesis II,Purine Nucleotide De Novo Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6147,PWY-6147,6-hydroxymethyl-dihydropterin diphosphate biosynthesis I,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis,Folate Biosynthesis,Single Carbon Carrier Biosynthesis,6-Hydroxymethyl-Dihydropterin Diphosphate Biosynthesis (5 instances),NA,NA,NA,NA,NA,Folate Biosynthesis (14 instances),NA,NA,NA,NA,NA,Vitamin Biosynthesis (66 instances),NA,NA,NA,NA,NA
PWY.6151,PWY-6151,S-adenosyl-L-methionine salvage I,S-adenosyl-L-methionine Biosynthesis,Enzyme Cofactor Biosynthesis,"Cofactor, Carrier, and Vitamin Biosynthesis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6163,PWY-6163,chorismate biosynthesis from 3-dehydroquinate,Chorismate Biosynthesis,Aromatic Compound Biosynthesis,Biosynthesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6165,PWY-6165,chorismate biosynthesis II (archaea),Chorismate Biosynthesis,Aromatic Compound Biosynthesis,Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.621,PWY-621,sucrose degradation III (sucrose invertase),Sucrose Degradation,Sugar Degradation,Carbohydrate Degradation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6263,PWY-6263,superpathway of menaquinol-8 biosynthesis II,Menaquinol Biosynthesis,Quinol and Quinone Biosynthesis,Electron Carrier Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6269,PWY-6269,superpathway of adenosylcobalamin salvage from cobinamide II,Adenosylcobalamin Salvage from Cobinamide,Cobinamide Salvage,Cobamide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PWY.6277,PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,5-Aminoimidazole Ribonucleotide Biosynthesis,Purine Nucleotide Biosynthesis,Nucleoside and Nucleotide Biosynthesis,Superpathways (382 instances),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
